"","scenario","model","variable","unit","year","value"
"1","IRA","EPS-EI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",549.436
"2","Reference","EPS-EI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",562.901
"3","IRA","GCAM-CGS","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",500.227143316201
"4","Reference","GCAM-CGS","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",542.161635214387
"5","IRA","Haiku-RFF","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",NA
"6","Reference","Haiku-RFF","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",NA
"7","IRA","IPM-NRDC","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",NA
"8","Reference","IPM-NRDC","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",NA
"9","IRA","MARKAL-NETL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",334.04
"10","Reference","MARKAL-NETL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",327.8
"11","IRA","NEMS-RHG","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",572.610223999999
"12","Reference","NEMS-RHG","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",576.099250999999
"13","IRA","ReEDS-NREL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",NA
"14","Reference","ReEDS-NREL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",NA
"15","IRA","REGEN-EPRI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",523.336552379761
"16","Reference","REGEN-EPRI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",536.178882727117
"17","IRA","RIO-REPEAT","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",641.5
"18","Reference","RIO-REPEAT","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2025",649
"19","IRA","EPS-EI","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2025",1189.66
"20","Reference","EPS-EI","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2025",1350.69
"21","IRA","GCAM-CGS","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2025",1001.23988404397
"22","Reference","GCAM-CGS","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2025",1325.31758286476
"23","IRA","Haiku-RFF","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2025",1026.90270194765
"24","Reference","Haiku-RFF","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2025",1342.17940570156
