"model","scenario","unit","year","datasrc","variable","region","value"
"AEO2020","No IRA","Mt CO2/yr",2030,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Buildings","United States",562.943237
"AEO2020","No IRA","Mt CO2/yr",2030,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1679.96477
"AEO2020","No IRA","Mt CO2/yr",2030,"EIAinEMF37.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1284.568726
"AEO2020","No IRA","Mt CO2/yr",2035,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Buildings","United States",559.616211
"AEO2020","No IRA","Mt CO2/yr",2035,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1638.695875
"AEO2020","No IRA","Mt CO2/yr",2035,"EIAinEMF37.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1311.239136
"AEO2021","No IRA","Mt CO2/yr",2030,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Buildings","United States",570.87503
"AEO2021","No IRA","Mt CO2/yr",2030,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1680.22964
"AEO2021","No IRA","Mt CO2/yr",2030,"EIAinEMF37.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1224.307617
"AEO2021","No IRA","Mt CO2/yr",2035,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Buildings","United States",566.683715
"AEO2021","No IRA","Mt CO2/yr",2035,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1660.963979
"AEO2021","No IRA","Mt CO2/yr",2035,"EIAinEMF37.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1181.022095
"AEO2022","No IRA","Mt CO2/yr",2030,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Buildings","United States",573.164978
"AEO2022","No IRA","Mt CO2/yr",2030,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1778.545256
"AEO2022","No IRA","Mt CO2/yr",2030,"EIAinEMF37.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1214.244507
"AEO2022","No IRA","Mt CO2/yr",2035,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Buildings","United States",568.060395
"AEO2022","No IRA","Mt CO2/yr",2035,"EIAinEMF37.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1757.891112
"AEO2022","No IRA","Mt CO2/yr",2035,"EIAinEMF37.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1137.097534
"EPS-EI","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2","United States",3683.07333616727
"EPS-EI","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",525.176
"EPS-EI","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",803.0638230478
"EPS-EI","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1380.345127
"EPS-EI","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",602.7
"EPS-EI","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2","United States",3181.23945999667
"EPS-EI","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",511.954
"EPS-EI","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",777.01532772733
"EPS-EI","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1195.014895
"EPS-EI","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",336.702
"EPS-EI","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2","United States",4469.11212426198
"EPS-EI","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",557.617
"EPS-EI","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",867.8453321512
"EPS-EI","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1401.480757
"EPS-EI","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1201.47
"EPS-EI","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2","United States",4270.52739601984
"EPS-EI","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",550.902
"EPS-EI","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",859.5106171641
"EPS-EI","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1234.004451
"EPS-EI","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1198.69
"GCAM-CGS","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2","United States",3535.15117247745
"GCAM-CGS","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",454.815277598077
"GCAM-CGS","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",1015.73661606983
"GCAM-CGS","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1357.17964232201
"GCAM-CGS","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",679.659054813217
"GCAM-CGS","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2","United States",3265.13939647775
"GCAM-CGS","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",446.248934102666
"GCAM-CGS","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",1063.6926035448
"GCAM-CGS","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1282.9675605035
"GCAM-CGS","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",445.580298326782
"GCAM-CGS","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2","United States",4515.63157057819
"GCAM-CGS","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",533.537214700852
"GCAM-CGS","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",1208.99411915652
"GCAM-CGS","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1464.78688682719
"GCAM-CGS","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1274.91028267317
"GCAM-CGS","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2","United States",4358.33318134285
"GCAM-CGS","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",504.038720770186
"GCAM-CGS","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",1222.12174799319
