model,scenario,region,variable,notes,ghgi-table,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EPA-GHGI,Historic,United States,Carbon Sequestration|LULUCF,,ES-2,Mt CO2e/yr,-938.90,-944.40,-936.80,-917.60,-931.80,-902.80,-923.50,-903.40,-904.80,-900.50,-902.00,-899.90,-867.10,-891.40,-791.30,-853.50,-882.60,-843.10,-824.70,-787.00,-807.40,-853.80,-849.40,-813.50,-826.90,-752.20,-874.20,-842.50,-829.50,-768.20,-852.50,-832.00
EPA-GHGI,Historic,United States,Emissions|AFOLU,new var,ES-2,Mt CO2e/yr,57.90,57.20,54.30,54.60,58.30,54.00,57.10,53.50,54.80,59.50,66.20,57.40,70.50,63.30,81.70,72.40,64.20,69.00,61.20,66.60,56.30,62.60,63.80,64.30,58.00,80.40,58.90,68.30,64.40,64.20,76.40,77.80
EPA-GHGI,Historic,United States,Emissions|CH4,sum of ch4 energy and afolu,ES-2,Mt CO2e/yr,922.20,927.40,925.60,914.60,925.10,916.70,912.30,895.60,881.50,866.60,867.70,853.80,855.40,851.10,857.60,852.40,855.00,863.10,869.50,861.20,860.40,839.30,828.40,832.00,825.20,838.30,799.30,822.80,831.30,824.70,807.60,793.40
EPA-GHGI,Historic,United States,Emissions|CH4|AFOLU,,ES-2,Mt CO2e/yr,53.50,53.00,51.20,51.20,53.60,50.80,52.60,50.50,51.40,54.10,58.20,52.70,60.90,56.60,66.80,61.30,56.50,59.60,54.80,57.90,52.20,55.70,57.00,57.20,53.20,67.00,53.90,60.10,57.30,56.90,65.40,66.00
EPA-GHGI,Historic,United States,Emissions|CH4|Energy,,ES-2,Mt CO2e/yr,868.70,874.40,874.40,863.40,871.50,865.90,859.70,845.10,830.10,812.50,809.50,801.10,794.50,794.50,790.80,791.10,798.50,803.50,814.70,803.30,808.20,783.60,771.40,774.80,772.00,771.30,745.40,762.70,774.00,767.80,742.20,727.40
EPA-GHGI,Historic,United States,Emissions|CO2,,ES-2,Mt CO2/yr,5121.00,5063.00,5174.20,5272.90,5364.30,5425.30,5613.00,5688.10,5733.30,5803.90,6010.10,5907.70,5946.30,6010.10,6112.70,6132.20,6052.70,6130.10,5915.10,5480.70,5679.70,5546.10,5344.10,5480.20,5528.70,5376.50,5252.90,5212.20,5377.80,5262.10,4714.60,5032.20
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Coal,,,Mt CO2/yr,1719.80,1715.80,1733.00,1798.30,1805.00,1820.40,1905.30,1950.50,1979.40,1979.40,2065.20,2010.00,2019.70,2061.10,2076.30,2113.70,2078.50,2107.80,2075.50,1837.60,1931.20,1817.60,1597.30,1658.00,1655.10,1427.60,1310.70,1270.00,1211.60,1028.20,835.60,957.30
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings,,T2-1,Mt CO2/yr,566.90,580.40,582.00,589.10,581.70,580.90,621.10,602.80,551.70,571.60,608.20,591.60,590.10,620.20,607.10,586.00,533.50,564.30,575.40,564.40,559.30,550.70,482.70,553.30,578.90,561.90,524.30,525.40,584.00,592.10,541.70,546.30
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Commercial,,T2-1,Mt CO2/yr,228.30,232.70,228.00,223.00,224.70,227.80,237.60,237.80,220.10,220.70,236.50,228.50,229.00,240.10,238.00,227.10,211.80,223.10,227.50,228.00,224.50,224.50,200.30,224.20,232.40,244.60,231.50,232.00,245.80,250.70,228.50,233.00
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Commercial|Coal,,,Mt CO2/yr,12.00,11.10,11.30,11.30,11.30,11.20,11.60,12.30,8.90,9.80,8.80,9.20,8.60,7.80,9.80,9.30,6.20,6.70,7.60,6.90,6.60,5.80,4.10,3.90,3.80,3.00,2.30,2.00,1.80,1.60,1.40,1.40
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Commercial|Gas,,,Mt CO2/yr,142.00,148.10,152.10,154.90,157.00,164.20,171.10,174.30,163.30,165.20,172.50,164.20,170.50,172.90,169.80,162.90,153.80,163.60,171.20,169.10,168.00,170.70,157.00,179.20,189.20,175.40,170.50,173.20,192.50,192.90,173.80,180.90
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Commercial|Indirect,,T2-5,Mt CO2/yr,537.70,538.50,537.10,562.00,572.10,586.60,608.50,649.10,685.00,693.80,741.00,755.50,753.60,754.10,773.20,803.00,798.30,828.20,815.40,752.90,773.00,738.20,700.60,704.50,705.60,663.00,633.60,606.20,605.00,552.70,480.30,518.50
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Commercial|Oil,,,Mt CO2/yr,74.30,73.40,64.60,56.90,56.40,52.40,54.80,51.30,47.90,45.80,55.30,55.00,50.00,59.40,58.40,54.90,51.70,52.80,48.70,52.10,49.90,47.90,39.10,41.10,39.40,66.20,58.70,56.80,51.50,56.20,53.20,50.70
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Indirect,,T2-5,Mt CO2/yr,1130.40,1140.10,1128.50,1193.90,1204.00,1228.20,1280.60,1329.30,1403.20,1413.40,1503.20,1518.00,1545.20,1556.70,1585.10,1659.00,1628.40,1691.10,1658.00,1539.20,1613.10,1529.00,1426.20,1439.20,1439.70,1346.80,1287.10,1223.30,1247.30,1136.40,1025.60,1090.70
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Residential,,T2-1,Mt CO2/yr,338.60,347.70,354.00,366.10,357.00,353.10,383.50,365.00,331.60,350.90,371.70,363.10,361.10,380.10,369.10,358.90,321.70,341.20,347.90,336.40,334.80,326.20,282.40,329.10,346.50,317.30,292.80,293.40,338.20,341.40,313.20,313.30
