Table 4-1:  Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,CO2,214,204.4,207.6,205.4,213,221.4,222.5,227.2,223.7,222.7,219.7,198.3,197.9,192.8,200.6,195.4,200.2,202.5,187.5,145.1,173,176.9,174.4,175.3,180.6,173.7,165.9,166.2,165.9,170,161.8,168.9
,Iron and Steel Production & Metallurgical Coke Production,104.7,95.2,96,91.6,94.5,98.4,96.4,97.6,91.1,89,90.5,79.8,75.8,72.7,72.2,70.1,72.8,74.5,69.9,45.1,58.6,63,57.3,55.2,58.2,47.9,43.6,40.8,42.9,43.1,37.7,41.7
,Iron and Steel Production,99.1,90.1,92,88.7,89.4,93.2,92,93.8,86.4,84.3,85.9,76.8,71.6,68.3,68.4,66.2,69,70.6,65.8,42.9,54.8,59.8,55,51.6,54.5,43.5,41,38.8,41.6,40.1,35.4,38.4
,Metallurgical Coke Production,5.6,5.1,4,3,5.2,5.2,4.4,3.8,4.8,4.7,4.5,3,4.2,4.4,3.8,3.9,3.8,3.9,4.1,2.2,3.8,3.1,2.2,3.5,3.7,4.4,2.6,2,1.3,3,2.3,3.2
,Cement Production,33.5,32.7,33,34.8,36.3,37.1,37.3,38.6,39.5,40.2,41.4,41.6,43.2,43.3,45.9,46.2,46.9,45.5,41.4,29.6,31.4,32.2,35.3,36.4,39.4,39.9,39.4,40.3,39,40.9,40.7,41.3
,Petrochemical Production,21.6,23.1,23.7,24.6,26.6,27.9,29.1,30.5,30.9,32.3,31.6,27.6,28.7,28.5,30.7,27.4,27.6,28.1,24.7,23.8,27.3,26.3,26.5,26.4,26.5,28.1,28.1,28.9,29.3,30.7,29.8,33.2
,Ammonia Production,14.4,14.7,15.1,14.5,15.6,14.9,15.2,15.4,15.6,14.3,13.4,10.3,11.7,9.8,10.6,10.2,9.8,10.3,9.4,9.3,9.8,9,10,9.9,10.6,10.1,10.2,12.5,12.7,12.4,13,12.2
,Lime Production,11.7,11.5,11.9,12.3,12.7,13.5,14.2,14.5,14.8,14.4,14.3,13.7,13.2,13.9,14.6,14.6,15.2,14.7,14.5,11.4,13.4,14,13.8,14,14.2,13.3,12.6,12.9,13.1,12.1,11.3,11.9
,Other Process Uses of Carbonates,6.2,5.6,5.6,5.2,5.5,7.3,8,7.7,7.8,8.6,5.8,6,6.3,4.9,6.7,7.5,8.6,7.9,6.7,8.7,10.6,9.7,8.9,10.9,12.6,12.1,10.8,9.9,7.4,8.4,8.4,8
,Carbon Dioxide Consumption,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4,4.2,4.5,4.9,4.6,4.6,4.1,4.9,5,5
,Urea Consumption for Non-Agricultural Purposes,3.8,3.5,3.9,4.6,4.3,4.3,3.9,3.9,4.8,4.7,4.2,4.1,3.7,3.6,3.7,3.7,3.5,4.9,4.1,3.4,4.7,5.1,4.8,4.6,1.8,4.6,5.3,5.2,6.1,6.2,5.8,5
,Glass Production,1.9,2.1,2.2,2.3,2.3,2.3,2.4,2.5,2.5,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.2,1.9,2.1,2.1,2,2,2,2,2.1,2,2,1.9,1.9,2
,Soda Ash Production,1.4,1.4,1.5,1.4,1.4,1.6,1.6,1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.7,1.6,1.7,1.7,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.8,1.5,1.7
,Ferroalloy Production,2.2,1.9,2,1.9,2,2,2.1,2.2,2.2,2.2,1.9,1.5,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,2,2,1.8,2,2.1,1.6,1.4,1.6
,Aluminum Production,6.8,6.9,6.8,6.2,5.5,5.7,6,6,6.2,6.3,6.1,4.4,4.5,4.5,4.2,4.1,3.8,4.3,4.5,3,2.7,3.3,3.4,3.3,2.8,2.8,1.3,1.2,1.5,1.9,1.7,1.5
,Titanium Dioxide Production,1.2,1.2,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.7,1.8,1.7,1.8,1.8,2.1,1.8,1.8,1.9,1.8,1.6,1.8,1.7,1.5,1.7,1.7,1.6,1.7,1.7,1.5,1.5,1.2,1.5
,Zinc Production,0.6,0.8,0.8,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,0.7,0.7,1.1,1,1,1,1,1.2,0.9,1.2,1.3,1.5,1.4,0.9,0.9,0.8,0.9,1,1,1,1
,Phosphoric Acid Production,1.5,1.4,1.5,1.3,1.5,1.5,1.6,1.5,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1.1,1,1.1,1.2,1.1,1.1,1,1,1,1,0.9,0.9,0.9,0.9
,Lead Production,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4
,Carbide Production and Consumption,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Substitution of Ozone Depleting Substancesa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Magnesium Production and Processing,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CH4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4
,Petrochemical Production,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.3,0.4
,Ferroalloy Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Carbide Production and Consumption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iron and Steel Production & Metallurgical Coke Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iron and Steel Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Metallurgical Coke Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,N2O,29.6,29.1,27.6,29.1,29.5,32.7,33.1,27.2,23.2,22.4,22.6,19.5,20.4,20.2,18.7,22.2,23.2,26.8,18.1,16.8,19.9,24.7,20,18.8,20.3,19.7,20.8,20.2,23.1,18.7,20.8,19.7
,Nitric Acid Production,10.8,10.8,11.1,11.2,11.9,12,12.5,12.8,12.6,12.2,11.8,9.6,10.4,9.8,9.7,10.1,9.9,11.7,10,8.6,10.3,9.7,9.3,9.5,9.7,10.3,9,8.3,8.5,8.9,8.3,7.9
,Adipic Acid Production,13.5,13.2,11.5,12.4,12,15,14.9,8.4,4.6,4.2,4.7,4,4.4,4.8,3.3,6.3,7.6,9.1,2.2,2.4,3.8,9.1,4.9,3.5,4.8,3.8,6.3,6.6,9.3,4.7,7.4,6.6
,N2O from Product Uses,3.8,3.7,3.5,3.9,3.9,3.9,3.9,4.2,4.2,4.2,4.2,4.2,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",1.5,1.4,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.6,1.8,1.7,1.9,1.9,1.8,2,1.9,1.9,2,2,1.8,1.9,1.8,1.7,1.5,1.3,1.3,1.2,1.2,1.2
,Electronics Industry,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
,HFCs,39,35.4,40.4,40.8,47.1,64.7,74.5,84.4,102.3,100.9,105.8,102.9,109.2,104.3,113.3,116.4,120.7,131.2,135.7,136.2,144.7,148.4,148.1,149.1,154.1,157.9,158.4,160.8,160.9,165.4,168.2,175.1
,Substitution of Ozone Depleting Substancesa,0.3,0.5,1.6,5.5,13.5,29.4,41.1,52.2,60.1,68.2,75.2,81.8,86.6,91.1,94.9,99.4,105.8,113,121,130.3,137.7,140.8,143.2,145.3,149.5,154,155.7,156.1,157.7,161.9,166.1,172.4
