"model","scenario","year","variable","value","unit","region"
"EIA","Historic",1949,"Primary Energy|Coal",12.6405239399342,"EJ/yr","United States"
"EIA","Historic",1949,"Primary Energy|Gas",5.42841217966097,"EJ/yr","United States"
"EIA","Historic",1949,"Primary Energy|Oil",12.5224515844117,"EJ/yr","United States"
"EIA","Historic",1950,"Primary Energy|Coal",13.0268896133871,"EJ/yr","United States"
"EIA","Historic",1950,"Primary Energy|Gas",6.29696475415748,"EJ/yr","United States"
"EIA","Historic",1950,"Primary Energy|Oil",14.0304313089471,"EJ/yr","United States"
"EIA","Historic",1951,"Primary Energy|Coal",13.2441118977155,"EJ/yr","United States"
"EIA","Historic",1951,"Primary Energy|Gas",7.43658016819742,"EJ/yr","United States"
"EIA","Historic",1951,"Primary Energy|Oil",15.200900776341,"EJ/yr","United States"
"EIA","Historic",1952,"Primary Energy|Coal",11.9289668414751,"EJ/yr","United States"
"EIA","Historic",1952,"Primary Energy|Gas",7.96527182111286,"EJ/yr","United States"
"EIA","Historic",1952,"Primary Energy|Oil",15.7560933221626,"EJ/yr","United States"
"EIA","Historic",1953,"Primary Energy|Coal",11.9988168141978,"EJ/yr","United States"
"EIA","Historic",1953,"Primary Energy|Gas",8.34195208183866,"EJ/yr","United States"
"EIA","Historic",1953,"Primary Energy|Oil",16.3870842456039,"EJ/yr","United States"
"EIA","Historic",1954,"Primary Energy|Coal",10.2495162746044,"EJ/yr","United States"
"EIA","Historic",1954,"Primary Energy|Gas",8.78882837360683,"EJ/yr","United States"
"EIA","Historic",1954,"Primary Energy|Oil",16.6839505861348,"EJ/yr","United States"
"EIA","Historic",1955,"Primary Energy|Coal",11.7820819656734,"EJ/yr","United States"
"EIA","Historic",1955,"Primary Energy|Gas",9.49332398324434,"EJ/yr","United States"
"EIA","Historic",1955,"Primary Energy|Oil",18.1736208714039,"EJ/yr","United States"
"EIA","Historic",1956,"Primary Energy|Coal",11.9745916767658,"EJ/yr","United States"
"EIA","Historic",1956,"Primary Energy|Gas",10.1432805906924,"EJ/yr","United States"
"EIA","Historic",1956,"Primary Energy|Oil",18.8907518299323,"EJ/yr","United States"
"EIA","Historic",1957,"Primary Energy|Coal",11.4163700655914,"EJ/yr","United States"
"EIA","Historic",1957,"Primary Energy|Gas",10.7518135952548,"EJ/yr","United States"
"EIA","Historic",1957,"Primary Energy|Oil",18.8838011219753,"EJ/yr","United States"
"EIA","Historic",1958,"Primary Energy|Coal",10.0581502440562,"EJ/yr","United States"
"EIA","Historic",1958,"Primary Energy|Gas",11.2502705126017,"EJ/yr","United States"
"EIA","Historic",1958,"Primary Energy|Oil",19.5092382314084,"EJ/yr","United States"
"EIA","Historic",1959,"Primary Energy|Coal",10.0423940399531,"EJ/yr","United States"
"EIA","Historic",1959,"Primary Energy|Gas",12.3625346587183,"EJ/yr","United States"
"EIA","Historic",1959,"Primary Energy|Oil",20.3413650025932,"EJ/yr","United States"
"EIA","Historic",1960,"Primary Energy|Coal",10.3794126410672,"EJ/yr","United States"
"EIA","Historic",1960,"Primary Energy|Gas",13.0672528851408,"EJ/yr","United States"
"EIA","Historic",1960,"Primary Energy|Oil",20.9676598724345,"EJ/yr","United States"
"EIA","Historic",1961,"Primary Energy|Coal",10.1531727943665,"EJ/yr","United States"
"EIA","Historic",1961,"Primary Energy|Gas",13.6380655328603,"EJ/yr","United States"
"EIA","Historic",1961,"Primary Energy|Oil",21.2797728250917,"EJ/yr","United States"
"EIA","Historic",1962,"Primary Energy|Coal",10.4518622714108,"EJ/yr","United States"
