model,scenario,region,variable,unit,2020,2025,2030,2035,2040,2045,2050
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Commercial,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Commercial|Appliances,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Commercial|Appliances|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Commercial|Cooling,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Commercial|Cooling|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Commercial|Heating,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Commercial|Heating|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Commercial|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Commercial|Lighting|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Commercial|Other,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Commercial|Other|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Residential,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Residential|Appliances,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Residential|Appliances|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Residential|Cooling,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Residential|Cooling|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Residential|Heating,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Residential|Heating|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Residential|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Residential|Lighting|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Residential|Other,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Emissions|CO2|Energy|Demand|Buildings|Residential|Other|Indirect,Mt CO2/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Energy Service|Floor Space|Buildings|Value,million m2,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Energy Service|Floor Space|Commercial|Value,million m2,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Energy Service|Floor Space|Residential|Value,million m2,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Final Energy|Buildings,EJ/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Final Energy|Buildings|Biomass Solids,EJ/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Final Energy|Buildings|Commercial,EJ/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Final Energy|Buildings|Commercial|Appliances|Electricity,EJ/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Final Energy|Buildings|Commercial|Appliances|Gas,EJ/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Final Energy|Buildings|Commercial|Appliances|Oil,EJ/yr,0,0,0,0,0,0,0
Scout v0.8,Reference,AK,Final Energy|Buildings|Commercial|Cooling|Electricity,EJ/yr,0,0,0,0,0,0,0
