model,scenario,region,variable,unit,year,value
EPS-EI,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2025,1.0251504
EPS-EI,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2025,0.000790301
EPS-EI,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2025,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2025,2.039799456
EPS-EI,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2025,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2025,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2025,2.79106668
EPS-EI,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2025,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2025,0.04495932
EPS-EI,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2025,2.85911532
EPS-EI,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2025,5.626548
EPS-EI,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2025,1.669682592
EPS-EI,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2030,1.0170432
EPS-EI,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2030,0.000152937
EPS-EI,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2030,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2030,0.679015228
EPS-EI,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2030,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2030,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2030,5.75379216
EPS-EI,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2030,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2030,0.04534452
EPS-EI,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2030,2.8882548
EPS-EI,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2030,3.62709
EPS-EI,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2030,3.861352519
EPS-EI,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2035,1.0103688
EPS-EI,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2035,9.10E-05
EPS-EI,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2035,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2035,0.064993543
EPS-EI,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2035,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2035,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2035,9.28068804
EPS-EI,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2035,0
EPS-EI,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2035,0.04639932
EPS-EI,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2035,0.14916402
EPS-EI,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2035,2.5644132
EPS-EI,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2035,6.043169016
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2025,1.0251504
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2025,0.13541256
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2025,0
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2025,2.1916044
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2025,0
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2025,0
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2025,1.84429188
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2025,0
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2025,0.09549216
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2025,2.81540772
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2025,6.0625836
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2025,1.1983536
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2030,1.0170432
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2030,0.07933284
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2030,0
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2030,1.5637356
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2030,0
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2030,0
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2030,2.64163932
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2030,0
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2030,0.1003572
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2030,2.49487452
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2030,6.4043568
EPS-EI,No IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2030,1.9369296
