model,scenario,region,variable,unit,year,value,datasrc
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2010,1290.671145,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2015,1368.240173,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2020,1414.036394,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2025,1518.536841,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2030,1618.961229,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2035,1714.26619,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2040,1808.129509,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2045,1930.870561,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2050,2062.849894,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2055,2190.606702,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2060,2300.448973,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2065,2399.382737,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2070,2473.411537,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2075,2539.556724,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2080,2587.833865,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2085,2625.328705,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2090,2653.540821,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2095,2673.63202,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production,Million t DM/yr,2100,2680.798591,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2010,113.5969685,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2015,132.2865743,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2020,128.9085997,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2025,151.8066186,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2030,176.0367192,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2035,200.8984288,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2040,233.5374623,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2045,297.2991237,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2050,368.5703898,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2055,434.802708,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2060,484.8827073,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2065,523.9045016,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2070,544.1798629,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2075,565.2096045,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2080,577.6488243,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2085,585.1655692,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2090,588.1248772,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2095,588.355672,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy,Million t DM/yr,2100,580.2323531,emf37_usacanmex.csv
