model,scenario,region,variable,unit,year,value
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2030,9.72E-09
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2035,2.42E-08
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2040,2.60E-08
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2045,1.25E-07
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2050,3.02E-07
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2017,1.983837971
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2020,877.3309999
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2025,767.5592825
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2030,616.9321807
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2035,501.5556234
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2040,484.913596
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2045,412.8428929
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2050,314.1364019
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2017,3.427093154
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2020,594.6155614
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2025,559.4992827
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2030,543.7120337
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2035,574.854191
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2040,632.9014727
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2045,715.1567327
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2050,857.1923986
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2017,6.403442442
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2020,1472.172287
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2025,1327.293276
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,1160.982575
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,1076.6079
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,1118.158821
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2045,1128.228796
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1171.479725
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2,Mt CO2/yr,2017,3354.657747
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2,Mt CO2/yr,2020,5578.75508
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2,Mt CO2/yr,2025,4727.611581
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2,Mt CO2/yr,2030,4591.934769
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2,Mt CO2/yr,2035,4209.381565
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2,Mt CO2/yr,2040,3979.329264
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2,Mt CO2/yr,2045,3903.978579
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2,Mt CO2/yr,2050,3882.442998
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2017,0
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2020,0
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2025,0
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2030,0
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2035,0
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2040,0
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2045,0
USREP-ReEDS,reference-noIRA,USA,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2050,0
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy,Mt CO2/yr,2017,3354.657747
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy,Mt CO2/yr,2020,4778.75508
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy,Mt CO2/yr,2025,4727.611581
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy,Mt CO2/yr,2030,4591.934769
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy,Mt CO2/yr,2035,4209.381565
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy,Mt CO2/yr,2040,3979.329264
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy,Mt CO2/yr,2045,3903.978579
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy,Mt CO2/yr,2050,3882.442998
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Coal,Mt CO2/yr,2017,121.8596089
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Coal,Mt CO2/yr,2020,985.4002417
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Coal,Mt CO2/yr,2025,873.8130948
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Coal,Mt CO2/yr,2030,719.7010697
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Coal,Mt CO2/yr,2035,600.5809456
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Coal,Mt CO2/yr,2040,584.167049
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Coal,Mt CO2/yr,2045,512.6071679
USREP-ReEDS,reference-noIRA,USA,Emissions|CO2|Energy|Coal,Mt CO2/yr,2050,409.6625611
