Round,Category,Tier,Variable,Unit,Definition
2,Land,3,Agricultural Production,Million t DM/yr,"Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation)"
2,Land,2,Agricultural Production|Energy,Million t DM/yr,Total bioenergy-related agricultural production (including waste and residues)
2,Land,3,Agricultural Production|Energy|Crops,Million t DM/yr,Production for modern primary energy crops (1st and 2nd generation)
2,Land,3,Agricultural Production|Energy|Residues,Million t DM/yr,Production of agricultural residues for modern bioenergy production
2,Land,2,Agricultural Production|Non-Energy,Million t DM/yr,"Total production for food, non-food and feed products (crops and livestock)"
2,Land,3,Agricultural Production|Non-Energy|Crops,Million t DM/yr,"Total production for food, non-food and feed products (crops)"
2,Land,3,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,Total production for livestock products
2,Energy,1,Capacity Additions|Electricity|Biomass,GW/yr,Capacity additions of all biomass power plants (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,Capacity additions of biomass power plants with CCS (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,Capacity additions of biomass power plants without CCS (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Coal,GW/yr,Capacity additions of all coal power plants (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,Capacity additions of coal power plants with CCS (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,Capacity additions of coal power plants without CCS (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Gas,GW/yr,Capacity additions of all gas power plants (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Gas|w/ CCS,GW/yr,Capacity additions of gas power plants with CCS (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Gas|w/o CCS,GW/yr,Capacity additions of gas power plants without CCS (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Geothermal,GW/yr,Capacity additions of geothermal power plants (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Hydro,GW/yr,Capacity additions of hydropower plants (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Nuclear,GW/yr,Capacity additions of nuclear power plants (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Oil,GW/yr,Capacity additions of all oil power plants (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Oil|w/ CCS,GW/yr,Capacity additions of oil power plants with CCS (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Oil|w/o CCS,GW/yr,Capacity additions of oil power plants without CCS (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Solar,GW/yr,"Capacity additions of solar power plants, including distributed generation (yearly average additions between previos and current model time step)"
2,Energy,1,Capacity Additions|Electricity|Solar|CSP,GW/yr,Capacity additions of concentrated solar power plants (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Solar|PV,GW/yr,"Capacity additions of solar PV, including distributed generation (yearly average additions between previos and current model time step)"
2,Energy,1,Capacity Additions|Electricity|Storage Capacity,GWh/yr,Capacity additions of electricity storage capacity (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Transmissions Grid,GWkm/yr,Capacity additions of electricity storage (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Wind,GW/yr,Capacity additions of wind power plants (onshore and offshore) (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Wind|Offshore,GW/yr,Capacity additions of wind power plants (ooffshore) (yearly average additions between previos and current model time step)
2,Energy,1,Capacity Additions|Electricity|Wind|Onshore,GW/yr,Capacity additions of wind power plants (onshore) (yearly average additions between previos and current model time step)
2,Energy,3,Capacity|Biogas,EJ/yr,Total installed (available) capacity of biomass to biogas plants.
2,Energy,3,Capacity|Biogas|w/ CCS,EJ/yr,Total installed (available) capacity of biomass to biogas plants with CCS.
2,Energy,3,Capacity|Biogas|w/o CCS,EJ/yr,Total installed (available) capacity of biomass to biogas plants without CCS.
2,Energy,3,Capacity|Biomass Liquids,EJ/yr,Total installed (available) capacity of biomass to liquids plants.
2,Energy,3,Capacity|Biomass Liquids|w/ CCS,EJ/yr,Total installed (available) capacity of biomass to liquids plants with CCS.
2,Energy,3,Capacity|Biomass Liquids|w/o CCS,EJ/yr,Total installed (available) capacity of biomass to liquids plants without CCS.
2,Energy,1,Capacity|Electricity,GW,"total installed electricity generation capacity, including from distributed generation and CHP"
2,Energy,1,Capacity|Electricity|Biomass,GW,total installed electricity generation capacity of biomass power plants
2,Energy,1,Capacity|Electricity|Biomass|w/ CCS,GW,"Total installed (available) capacity of biomass power plants with CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Biomass|w/o CCS,GW,"Total installed (available) capacity of biomass power plants without CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Coal,GW,total installed electricity generation capacity of coal power plants
2,Energy,1,Capacity|Electricity|Coal|w/ CCS,GW,"Total installed (available) capacity of coal power plants with CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Coal|w/o CCS,GW,"Total installed (available) capacity of coal power plants without CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Gas,GW,total installed electricity generation capacity of gas power plants
2,Energy,1,Capacity|Electricity|Gas|CC,GW,total installed electricity generation capacity of natural gas combined cycle power plants
2,Energy,1,Capacity|Electricity|Gas|CC|w/ CCS,GW,"Total installed (available) capacity of natural gas combined cycle power plants with CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Gas|CC|w/o CCS,GW,"Total installed (available) capacity of natural gas combined cycle power plants power plants without CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Gas|CT,GW,total installed electricity generation capacity of simple cycle natural gas combustion turbine power plants
2,Energy,1,Capacity|Electricity|Gas|CT|w/ CCS,GW,"Total installed (available) capacity of simple cycle natural gas combustion turbine power plants with CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Gas|CT|w/o CCS,GW,"Total installed (available) capacity of simple cycle natural gas combustion turbine power plants without CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Gas|ST,GW,Total installed electricity generation capacity of natural gas steam turbine power plants
2,Energy,1,Capacity|Electricity|Gas|ST|w/ CCS,GW,"Total installed (available) capacity of natural gas steam turbine power plants with CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Gas|ST|w/o CCS,GW,"Total installed (available) capacity of natural gas steam turbine power plants without CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Gas|w/ CCS,GW,"Total installed (available) capacity of gas power plants with CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Gas|w/o CCS,GW,"Total installed (available) capacity of gas power plants without CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Geothermal,GW,total installed electricity generation capacity of geothermal power plants
2,Energy,1,Capacity|Electricity|Hydro,GW,total installed electricity generation capacity of hydro power plants
2,Energy,1,Capacity|Electricity|Nuclear,GW,total installed electricity generation capacity of nuclear power plants
2,Energy,1,Capacity|Electricity|Ocean,GW,total installed electricity generation capacity of ocean power plants
2,Energy,1,Capacity|Electricity|Oil,GW,total installed electricity generation capacity of oil power plants
2,Energy,1,Capacity|Electricity|Oil|w/ CCS,GW,"Total installed (available) capacity of oil power plants with CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Oil|w/o CCS,GW,"Total installed (available) capacity of oil power plants without CCS, including plants held in an operating reserve."
2,Energy,1,Capacity|Electricity|Other,GW,total installed electricity generation capacity of other power plants
2,Energy,1,Capacity|Electricity|Solar,GW,"total installed electricity generation capacity of solar power installations, including distributed generation"
2,Energy,1,Capacity|Electricity|Solar|CSP,GW,total installed electricity generation capacity of CSP plants
2,Energy,1,Capacity|Electricity|Solar|PV,GW,"total installed electricity generation capacity of PV installations, including distributed generation"
2,Energy,1,Capacity|Electricity|Storage Capacity,GW,Total installed generating capacity of electricity storage
2,Energy,1,Capacity|Electricity|Storage Capacity|Battery,GW,Total installed generating capacity of electricity battery storage
2,Energy,1,Capacity|Electricity|Storage Capacity|Other,GW,Total installed generating capacity of electricity of all other types
2,Energy,1,Capacity|Electricity|Storage Capacity|PSH,GW,Total installed generating capacity of electricity of pumped hydropower storage
2,Energy,1,Capacity|Electricity|Storage Energy,GWh,Total energy storage capacity of energy storage
2,Energy,1,Capacity|Electricity|Storage Energy|Battery,GWh,Total energy storage capacity of battery storage
2,Energy,1,Capacity|Electricity|Storage Energy|Other,GWh,Total energy storage capacity of energy storage of all other types
2,Energy,1,Capacity|Electricity|Storage Energy|PSH,GWh,Total energy storage capacity of operating pumped hydropower storage
