"year","model","scenario","value","diff_2005","per_diff"
2025,"EPS-EI","IRA",4.97,1.72,25.72
2025,"EPS-EI","No IRA",5.33,1.36,20.37
2025,"GCAM-CGS","IRA",4.7,2,29.81
2025,"GCAM-CGS","No IRA",5.22,1.48,22.05
2025,"GCAM-PNNL","IRA",4.44,2.26,33.72
2025,"GCAM-PNNL","No IRA",4.65,2.04,30.54
2025,"NEMS-OP","IRA",4.82,1.87,27.98
2025,"NEMS-OP","No IRA",4.97,1.72,25.73
2025,"NEMS-RHG","IRA",5.05,1.65,24.62
2025,"NEMS-RHG","No IRA",4.97,1.73,25.85
2025,"REGEN-EPRI","IRA",4.81,1.89,28.16
2025,"REGEN-EPRI","No IRA",4.9,1.79,26.8
2025,"RIO-REPEAT","IRA",5.32,1.37,20.49
2025,"RIO-REPEAT","No IRA",5.42,1.28,19.08
2025,"USREP-ReEDS","IRA",4.41,2.28,34.07
2025,"USREP-ReEDS","No IRA",4.88,1.82,27.15
2030,"EPS-EI","IRA",4.1,2.6,38.81
2030,"EPS-EI","No IRA",5,1.7,25.32
2030,"GCAM-CGS","IRA",4.08,2.62,39.09
2030,"GCAM-CGS","No IRA",5.03,1.66,24.81
2030,"GCAM-PNNL","IRA",4.08,2.61,39.04
2030,"GCAM-PNNL","No IRA",4.59,2.11,31.52
2030,"NEMS-OP","IRA",4.27,2.42,36.2
2030,"NEMS-OP","No IRA",4.82,1.87,27.98
2030,"NEMS-RHG","IRA",4.02,2.68,39.99
2030,"NEMS-RHG","No IRA",4.64,2.05,30.67
2030,"REGEN-EPRI","IRA",4.44,2.26,33.69
2030,"REGEN-EPRI","No IRA",4.68,2.02,30.11
2030,"RIO-REPEAT","IRA",4.14,2.56,38.21
2030,"RIO-REPEAT","No IRA",4.77,1.93,28.76
2030,"USREP-ReEDS","IRA",3.94,2.75,41.1
2030,"USREP-ReEDS","No IRA",4.72,1.97,29.46
2035,"EPS-EI","IRA",3.66,3.03,45.31
2035,"EPS-EI","No IRA",4.8,1.9,28.34
2035,"GCAM-CGS","IRA",3.84,2.86,42.71
2035,"GCAM-CGS","No IRA",4.9,1.8,26.86
2035,"GCAM-PNNL","IRA",3.8,2.89,43.23
2035,"GCAM-PNNL","No IRA",4.31,2.39,35.62
2035,"NEMS-OP","IRA",3.88,2.82,42.06
2035,"NEMS-OP","No IRA",4.64,2.06,30.75
2035,"NEMS-RHG","IRA",3.78,2.91,43.48
2035,"NEMS-RHG","No IRA",4.34,2.36,35.18
2035,"REGEN-EPRI","IRA",3.72,2.98,44.51
2035,"REGEN-EPRI","No IRA",4.47,2.23,33.23
2035,"RIO-REPEAT","IRA",3.35,3.35,49.97
2035,"RIO-REPEAT","No IRA",4.42,2.27,33.96
2035,"USREP-ReEDS","IRA",3.72,2.97,44.4
2035,"USREP-ReEDS","No IRA",4.54,2.16,32.27
