"year","model","scenario","value","diff_2005","per_diff"
2025,"EPS-EI","IRA",4.97,1.72626373,25.7795062979098
2025,"EPS-EI","No IRA",5.33,1.36626373,20.4033739573157
2025,"GCAM-CGS","IRA",4.7,1.99626373,29.8116055533553
2025,"GCAM-CGS","No IRA",5.22,1.47626373,22.0460810613862
2025,"GCAM-PNNL","IRA",4.57,2.12626373,31.7529866763476
2025,"GCAM-PNNL","No IRA",4.96,1.73626373,25.9288433073708
2025,"NEMS-RHG","IRA",5.05,1.64626373,24.5848102222222
2025,"NEMS-RHG","No IRA",4.97,1.72626373,25.7795062979098
2025,"RIO-REPEAT","IRA",5.32,1.37626373,20.5527109667767
2025,"RIO-REPEAT","No IRA",5.42,1.27626373,19.0593408721672
2025,"USREP-ReEDS","IRA",4.5,2.19626373,32.7983457425743
2025,"USREP-ReEDS","No IRA",4.97,1.72626373,25.7795062979098
2030,"EPS-EI","IRA",4.1,2.59626373,38.7718261210121
2030,"EPS-EI","No IRA",5,1.69626373,25.331495269527
2030,"GCAM-CGS","IRA",4.08,2.61626373,39.070500139934
2030,"GCAM-CGS","No IRA",5.03,1.66626373,24.8834842411441
2030,"GCAM-PNNL","IRA",4.14,2.55626373,38.1744780831683
2030,"GCAM-PNNL","No IRA",4.89,1.80626373,26.9742023735974
2030,"NEMS-RHG","IRA",4.02,2.67626373,39.9665221966997
2030,"NEMS-RHG","No IRA",4.64,2.05626373,30.707627610121
2030,"RIO-REPEAT","IRA",4.14,2.55626373,38.1744780831683
2030,"RIO-REPEAT","No IRA",4.77,1.92626373,28.7662464871287
2030,"USREP-ReEDS","IRA",3.99,2.70626373,40.4145332250825
2030,"USREP-ReEDS","No IRA",4.79,1.90626373,28.4675724682068
2035,"EPS-EI","IRA",3.66,3.03626373,45.3426545372937
2035,"EPS-EI","No IRA",4.8,1.89626373,28.3182354587459
2035,"GCAM-CGS","IRA",3.84,2.85626373,42.6545883669967
2035,"GCAM-CGS","No IRA",4.9,1.79626373,26.8248653641364
2035,"GCAM-PNNL","IRA",3.93,2.76626373,41.3105552818482
2035,"GCAM-PNNL","No IRA",4.71,1.98626373,29.6622685438944
2035,"NEMS-RHG","IRA",3.78,2.91626373,43.5506104237624
2035,"NEMS-RHG","No IRA",4.34,2.35626373,35.1877378939494
2035,"RIO-REPEAT","IRA",3.35,3.34626373,49.9721018305831
2035,"RIO-REPEAT","No IRA",4.42,2.27626373,33.9930418182618
2035,"USREP-ReEDS","IRA",3.75,2.94626373,43.9986214521452
2035,"USREP-ReEDS","No IRA",4.58,2.11626373,31.6036496668867
