"model","scenario","unit","datasrc","variable","region","figure_type","figure_no","title_name","variable_rename","flip_sign","regions","models","years","scenarios","type","x","y","facet1","facet2","color","page_filter","scales","alpha","year","value",".group"
"AEO.2023","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2021,1757.4,1
"AEO.2023","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2022,1778.743774,1
"AEO.2023","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2023,1766.850586,1
"AEO.2023","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2024,1753.365356,1
"AEO.2023","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2025,1731.996338,1
"AEO.2023","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2026,1717.358398,1
"AEO.2023","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2027,1702.410156,1
"AEO.2023","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2028,1694.913574,1
"AEO.2023","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2029,1677.163818,1
"AEO.2023","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2030,1657.054932,1
"AEO.2023","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",0.6,2031,1639.307983,1
