"figure_num","model","scenario","variable","unit","year","label","value","pct_diff"
"1.3X.summary_ranges_main","EPS-EI","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3683.07333616727,17.5882539135112
"1.3X.summary_ranges_main","EPS-EI","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3181.23945999667,25.5071056806331
"1.3X.summary_ranges_main","GCAM-CGS","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3535.15117247745,21.7130291250754
"1.3X.summary_ranges_main","GCAM-CGS","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3265.13939647775,25.0828410628367
"1.3X.summary_ranges_main","GCAM-PNNL","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3631.81913612816,11.2813151116756
"1.3X.summary_ranges_main","GCAM-PNNL","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3310.10805031081,12.6159437615942
"1.3X.summary_ranges_main","MARKAL-NETL","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3978.59,4.61761603375527
"1.3X.summary_ranges_main","MARKAL-NETL","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3385.68,18.6801203820906
"1.3X.summary_ranges_main","NEMS-EIA","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",4007.489174,9.66350305160567
"1.3X.summary_ranges_main","NEMS-EIA","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3904.675421,9.58328775718742
"1.3X.summary_ranges_main","NEMS-RHG","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3731.42341620699,12.5585206348424
"1.3X.summary_ranges_main","NEMS-RHG","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3572.57563575272,12.2047981945572
"1.3X.summary_ranges_main","RIO-REPEAT","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3693,11.1405197305101
"1.3X.summary_ranges_main","RIO-REPEAT","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",2763,25.5256064690027
"1.3X.summary_ranges_main","USREP-ReEDS","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3493.680895,17.4406374324874
"1.3X.summary_ranges_main","USREP-ReEDS","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3231.66939,19.4597560277351
"1.3X.summary_ranges_main","NEMS-OP","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3836.38348433595,11.4093086091542
"1.3X.summary_ranges_main","NEMS-OP","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3402.58860082152,17.294121697499
"1.3X.summary_ranges_main","REGEN-EPRI","IRA","Economy-Wide","Mt CO2/yr",2030,"Total Emissions",3990.38178732904,4.71454181235389
"1.3X.summary_ranges_main","REGEN-EPRI","IRA","Economy-Wide","Mt CO2/yr",2035,"Total Emissions",3224.40184675108,18.3298143430981
"1.3X.summary_ranges_main","EPS-EI","IRA","Electricity","Mt CO2/yr",2030,"Electricity",602.7,49.8364503483233
"1.3X.summary_ranges_main","EPS-EI","IRA","Electricity","Mt CO2/yr",2035,"Electricity",336.702,71.9108359959623
"1.3X.summary_ranges_main","GCAM-CGS","IRA","Electricity","Mt CO2/yr",2030,"Electricity",679.659054813217,46.6896562016787
"1.3X.summary_ranges_main","GCAM-CGS","IRA","Electricity","Mt CO2/yr",2035,"Electricity",445.580298326782,65.5421057105099
"1.3X.summary_ranges_main","GCAM-PNNL","IRA","Electricity","Mt CO2/yr",2030,"Electricity",831.998710072543,32.6165152906854
