"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EIA","Historic","TWh",2005,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",38.8555732006643,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2005,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",2012.82933778064,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2005,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",760.943730093552,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2005,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",14.6914259775724,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2005,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",270.31538513614,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2005,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",781.969384635276,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2005,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",122.222362901536,"stackbar",14,"Hist Generation Mix",0,"Oil","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2005,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",28.8839097340554,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2005,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",0.550281939587268,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2005,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",17.8101621435061,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
