"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EIA","Historic","Quads",2005,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",0.13258120331736,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2005,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",6.86808386279568,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2005,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",2.59645726346832,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2005,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",0.0501294092796,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2005,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",0.9223577477604,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2005,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",2.6682000362892,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2005,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",0.41704153600536,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2005,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",0.09855635100696,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2005,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",0.00187764715152,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2005,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",0.06077101803192,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
