"scenario","model","year","value","variable_rename","alpha","axe"
"Historic","OP-NEMS",2021,2397.719057916,"Total_High",0.8,1
"Historic","OP-NEMS",2021,2397.215975154,"Total_High",0.8,1
"Historic","AEO.2023",2021,2370.490228267,"Total_High",0.8,1
"No IRA","USREP-ReEDS",2030,1854.38964968133,"Total_High",1,2
"No IRA","EPS-EI",2030,2097.8216602,"Total_High",0.8,2
"No IRA","GCAM-CGS",2030,2204.65248146617,"Total_High",0.8,2
"No IRA","GCAM-PNNL",2030,2236.272493,"Total_High",1,2
"No IRA","Haiku-RFF",2030,1784.73498703539,"Total_High",0.8,2
"No IRA","IPM-NRDC",2030,2183.11910523117,"Total_High",0.8,2
"No IRA","IPM-EPA",2030,2222.83484471844,"Total_High",1,2
"No IRA","MARKAL-NETL",2030,2427.59418386683,"Total_High",0.8,2
"No IRA","NEMS-RHG",2030,1653.9787677,"Total_High",0.8,2
"No IRA","OP-NEMS",2030,1899.1920548986,"Total_High",0.8,2
"No IRA","REGEN-EPRI",2030,1762.87957969044,"Total_High",0.8,2
"No IRA","RIO-REPEAT",2030,1541.1228,"Total_High",0.8,2
"No IRA","ReEDS-NREL",2030,1895.22942941928,"Total_High",0.8,2
"No IRA","AEO.2023",2030,2075.9145597904,"Total_High",0.8,2
"IRA","USREP-ReEDS",2030,1069.37333819089,"Total_High",1,2
"IRA","EPS-EI",2030,1133.70181530511,"Total_High",0.8,2
"IRA","GCAM-CGS",2030,1385.42209987378,"Total_High",0.8,2
"IRA","GCAM-PNNL",2030,1563.34312851111,"Total_High",1,2
"IRA","Haiku-RFF",2030,1208.61693249967,"Total_High",0.8,2
"IRA","IPM-NRDC",2030,1751.78561833917,"Total_High",0.8,2
"IRA","IPM-EPA",2030,1892.85796931622,"Total_High",1,2
"IRA","MARKAL-NETL",2030,2403.69644075867,"Total_High",0.8,2
"IRA","NEMS-RHG",2030,908.727348868111,"Total_High",0.8,2
"IRA","OP-NEMS",2030,1263.71358743254,"Total_High",0.8,2
"IRA","REGEN-EPRI",2030,1693.98926508894,"Total_High",0.8,2
"IRA","RIO-REPEAT",2030,1219.8186,"Total_High",0.8,2
"IRA","ReEDS-NREL",2030,761.888432096167,"Total_High",0.8,2
"IRA","AEO.2023",2030,1432.11018698321,"Total_High",0.8,2
"No IRA","USREP-ReEDS",2035,1857.50431557017,"Total_High",1,3
"No IRA","EPS-EI",2035,2119.1973936,"Total_High",0.8,3
"No IRA","GCAM-CGS",2035,2400.51562764456,"Total_High",0.8,3
"No IRA","GCAM-PNNL",2035,2201.1048479,"Total_High",1,3
"No IRA","Haiku-RFF",2035,1665.83067997228,"Total_High",0.8,3
"No IRA","IPM-NRDC",2035,2266.35725914694,"Total_High",0.8,3
"No IRA","IPM-EPA",2035,2226.13747356428,"Total_High",1,3
"No IRA","MARKAL-NETL",2035,2561.77381046533,"Total_High",0.8,3
"No IRA","NEMS-RHG",2035,1546.09241579994,"Total_High",0.8,3
"No IRA","OP-NEMS",2035,1808.5870949426,"Total_High",0.8,3
"No IRA","REGEN-EPRI",2035,1857.92605787289,"Total_High",0.8,3
"No IRA","RIO-REPEAT",2035,1261.5218,"Total_High",0.8,3
"No IRA","ReEDS-NREL",2035,1832.564030374,"Total_High",0.8,3
"No IRA","AEO.2023",2035,1973.6778437572,"Total_High",0.8,3
"IRA","USREP-ReEDS",2035,878.435195129722,"Total_High",1,3
"IRA","EPS-EI",2035,692.264364170944,"Total_High",0.8,3
"IRA","GCAM-CGS",2035,1128.95440358011,"Total_High",0.8,3
"IRA","GCAM-PNNL",2035,1416.84065572778,"Total_High",1,3
"IRA","Haiku-RFF",2035,1106.15165934078,"Total_High",0.8,3
"IRA","IPM-NRDC",2035,1703.49025081861,"Total_High",0.8,3
"IRA","IPM-EPA",2035,1313.51894811939,"Total_High",1,3
"IRA","MARKAL-NETL",2035,1545.33121497806,"Total_High",0.8,3
"IRA","NEMS-RHG",2035,1091.85817582994,"Total_High",0.8,3
"IRA","OP-NEMS",2035,914.265973526093,"Total_High",0.8,3
"IRA","REGEN-EPRI",2035,969.498863957944,"Total_High",0.8,3
"IRA","RIO-REPEAT",2035,642.6084,"Total_High",0.8,3
"IRA","ReEDS-NREL",2035,549.302716327167,"Total_High",0.8,3
"IRA","AEO.2023",2035,1316.39850942289,"Total_High",0.8,3
