"scenario","model","year","value","variable_rename","alpha","axe"
"Historic","OP-NEMS",2021,3947.3692306286,"Total",0.8,1
"Historic","OP-NEMS",2021,3947.3728455378,"Total",0.8,1
"Historic","AEO.2023",2021,3921.1547336962,"Total",0.8,1
"No IRA","USREP-ReEDS",2030,4028.68737129835,"Total",1,2
"No IRA","EPS-EI",2030,4227.86700392,"Total",0.8,2
"No IRA","GCAM-CGS",2030,4354.25720433969,"Total",0.8,2
"No IRA","GCAM-PNNL",2030,5466.62474276862,"Total",1,2
"No IRA","Haiku-RFF",2030,3949.66280289781,"Total",0.8,2
"No IRA","IPM-NRDC",2030,4020.45690317496,"Total",0.8,2
"No IRA","IPM-EPA",2030,4237.57332010824,"Total",1,2
"No IRA","MARKAL-NETL",2030,4560.7487963739,"Total",0.8,2
"No IRA","NEMS-RHG",2030,3985.1840214172,"Total",0.8,2
"No IRA","OP-NEMS",2030,4170.8886781044,"Total",0.8,2
"No IRA","REGEN-EPRI",2030,3843.95158031795,"Total",0.8,2
"No IRA","RIO-REPEAT",2030,4332.3938,"Total",0.8,2
"No IRA","ReEDS-NREL",2030,4032.85150002549,"Total",0.8,2
"No IRA","AEO.2023",2030,2763.7957745762,"Total",0.8,2
"IRA","USREP-ReEDS",2030,4063.15413831613,"Total",1,2
"IRA","EPS-EI",2030,4693.3339183514,"Total",0.8,2
"IRA","GCAM-CGS",2030,4738.21572880996,"Total",0.8,2
"IRA","GCAM-PNNL",2030,5745.070592352,"Total",1,2
"IRA","Haiku-RFF",2030,3955.67607523339,"Total",0.8,2
"IRA","IPM-NRDC",2030,4019.65560771535,"Total",0.8,2
"IRA","IPM-EPA",2030,4248.08454852697,"Total",1,2
"IRA","MARKAL-NETL",2030,4671.87843527754,"Total",0.8,2
"IRA","NEMS-RHG",2030,4014.5311764838,"Total",0.8,2
"IRA","OP-NEMS",2030,4392.0971437,"Total",0.8,2
"IRA","REGEN-EPRI",2030,3980.41267559898,"Total",0.8,2
"IRA","RIO-REPEAT",2030,4802.5026,"Total",0.8,2
"IRA","ReEDS-NREL",2030,4155.72111539136,"Total",0.8,2
"IRA","AEO.2023",2030,4290.3096526416,"Total",0.8,2
"No IRA","USREP-ReEDS",2035,4166.38233812336,"Total",1,3
"No IRA","EPS-EI",2035,4533.4074891,"Total",0.8,3
"No IRA","GCAM-CGS",2035,4699.26690901295,"Total",0.8,3
"No IRA","GCAM-PNNL",2035,6140.63389419962,"Total",1,3
"No IRA","Haiku-RFF",2035,3952.6717045909,"Total",0.8,3
"No IRA","IPM-NRDC",2035,4125.22387311741,"Total",0.8,3
"No IRA","IPM-EPA",2035,4519.5465944704,"Total",1,3
"No IRA","MARKAL-NETL",2035,4731.32660505826,"Total",0.8,3
"No IRA","NEMS-RHG",2035,4150.510055895,"Total",0.8,3
"No IRA","OP-NEMS",2035,4317.5668044502,"Total",0.8,3
"No IRA","REGEN-EPRI",2035,4020.19034809586,"Total",0.8,3
"No IRA","RIO-REPEAT",2035,4834.7278,"Total",0.8,3
"No IRA","ReEDS-NREL",2035,4189.46564265844,"Total",0.8,3
"No IRA","AEO.2023",2035,3010.6544520528,"Total",0.8,3
"IRA","USREP-ReEDS",2035,4201.45467325991,"Total",1,3
"IRA","EPS-EI",2035,5031.9746210216,"Total",0.8,3
"IRA","GCAM-CGS",2035,4888.55983089374,"Total",0.8,3
"IRA","GCAM-PNNL",2035,6263.71914746978,"Total",1,3
"IRA","Haiku-RFF",2035,3963.42936647064,"Total",0.8,3
"IRA","IPM-NRDC",2035,4147.47471727514,"Total",0.8,3
"IRA","IPM-EPA",2035,4550.8655725006,"Total",1,3
"IRA","MARKAL-NETL",2035,4926.04173971913,"Total",0.8,3
"IRA","NEMS-RHG",2035,4256.1538788216,"Total",0.8,3
"IRA","OP-NEMS",2035,4752.8573752982,"Total",0.8,3
"IRA","REGEN-EPRI",2035,4294.71556509782,"Total",0.8,3
"IRA","RIO-REPEAT",2035,5913.3242,"Total",0.8,3
"IRA","ReEDS-NREL",2035,4497.10743856869,"Total",0.8,3
"IRA","AEO.2023",2035,4486.5117668,"Total",0.8,3
