"year","variable_rename","model","scenario","value","alpha","axe"
2021,"Wind","OP-NEMS","Historic",357.9416677494,0.8,1
2021,"Wind","OP-NEMS","Historic",357.9245447946,0.8,1
2021,"Wind","AEO.2023","Historic",358.9235989752,0.8,1
2030,"Wind","USREP-ReEDS","No IRA",629.898540484111,1,2
2030,"Wind","USREP-ReEDS","IRA",1289.74678324567,1,2
2030,"Wind","EPS-EI","No IRA",695.48492986,0.8,2
2030,"Wind","EPS-EI","IRA",1514.84561368,0.8,2
2030,"Wind","GCAM-CGS","No IRA",546.372969640944,0.8,2
2030,"Wind","GCAM-CGS","IRA",1072.80905605961,0.8,2
2030,"Wind","GCAM-PNNL","No IRA",1159.39003133333,1,2
2030,"Wind","GCAM-PNNL","IRA",1556.03110768039,1,2
2030,"Wind","Haiku-RFF","No IRA",793.896432405222,0.8,2
2030,"Wind","Haiku-RFF","IRA",1093.49633913294,0.8,2
2030,"Wind","IPM-NRDC","No IRA",725.824869831444,0.8,2
2030,"Wind","IPM-NRDC","IRA",843.851087321278,0.8,2
2030,"Wind","IPM-EPA","No IRA",675.165732288444,1,2
2030,"Wind","IPM-EPA","IRA",800.035279559833,1,2
2030,"Wind","MARKAL-NETL","No IRA",616.162640078222,0.8,2
2030,"Wind","MARKAL-NETL","IRA",570.726124857,0.8,2
2030,"Wind","NEMS-RHG","No IRA",738.90066229,0.8,2
2030,"Wind","NEMS-RHG","IRA",1168.382546058,0.8,2
2030,"Wind","OP-NEMS","No IRA",640.1868354504,0.8,2
2030,"Wind","OP-NEMS","IRA",890.3130145672,0.8,2
2030,"Wind","REGEN-EPRI","No IRA",597.984314190667,0.8,2
2030,"Wind","REGEN-EPRI","IRA",594.689511803333,0.8,2
2030,"Wind","RIO-REPEAT","No IRA",1037.841,0.8,2
2030,"Wind","RIO-REPEAT","IRA",1646.3286,0.8,2
2030,"Wind","ReEDS-NREL","No IRA",650.317571672611,0.8,2
2030,"Wind","ReEDS-NREL","IRA",1207.40155829183,0.8,2
2030,"Wind","AEO.2023","No IRA",565.7115302076,0.8,2
2030,"Wind","AEO.2023","IRA",927.3682109496,0.8,2
2035,"Wind","USREP-ReEDS","No IRA",711.784695348611,1,3
2035,"Wind","USREP-ReEDS","IRA",1550.03935092417,1,3
2035,"Wind","EPS-EI","No IRA",844.14366344,0.8,3
2035,"Wind","EPS-EI","IRA",2443.39892342,0.8,3
2035,"Wind","GCAM-CGS","No IRA",585.683659426444,0.8,3
2035,"Wind","GCAM-CGS","IRA",1185.39293144183,0.8,3
2035,"Wind","GCAM-PNNL","No IRA",1517.45307466667,1,3
2035,"Wind","GCAM-PNNL","IRA",1946.92783861372,1,3
2035,"Wind","Haiku-RFF","No IRA",885.244926454389,0.8,3
2035,"Wind","Haiku-RFF","IRA",1240.40377236689,0.8,3
2035,"Wind","IPM-NRDC","No IRA",939.918360847278,0.8,3
2035,"Wind","IPM-NRDC","IRA",1296.81860233256,0.8,3
2035,"Wind","IPM-EPA","No IRA",871.465308246944,1,3
2035,"Wind","IPM-EPA","IRA",1421.98359545044,1,3
2035,"Wind","MARKAL-NETL","No IRA",632.046201312167,0.8,3
2035,"Wind","MARKAL-NETL","IRA",570.726124857,0.8,3
2035,"Wind","NEMS-RHG","No IRA",775.535665812056,0.8,3
2035,"Wind","NEMS-RHG","IRA",1405.88509160594,0.8,3
2035,"Wind","OP-NEMS","No IRA",734.0894380344,0.8,3
2035,"Wind","OP-NEMS","IRA",1147.4307218948,0.8,3
2035,"Wind","REGEN-EPRI","No IRA",610.383857404611,0.8,3
2035,"Wind","REGEN-EPRI","IRA",1296.60028923989,0.8,3
2035,"Wind","RIO-REPEAT","No IRA",1321.2332,0.8,3
2035,"Wind","RIO-REPEAT","IRA",2251.025,0.8,3
2035,"Wind","ReEDS-NREL","No IRA",787.9170657645,0.8,3
2035,"Wind","ReEDS-NREL","IRA",1492.57230683478,0.8,3
2035,"Wind","AEO.2023","No IRA",636.87520519,0.8,3
2035,"Wind","AEO.2023","IRA",1075.7900229636,0.8,3
