"model","scenario","unit","year","variable","region","value","figure_num"
"EPS-EI","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",602.7,"2.6.power_sensitivities_BW"
"EPS-EI","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",336.702,"2.6.power_sensitivities_BW"
"EPS-EI","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",339.282,"2.6.power_sensitivities_BW"
"EPS-EI","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",308.897,"2.6.power_sensitivities_BW"
"EPS-EI","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",669.569,"2.6.power_sensitivities_BW"
"EPS-EI","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",385.676,"2.6.power_sensitivities_BW"
"GCAM-CGS","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",679.659054813217,"2.6.power_sensitivities_BW"
"GCAM-CGS","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",445.580298326782,"2.6.power_sensitivities_BW"
"GCAM-CGS","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",594.272995537859,"2.6.power_sensitivities_BW"
"GCAM-CGS","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",437.138518923095,"2.6.power_sensitivities_BW"
"GCAM-CGS","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",763.152178624021,"2.6.power_sensitivities_BW"
"GCAM-CGS","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",445.854113821789,"2.6.power_sensitivities_BW"
"Haiku-RFF","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",852.658725492053,"2.6.power_sensitivities_BW"
"Haiku-RFF","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",767.701065402758,"2.6.power_sensitivities_BW"
"Haiku-RFF","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",675.210223643002,"2.6.power_sensitivities_BW"
"Haiku-RFF","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",666.917523473785,"2.6.power_sensitivities_BW"
"Haiku-RFF","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",902.000745494878,"2.6.power_sensitivities_BW"
"Haiku-RFF","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",815.747686691477,"2.6.power_sensitivities_BW"
"REGEN-EPRI","IRA","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",999.666254194768,"2.6.power_sensitivities_BW"
"REGEN-EPRI","IRA","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",500.03751964597,"2.6.power_sensitivities_BW"
"REGEN-EPRI","IRA.High","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",1062.41927635461,"2.6.power_sensitivities_BW"
"REGEN-EPRI","IRA.High","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",309.212628521459,"2.6.power_sensitivities_BW"
"REGEN-EPRI","IRA.Low","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",1155.62116148555,"2.6.power_sensitivities_BW"
"REGEN-EPRI","IRA.Low","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",950.894070439873,"2.6.power_sensitivities_BW"
