"title_name","figure_no","model","scenario","unit","region","variable_rename","year","value"
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2010,1.909625175242
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2011,1.7935801683609
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2012,1.55658886537589
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2013,1.56551403807635
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2014,1.51285729577474
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2015,1.25472422780172
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2016,1.09286347361426
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2017,0.96819509089539
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2018,0.93286098810894
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2019,0.80048419547805
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2020,0.671493758437305
"Nox",122,"EPA","Historic","Mt NOx/yr","United States","NOx",2021,0.709374053734515
"Nox",122,"EPS-EI","IRA","Mt NOx/yr","United States","NOx",2021,0.709374053734515
"Nox",122,"EPS-EI","IRA","Mt NOx/yr","United States","NOx",2025,0.586022
"Nox",122,"EPS-EI","IRA","Mt NOx/yr","United States","NOx",2030,0.268164
"Nox",122,"EPS-EI","IRA","Mt NOx/yr","United States","NOx",2035,0.125015
"Nox",122,"EPS-EI","No IRA","Mt NOx/yr","United States","NOx",2021,0.709374053734515
"Nox",122,"EPS-EI","No IRA","Mt NOx/yr","United States","NOx",2025,0.721639
"Nox",122,"EPS-EI","No IRA","Mt NOx/yr","United States","NOx",2030,0.595847
"Nox",122,"EPS-EI","No IRA","Mt NOx/yr","United States","NOx",2035,0.585692
"Nox",122,"Haiku-RFF","IRA","Mt NOx/yr","United States","NOx",2021,0.709374053734515
"Nox",122,"Haiku-RFF","IRA","Mt NOx/yr","United States","NOx",2025,0.789013987794067
"Nox",122,"Haiku-RFF","IRA","Mt NOx/yr","United States","NOx",2030,0.558237008327727
"Nox",122,"Haiku-RFF","IRA","Mt NOx/yr","United States","NOx",2035,0.5049369983778
"Nox",122,"Haiku-RFF","No IRA","Mt NOx/yr","United States","NOx",2021,0.709374053734515
"Nox",122,"Haiku-RFF","No IRA","Mt NOx/yr","United States","NOx",2025,0.905279825012843
"Nox",122,"Haiku-RFF","No IRA","Mt NOx/yr","United States","NOx",2030,0.792811909583623
"Nox",122,"Haiku-RFF","No IRA","Mt NOx/yr","United States","NOx",2035,0.717399725212682
"Nox",122,"IPM-NRDC","IRA","Mt NOx/yr","United States","NOx",2021,0.709374053734515
"Nox",122,"IPM-NRDC","IRA","Mt NOx/yr","United States","NOx",2025,0.403377993832773
"Nox",122,"IPM-NRDC","IRA","Mt NOx/yr","United States","NOx",2030,0.287890359544964
