"figure_num","model","scenario","variable","unit","year","variable_rename","value"
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2010,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",0
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2011,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",0.1
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2012,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",0.4
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2013,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",0.7
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2014,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",0.7
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2015,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",0.8
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2016,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",0.8
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2017,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",1.4
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2018,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",2.2
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2019,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",1.7
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2020,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",2.3
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2021,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","EPA-ATR","Historic","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2022,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","EPS-EI","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2022,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","EPS-EI","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2025,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",15.2719
"3.4","EPS-EI","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2030,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",34.12818
"3.4","EPS-EI","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2035,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",36.1236
"3.4","EPS-EI","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2022,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","EPS-EI","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2025,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",14.84036
"3.4","EPS-EI","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2030,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",29.2927
"3.4","EPS-EI","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2035,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",35.40566
"3.4","GCAM-CGS","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2022,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","GCAM-CGS","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2025,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",18.9
"3.4","GCAM-CGS","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2030,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",42.7
"3.4","GCAM-CGS","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2035,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",30.8
"3.4","GCAM-CGS","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2022,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","GCAM-CGS","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2025,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",11.4
"3.4","GCAM-CGS","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2030,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",24
"3.4","GCAM-CGS","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2035,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",26.7
"3.4","NEMS-RHG","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2022,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","NEMS-RHG","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2025,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",9.7921074
"3.4","NEMS-RHG","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2030,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",31.6982366
"3.4","NEMS-RHG","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2035,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",30.0622747
"3.4","NEMS-RHG","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2022,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","NEMS-RHG","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2025,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",11.4630334
"3.4","NEMS-RHG","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2030,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",22.0978859
"3.4","NEMS-RHG","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2035,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",29.4284095
"3.4","REGEN-EPRI","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2022,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","REGEN-EPRI","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2025,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",17.97
"3.4","REGEN-EPRI","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2030,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",44.31
