"figure_num","model","scenario","variable","unit","year","variable_rename","value"
"3.5.elc_ldv","EPS-EI","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",43.73698924
"3.5.elc_ldv","EPS-EI","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",43.54041552
"3.5.elc_ldv","GCAM-CGS","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",58.7406762857185
"3.5.elc_ldv","GCAM-CGS","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",36.4835030572875
"3.5.elc_ldv","GCAM-PNNL","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",77.0200232911667
"3.5.elc_ldv","GCAM-PNNL","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",43.5738675944444
"3.5.elc_ldv","Haiku-RFF","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",10.4396165287255
"3.5.elc_ldv","Haiku-RFF","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",10.4396165287255
"3.5.elc_ldv","IPM-NRDC","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",26.9437484694
"3.5.elc_ldv","IPM-NRDC","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",26.9437484694
"3.5.elc_ldv","MARKAL-NETL","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",306.75002564724
"3.5.elc_ldv","MARKAL-NETL","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",295.75282489256
"3.5.elc_ldv","NEMS-RHG","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",22.4524230886284
"3.5.elc_ldv","NEMS-RHG","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",25.3350412303634
"3.5.elc_ldv","REGEN-EPRI","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",59.7513212421146
"3.5.elc_ldv","REGEN-EPRI","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",47.0386095067161
"3.5.elc_ldv","RIO-REPEAT","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",82.4586
"3.5.elc_ldv","RIO-REPEAT","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",74.8762
"3.5.elc_ldv","USREP-ReEDS","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",25.8308996831667
"3.5.elc_ldv","USREP-ReEDS","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2025,"Light-Duty Vehicles",25.0980307095
"3.5.elc_ldv","EPS-EI","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2030,"Light-Duty Vehicles",161.9297344
"3.5.elc_ldv","EPS-EI","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2030,"Light-Duty Vehicles",147.5260178
"3.5.elc_ldv","GCAM-CGS","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2030,"Light-Duty Vehicles",181.577883288433
"3.5.elc_ldv","GCAM-CGS","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2030,"Light-Duty Vehicles",102.255441398202
"3.5.elc_ldv","GCAM-PNNL","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2030,"Light-Duty Vehicles",273.796046198889
"3.5.elc_ldv","GCAM-PNNL","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2030,"Light-Duty Vehicles",149.9045219
"3.5.elc_ldv","Haiku-RFF","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2030,"Light-Duty Vehicles",19.0639591695936
"3.5.elc_ldv","Haiku-RFF","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2030,"Light-Duty Vehicles",19.0639591695936
"3.5.elc_ldv","IPM-EPA","IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2030,"Light-Duty Vehicles",165.417634956361
"3.5.elc_ldv","IPM-EPA","No IRA","Final Energy|Transportation|Passenger|Road|Electricity","TWh",2030,"Light-Duty Vehicles",165.417634956361
