"figure_num","model","scenario","variable","unit","year","label","value"
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2005,"Buildings: Direct",586
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2005,"Buildings: Indirect",1659
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2005,"Other Sectors",850.8
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2005,"Other Sectors",736.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2005,"Other Sectors",1858.6
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2005,"Other Sectors",4.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2005,"Other Sectors",385.1
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2006,"Buildings: Direct",533.5
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2006,"Buildings: Indirect",1628.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2006,"Other Sectors",875.1
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2006,"Other Sectors",711.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2006,"Other Sectors",1859.1
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2006,"Other Sectors",4.5
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2006,"Other Sectors",389.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2007,"Buildings: Direct",564.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2007,"Buildings: Indirect",1691.1
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2007,"Other Sectors",866.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2007,"Other Sectors",714.9
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2007,"Other Sectors",1860.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2007,"Other Sectors",5.1
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2007,"Other Sectors",381
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2008,"Buildings: Direct",575.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2008,"Buildings: Indirect",1658
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2008,"Other Sectors",819
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2008,"Other Sectors",696.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2008,"Other Sectors",1759.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2008,"Other Sectors",4.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2008,"Other Sectors",363
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2009,"Buildings: Direct",564.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2009,"Buildings: Indirect",1539.2
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2009,"Other Sectors",742.5
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2009,"Other Sectors",601.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2009,"Other Sectors",1688.5
