"figure_num","model","scenario","variable","unit","year","variable_rename","value"
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2022,"Buildings",589.409851
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2023,"Buildings",590.800781
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2024,"Buildings",564.892395
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",568.035919
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2026,"Buildings",570.913696
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2027,"Buildings",572.336213
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2028,"Buildings",574.218872
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2029,"Buildings",574.623077
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",574.227325
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2031,"Buildings",573.337097
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2032,"Buildings",572.155609
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2033,"Buildings",571.185776
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2034,"Buildings",569.888855
4.2,"AEO.2023","IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2035,"Buildings",568.56224
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2021,"Buildings",546.3
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2022,"Buildings",589.399963
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2023,"Buildings",590.823242
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2024,"Buildings",566.905854
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2025,"Buildings",570.79184
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2026,"Buildings",573.589081
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2027,"Buildings",574.362001
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2028,"Buildings",575.563964
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2029,"Buildings",575.511932
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2030,"Buildings",574.856507
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2031,"Buildings",573.938629
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2032,"Buildings",573.257965
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2033,"Buildings",572.368165
4.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2034,"Buildings",571.457185
