"model","scenario","variable_rename","year","value","figure_num"
"USREP-ReEDS","No IRA","Total Emissions",2025,4540.270473,"Ap.1.EconWideEmis"
"USREP-ReEDS","No IRA","Total Emissions",2030,4231.719803,"Ap.1.EconWideEmis"
"USREP-ReEDS","No IRA","Total Emissions",2035,4012.490192,"Ap.1.EconWideEmis"
"USREP-ReEDS","No IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"USREP-ReEDS","IRA","Total Emissions",2025,4127.409674,"Ap.1.EconWideEmis"
"USREP-ReEDS","IRA","Total Emissions",2030,3493.680895,"Ap.1.EconWideEmis"
"USREP-ReEDS","IRA","Total Emissions",2035,3231.66939,"Ap.1.EconWideEmis"
"USREP-ReEDS","IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"EPS-EI","No IRA","Total Emissions",2025,4788.713149,"Ap.1.EconWideEmis"
"EPS-EI","No IRA","Total Emissions",2030,4446.092957,"Ap.1.EconWideEmis"
"EPS-EI","No IRA","Total Emissions",2035,4246.979551,"Ap.1.EconWideEmis"
"EPS-EI","No IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"EPS-EI","IRA","Total Emissions",2025,4528.419084,"Ap.1.EconWideEmis"
"EPS-EI","IRA","Total Emissions",2030,3660.969727,"Ap.1.EconWideEmis"
"EPS-EI","IRA","Total Emissions",2035,3157.577295,"Ap.1.EconWideEmis"
"EPS-EI","IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"GCAM-CGS","No IRA","Total Emissions",2025,4678.342801,"Ap.1.EconWideEmis"
"GCAM-CGS","No IRA","Total Emissions",2030,4515.631571,"Ap.1.EconWideEmis"
"GCAM-CGS","No IRA","Total Emissions",2035,4358.333181,"Ap.1.EconWideEmis"
"GCAM-CGS","No IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"GCAM-CGS","IRA","Total Emissions",2025,4143.321311,"Ap.1.EconWideEmis"
"GCAM-CGS","IRA","Total Emissions",2030,3535.151172,"Ap.1.EconWideEmis"
"GCAM-CGS","IRA","Total Emissions",2035,3265.139396,"Ap.1.EconWideEmis"
"GCAM-CGS","IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"GCAM-PNNL","No IRA","Total Emissions",2025,4313.135,"Ap.1.EconWideEmis"
"GCAM-PNNL","No IRA","Total Emissions",2030,4093.635,"Ap.1.EconWideEmis"
"GCAM-PNNL","No IRA","Total Emissions",2035,3788,"Ap.1.EconWideEmis"
"GCAM-PNNL","No IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"GCAM-PNNL","IRA","Total Emissions",2025,4150.86876799247,"Ap.1.EconWideEmis"
"GCAM-PNNL","IRA","Total Emissions",2030,3631.81913612816,"Ap.1.EconWideEmis"
"GCAM-PNNL","IRA","Total Emissions",2035,3310.10805031081,"Ap.1.EconWideEmis"
"GCAM-PNNL","IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"MARKAL-NETL","No IRA","Total Emissions",2025,4284.46,"Ap.1.EconWideEmis"
"MARKAL-NETL","No IRA","Total Emissions",2030,4171.2,"Ap.1.EconWideEmis"
"MARKAL-NETL","No IRA","Total Emissions",2035,4163.41,"Ap.1.EconWideEmis"
"MARKAL-NETL","No IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"MARKAL-NETL","IRA","Total Emissions",2025,4265.25,"Ap.1.EconWideEmis"
"MARKAL-NETL","IRA","Total Emissions",2030,3978.59,"Ap.1.EconWideEmis"
"MARKAL-NETL","IRA","Total Emissions",2035,3385.68,"Ap.1.EconWideEmis"
"MARKAL-NETL","IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"NEMS-RHG","No IRA","Total Emissions",2025,4516.989884,"Ap.1.EconWideEmis"
"NEMS-RHG","No IRA","Total Emissions",2030,4267.337931,"Ap.1.EconWideEmis"
"NEMS-RHG","No IRA","Total Emissions",2035,4069.215131,"Ap.1.EconWideEmis"
"NEMS-RHG","No IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"NEMS-RHG","IRA","Total Emissions",2025,4617.66278,"Ap.1.EconWideEmis"
"NEMS-RHG","IRA","Total Emissions",2030,3731.423416,"Ap.1.EconWideEmis"
"NEMS-RHG","IRA","Total Emissions",2035,3572.575636,"Ap.1.EconWideEmis"
"NEMS-RHG","IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"OP-NEMS","No IRA","Total Emissions",2025,4635.118241,"Ap.1.EconWideEmis"
"OP-NEMS","No IRA","Total Emissions",2030,4330.458905,"Ap.1.EconWideEmis"
"OP-NEMS","No IRA","Total Emissions",2035,4114.083147,"Ap.1.EconWideEmis"
"OP-NEMS","No IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"OP-NEMS","IRA","Total Emissions",2025,4540.78964304377,"Ap.1.EconWideEmis"
"OP-NEMS","IRA","Total Emissions",2030,3869.90643333595,"Ap.1.EconWideEmis"
"OP-NEMS","IRA","Total Emissions",2035,3465.71799582152,"Ap.1.EconWideEmis"
"OP-NEMS","IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"REGEN-EPRI","No IRA","Total Emissions",2025,4563.701017,"Ap.1.EconWideEmis"
"REGEN-EPRI","No IRA","Total Emissions",2030,4187.818229,"Ap.1.EconWideEmis"
"REGEN-EPRI","No IRA","Total Emissions",2035,3948.077038,"Ap.1.EconWideEmis"
"REGEN-EPRI","No IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"REGEN-EPRI","IRA","Total Emissions",2025,4523.30792404377,"Ap.1.EconWideEmis"
"REGEN-EPRI","IRA","Total Emissions",2030,3990.38178733595,"Ap.1.EconWideEmis"
"REGEN-EPRI","IRA","Total Emissions",2035,3224.40184682152,"Ap.1.EconWideEmis"
"REGEN-EPRI","IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"RIO-REPEAT","No IRA","Total Emissions",2025,4809.5,"Ap.1.EconWideEmis"
"RIO-REPEAT","No IRA","Total Emissions",2030,4156,"Ap.1.EconWideEmis"
"RIO-REPEAT","No IRA","Total Emissions",2035,3710,"Ap.1.EconWideEmis"
"RIO-REPEAT","No IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"RIO-REPEAT","IRA","Total Emissions",2025,4771.5,"Ap.1.EconWideEmis"
"RIO-REPEAT","IRA","Total Emissions",2030,3693,"Ap.1.EconWideEmis"
"RIO-REPEAT","IRA","Total Emissions",2035,2763,"Ap.1.EconWideEmis"
"RIO-REPEAT","IRA","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
"EPA-GHGI","Historic","Total Emissions",2021,5032.212819,"Ap.1.EconWideEmis"
