"model","year","scenario","variable_rename","diff","figure_num"
"USREP-ReEDS",2025,"IRA","CO2",-412.860798999999,"Ap.1.EconWideEmis"
"USREP-ReEDS",2030,"IRA","CO2",-738.038908,"Ap.1.EconWideEmis"
"USREP-ReEDS",2035,"IRA","CO2",-780.820802,"Ap.1.EconWideEmis"
"EPS-EI",2025,"IRA","CO2",-260.294065,"Ap.1.EconWideEmis"
"EPS-EI",2030,"IRA","CO2",-785.12323,"Ap.1.EconWideEmis"
"EPS-EI",2035,"IRA","CO2",-1089.402256,"Ap.1.EconWideEmis"
"GCAM-CGS",2025,"IRA","CO2",-535.02149,"Ap.1.EconWideEmis"
"GCAM-CGS",2030,"IRA","CO2",-980.480399,"Ap.1.EconWideEmis"
"GCAM-CGS",2035,"IRA","CO2",-1093.193785,"Ap.1.EconWideEmis"
"GCAM-PNNL",2025,"IRA","CO2",-232.74440998483,"Ap.1.EconWideEmis"
"GCAM-PNNL",2030,"IRA","CO2",-523.40116953325,"Ap.1.EconWideEmis"
"GCAM-PNNL",2035,"IRA","CO2",-609.03291155463,"Ap.1.EconWideEmis"
"MARKAL-NETL",2025,"IRA","CO2",-19.21,"Ap.1.EconWideEmis"
"MARKAL-NETL",2030,"IRA","CO2",-192.61,"Ap.1.EconWideEmis"
"MARKAL-NETL",2035,"IRA","CO2",-777.73,"Ap.1.EconWideEmis"
"NEMS-RHG",2025,"IRA","CO2",100.672896,"Ap.1.EconWideEmis"
"NEMS-RHG",2030,"IRA","CO2",-535.914515,"Ap.1.EconWideEmis"
"NEMS-RHG",2035,"IRA","CO2",-496.639495,"Ap.1.EconWideEmis"
"OP-NEMS",2025,"IRA","CO2",-79.4097739141189,"Ap.1.EconWideEmis"
"OP-NEMS",2030,"IRA","CO2",-454.355004571647,"Ap.1.EconWideEmis"
"OP-NEMS",2035,"IRA","CO2",-729.953665595072,"Ap.1.EconWideEmis"
"REGEN-EPRI",2025,"IRA","CO2",-34.8727059141193,"Ap.1.EconWideEmis"
"REGEN-EPRI",2030,"IRA","CO2",-190.134237571647,"Ap.1.EconWideEmis"
"REGEN-EPRI",2035,"IRA","CO2",-718.475862595073,"Ap.1.EconWideEmis"
"RIO-REPEAT",2025,"IRA","CO2",-38,"Ap.1.EconWideEmis"
"RIO-REPEAT",2030,"IRA","CO2",-463,"Ap.1.EconWideEmis"
"RIO-REPEAT",2035,"IRA","CO2",-947,"Ap.1.EconWideEmis"
"USREP-ReEDS",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"EPS-EI",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"GCAM-CGS",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"GCAM-PNNL",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"MARKAL-NETL",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"NEMS-RHG",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"OP-NEMS",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"REGEN-EPRI",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"RIO-REPEAT",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
