"model","year","scenario","variable_rename","value","figure_num"
"USREP-ReEDS",2025,"IRA","Wind",28.3244414894087,"Ap.11.WindGen"
"USREP-ReEDS",2030,"IRA","Wind",104.754686723742,"Ap.11.WindGen"
"USREP-ReEDS",2035,"IRA","Wind",117.768007805366,"Ap.11.WindGen"
"EPS-EI",2025,"IRA","Wind",51.3354100978854,"Ap.11.WindGen"
"EPS-EI",2030,"IRA","Wind",117.811421734895,"Ap.11.WindGen"
"EPS-EI",2035,"IRA","Wind",189.452972194664,"Ap.11.WindGen"
"GCAM-CGS",2025,"IRA","Wind",71.9426767031202,"Ap.11.WindGen"
"GCAM-CGS",2030,"IRA","Wind",96.3510487652089,"Ap.11.WindGen"
"GCAM-CGS",2035,"IRA","Wind",102.394742001626,"Ap.11.WindGen"
"GCAM-PNNL",2025,"IRA","Wind",33.6673492667232,"Ap.11.WindGen"
"GCAM-PNNL",2030,"IRA","Wind",34.2111856776021,"Ap.11.WindGen"
"GCAM-PNNL",2035,"IRA","Wind",28.302342333808,"Ap.11.WindGen"
"Haiku-RFF",2025,"IRA","Wind",18.2763526294864,"Ap.11.WindGen"
"Haiku-RFF",2030,"IRA","Wind",37.7379081828144,"Ap.11.WindGen"
"Haiku-RFF",2035,"IRA","Wind",40.1198397527104,"Ap.11.WindGen"
"IPM-NRDC",2025,"IRA","Wind",-19.8158409820873,"Ap.11.WindGen"
"IPM-NRDC",2030,"IRA","Wind",16.2609773232546,"Ap.11.WindGen"
"IPM-NRDC",2035,"IRA","Wind",37.971408619314,"Ap.11.WindGen"
"IPM-EPA",2030,"IRA","Wind",18.4946512092889,"Ap.11.WindGen"
"IPM-EPA",2035,"IRA","Wind",63.1715665550626,"Ap.11.WindGen"
"MARKAL-NETL",2025,"IRA","Wind",-1.96098828698978,"Ap.11.WindGen"
"MARKAL-NETL",2030,"IRA","Wind",-7.37411070808415,"Ap.11.WindGen"
"MARKAL-NETL",2035,"IRA","Wind",-9.70183450637983,"Ap.11.WindGen"
"NEMS-RHG",2025,"IRA","Wind",-18.4089317976948,"Ap.11.WindGen"
"NEMS-RHG",2030,"IRA","Wind",58.1244415774308,"Ap.11.WindGen"
"NEMS-RHG",2035,"IRA","Wind",81.2792310633266,"Ap.11.WindGen"
"OP-NEMS",2022,"IRA","Wind",-0.863221960618854,"Ap.11.WindGen"
"OP-NEMS",2023,"IRA","Wind",-0.0361131878554688,"Ap.11.WindGen"
"OP-NEMS",2024,"IRA","Wind",9.61433995392926,"Ap.11.WindGen"
"OP-NEMS",2025,"IRA","Wind",8.35244209757628,"Ap.11.WindGen"
"OP-NEMS",2026,"IRA","Wind",10.8241779434453,"Ap.11.WindGen"
"OP-NEMS",2027,"IRA","Wind",19.7352466581338,"Ap.11.WindGen"
"OP-NEMS",2028,"IRA","Wind",24.7070285234432,"Ap.11.WindGen"
"OP-NEMS",2029,"IRA","Wind",34.5748837727766,"Ap.11.WindGen"
"OP-NEMS",2030,"IRA","Wind",39.0708095302874,"Ap.11.WindGen"
"OP-NEMS",2031,"IRA","Wind",41.6907471015865,"Ap.11.WindGen"
"OP-NEMS",2032,"IRA","Wind",42.8621859306799,"Ap.11.WindGen"
"OP-NEMS",2033,"IRA","Wind",50.5303940898496,"Ap.11.WindGen"
"OP-NEMS",2034,"IRA","Wind",55.9133311921989,"Ap.11.WindGen"
"OP-NEMS",2035,"IRA","Wind",56.3066654340054,"Ap.11.WindGen"
"REGEN-EPRI",2025,"IRA","Wind",1.61319132029478,"Ap.11.WindGen"
"REGEN-EPRI",2030,"IRA","Wind",-0.550984751463368,"Ap.11.WindGen"
"REGEN-EPRI",2035,"IRA","Wind",112.423751629526,"Ap.11.WindGen"
"RIO-REPEAT",2025,"IRA","Wind",1.04821802935009,"Ap.11.WindGen"
"RIO-REPEAT",2030,"IRA","Wind",58.6301369863014,"Ap.11.WindGen"
"RIO-REPEAT",2035,"IRA","Wind",70.3730272596844,"Ap.11.WindGen"
"ReEDS-NREL",2025,"IRA","Wind",23.2265589857688,"Ap.11.WindGen"
"ReEDS-NREL",2030,"IRA","Wind",85.6633760004988,"Ap.11.WindGen"
"ReEDS-NREL",2035,"IRA","Wind",89.432666417317,"Ap.11.WindGen"
"AEO.2023",2022,"IRA","Wind",0.0106209371494748,"Ap.11.WindGen"
"AEO.2023",2023,"IRA","Wind",0.0876376276546909,"Ap.11.WindGen"
"AEO.2023",2024,"IRA","Wind",0.115881441657306,"Ap.11.WindGen"
"AEO.2023",2025,"IRA","Wind",-0.34243671472044,"Ap.11.WindGen"
"AEO.2023",2026,"IRA","Wind",7.459801022096,"Ap.11.WindGen"
