"model","year","scenario","variable_rename","diff","figure_num"
"USREP-ReEDS",2025,"IRA","Wind",0.5893975308466,"Ap.11.WindGen"
"USREP-ReEDS",2030,"IRA","Wind",2.3754536739416,"Ap.11.WindGen"
"USREP-ReEDS",2035,"IRA","Wind",3.017716760072,"Ap.11.WindGen"
"EPS-EI",2025,"IRA","Wind",0.89735315544,"Ap.11.WindGen"
"EPS-EI",2030,"IRA","Wind",2.949698461752,"Ap.11.WindGen"
"EPS-EI",2035,"IRA","Wind",5.757318935928,"Ap.11.WindGen"
"GCAM-CGS",2025,"IRA","Wind",1.1077237412906,"Ap.11.WindGen"
"GCAM-CGS",2030,"IRA","Wind",1.8951699111072,"Ap.11.WindGen"
"GCAM-CGS",2035,"IRA","Wind",2.1589533792554,"Ap.11.WindGen"
"GCAM-PNNL",2025,"IRA","Wind",1.5449680094352,"Ap.11.WindGen"
"GCAM-PNNL",2030,"IRA","Wind",2.0237160538252,"Ap.11.WindGen"
"GCAM-PNNL",2035,"IRA","Wind",2.2116220480452,"Ap.11.WindGen"
"Haiku-RFF",2025,"IRA","Wind",0.4602789491538,"Ap.11.WindGen"
"Haiku-RFF",2030,"IRA","Wind",1.0785596642198,"Ap.11.WindGen"
"Haiku-RFF",2035,"IRA","Wind",1.278571845285,"Ap.11.WindGen"
"IPM-NRDC",2025,"IRA","Wind",-0.4413741123456,"Ap.11.WindGen"
"IPM-NRDC",2030,"IRA","Wind",0.4248943829634,"Ap.11.WindGen"
"IPM-NRDC",2035,"IRA","Wind",1.284840869347,"Ap.11.WindGen"
"IPM-EPA",2030,"IRA","Wind",0.449530370177,"Ap.11.WindGen"
"IPM-EPA",2035,"IRA","Wind",1.9818658339326,"Ap.11.WindGen"
"MARKAL-NETL",2025,"IRA","Wind",-0.041096641173,"Ap.11.WindGen"
"MARKAL-NETL",2030,"IRA","Wind",-0.1635714547964,"Ap.11.WindGen"
"MARKAL-NETL",2035,"IRA","Wind",-0.2207522752386,"Ap.11.WindGen"
"NEMS-RHG",2025,"IRA","Wind",-0.419548589082,"Ap.11.WindGen"
"NEMS-RHG",2030,"IRA","Wind",1.5461347815648,"Ap.11.WindGen"
"NEMS-RHG",2035,"IRA","Wind",2.269257932858,"Ap.11.WindGen"
"OP-NEMS",2022,"IRA","Wind",-0.00753639757919977,"Ap.11.WindGen"
"OP-NEMS",2023,"IRA","Wind",-6.13321379998588e-05,"Ap.11.WindGen"
"OP-NEMS",2024,"IRA","Wind",0.15324839707464,"Ap.11.WindGen"
"OP-NEMS",2025,"IRA","Wind",0.0766674620056798,"Ap.11.WindGen"
"OP-NEMS",2026,"IRA","Wind",0.115550055079201,"Ap.11.WindGen"
"OP-NEMS",2027,"IRA","Wind",0.3584112637896,"Ap.11.WindGen"
"OP-NEMS",2028,"IRA","Wind",0.45780371429184,"Ap.11.WindGen"
"OP-NEMS",2029,"IRA","Wind",0.6755939213688,"Ap.11.WindGen"
"OP-NEMS",2030,"IRA","Wind",0.81467366989176,"Ap.11.WindGen"
"OP-NEMS",2031,"IRA","Wind",0.93496260933936,"Ap.11.WindGen"
"OP-NEMS",2032,"IRA","Wind",1.01100092815008,"Ap.11.WindGen"
