"model","scenario","variable_rename","year","value"
"USREP-ReEDS","No IRA","Coal",2025,2.519570315815
"USREP-ReEDS","No IRA","Coal",2030,2.0472559018086
"USREP-ReEDS","No IRA","Coal",2035,1.631992760097
"USREP-ReEDS","No IRA","Coal",2021,3.066363021582
"USREP-ReEDS","IRA","Coal",2025,1.9673397032758
"USREP-ReEDS","IRA","Coal",2030,0.913424061718
"USREP-ReEDS","IRA","Coal",2035,0.6491038364216
"USREP-ReEDS","IRA","Coal",2021,3.066363021582
"EPS-EI","No IRA","Coal",2025,2.07720265032
"EPS-EI","No IRA","Coal",2030,1.48210860168
"EPS-EI","No IRA","Coal",2035,1.39154517432
"EPS-EI","No IRA","Coal",2021,3.066363021582
"EPS-EI","IRA","Coal",2025,1.9333219243968
"EPS-EI","IRA","Coal",2030,0.64357063271928
"EPS-EI","IRA","Coal",2035,0.06160088024496
"EPS-EI","IRA","Coal",2021,3.066363021582
"GCAM-CGS","No IRA","Coal",2025,2.61871719388724
"GCAM-CGS","No IRA","Coal",2030,2.51592430798231
"GCAM-CGS","No IRA","Coal",2035,2.33402168182554
"GCAM-CGS","No IRA","Coal",2021,3.066363021582
"GCAM-CGS","IRA","Coal",2025,1.69657542507607
"GCAM-CGS","IRA","Coal",2030,0.748762111871095
"GCAM-CGS","IRA","Coal",2035,1.47534052448319e-05
"GCAM-CGS","IRA","Coal",2021,3.066363021582
"GCAM-PNNL","No IRA","Coal",2025,1.973954626
"GCAM-PNNL","No IRA","Coal",2030,1.630557208
"GCAM-PNNL","No IRA","Coal",2035,1.405047154
"GCAM-PNNL","No IRA","Coal",2021,3.066363021582
"GCAM-PNNL","IRA","Coal",2025,1.81792779
"GCAM-PNNL","IRA","Coal",2030,0.7468664
"GCAM-PNNL","IRA","Coal",2035,0.7255759686
"GCAM-PNNL","IRA","Coal",2021,3.066363021582
"Haiku-RFF","No IRA","Coal",2025,3.51266821470171
"Haiku-RFF","No IRA","Coal",2030,2.97910837262183
"Haiku-RFF","No IRA","Coal",2035,2.7076473613491
"Haiku-RFF","No IRA","Coal",2021,3.066363021582
"Haiku-RFF","IRA","Coal",2025,3.0700037093493
"Haiku-RFF","IRA","Coal",2030,1.91857444160872
"Haiku-RFF","IRA","Coal",2035,1.70587150951232
"Haiku-RFF","IRA","Coal",2021,3.066363021582
"IPM-NRDC","No IRA","Coal",2025,1.65834258266749
"IPM-NRDC","No IRA","Coal",2030,1.23435071792411
"IPM-NRDC","No IRA","Coal",2035,1.13827153295299
"IPM-NRDC","No IRA","Coal",2021,3.066363021582
"IPM-NRDC","IRA","Coal",2025,1.74959841929383
