"model","year","scenario","variable_rename","value","figure_num"
"USREP-ReEDS",2025,"IRA","Coal",-21.9176503657359,"Ap.13.CoalGen"
"USREP-ReEDS",2030,"IRA","Coal",-55.3830050795771,"Ap.13.CoalGen"
"USREP-ReEDS",2035,"IRA","Coal",-60.2263041667526,"Ap.13.CoalGen"
"EPS-EI",2025,"IRA","Coal",-6.92665811402824,"Ap.13.CoalGen"
"EPS-EI",2030,"IRA","Coal",-56.577363334313,"Ap.13.CoalGen"
"EPS-EI",2035,"IRA","Coal",-95.5732029982065,"Ap.13.CoalGen"
"GCAM-CGS",2025,"IRA","Coal",-35.2134919761249,"Ap.13.CoalGen"
"GCAM-CGS",2030,"IRA","Coal",-70.2390843255657,"Ap.13.CoalGen"
"GCAM-CGS",2035,"IRA","Coal",-99.9993665148823,"Ap.13.CoalGen"
"GCAM-PNNL",2025,"IRA","Coal",-7.90446648932595,"Ap.13.CoalGen"
"GCAM-PNNL",2030,"IRA","Coal",-54.1951009684132,"Ap.13.CoalGen"
"GCAM-PNNL",2035,"IRA","Coal",-48.3588774959525,"Ap.13.CoalGen"
"Haiku-RFF",2025,"IRA","Coal",-12.6019447020183,"Ap.13.CoalGen"
"Haiku-RFF",2030,"IRA","Coal",-35.5990383108836,"Ap.13.CoalGen"
"Haiku-RFF",2035,"IRA","Coal",-36.9980177657214,"Ap.13.CoalGen"
"IPM-NRDC",2025,"IRA","Coal",5.5028337903624,"Ap.13.CoalGen"
"IPM-NRDC",2030,"IRA","Coal",-45.1833012076018,"Ap.13.CoalGen"
"IPM-NRDC",2035,"IRA","Coal",-57.0409886897512,"Ap.13.CoalGen"
"MARKAL-NETL",2025,"IRA","Coal",-2.91250202947777,"Ap.13.CoalGen"
"MARKAL-NETL",2030,"IRA","Coal",-23.1265088682165,"Ap.13.CoalGen"
"MARKAL-NETL",2035,"IRA","Coal",-70.2947993266052,"Ap.13.CoalGen"
"NEMS-RHG",2025,"IRA","Coal",4.52704733334179,"Ap.13.CoalGen"
"NEMS-RHG",2030,"IRA","Coal",-71.6435397523079,"Ap.13.CoalGen"
"NEMS-RHG",2035,"IRA","Coal",-54.1071948036414,"Ap.13.CoalGen"
"OP-NEMS",2022,"IRA","Coal",-4.65818032813203e-05,"Ap.13.CoalGen"
"OP-NEMS",2023,"IRA","Coal",0.343488335850672,"Ap.13.CoalGen"
"OP-NEMS",2024,"IRA","Coal",0.519893996660725,"Ap.13.CoalGen"
"OP-NEMS",2025,"IRA","Coal",-3.08929867697848,"Ap.13.CoalGen"
