"model","year","scenario","variable_rename","diff","figure_num"
"USREP-ReEDS",2025,"IRA","Gas",-0.7364347388048,"Ap.14.GasGen"
"USREP-ReEDS",2030,"IRA","Gas",-1.692226881275,"Ap.14.GasGen"
"USREP-ReEDS",2035,"IRA","Gas",-2.5417599099102,"Ap.14.GasGen"
"EPS-EI",2025,"IRA","Gas",-0.41327454168,"Ap.14.GasGen"
"EPS-EI",2030,"IRA","Gas",-2.63229347304,"Ap.14.GasGen"
"EPS-EI",2035,"IRA","Gas",-3.80701461168,"Ap.14.GasGen"
"GCAM-CGS",2025,"IRA","Gas",-0.7416345601126,"Ap.14.GasGen"
"GCAM-CGS",2030,"IRA","Gas",-1.1820671772238,"Ap.14.GasGen"
"GCAM-CGS",2035,"IRA","Gas",-2.2436135101394,"Ap.14.GasGen"
"GCAM-PNNL",2025,"IRA","Gas",-0.782465768,"Ap.14.GasGen"
"GCAM-PNNL",2030,"IRA","Gas",-1.53420386,"Ap.14.GasGen"
"GCAM-PNNL",2035,"IRA","Gas",-2.132948076,"Ap.14.GasGen"
"Haiku-RFF",2025,"IRA","Gas",-0.4979397935274,"Ap.14.GasGen"
"Haiku-RFF",2030,"IRA","Gas",-1.013491065461,"Ap.14.GasGen"
"Haiku-RFF",2035,"IRA","Gas",-1.0130686224708,"Ap.14.GasGen"
"IPM-NRDC",2025,"IRA","Gas",0.2906665706868,"Ap.14.GasGen"
"IPM-NRDC",2030,"IRA","Gas",-0.99508014998,"Ap.14.GasGen"
"IPM-NRDC",2035,"IRA","Gas",-1.3770398933676,"Ap.14.GasGen"
"IPM-EPA",2030,"IRA","Gas",-0.1257622095856,"Ap.14.GasGen"
"IPM-EPA",2035,"IRA","Gas",-1.8471561667706,"Ap.14.GasGen"
"MARKAL-NETL",2025,"IRA","Gas",0.0175817042170001,"Ap.14.GasGen"
"MARKAL-NETL",2030,"IRA","Gas",0.4423860035294,"Ap.14.GasGen"
"MARKAL-NETL",2035,"IRA","Gas",-2.0177351221034,"Ap.14.GasGen"
"NEMS-RHG",2025,"IRA","Gas",0.6920001507566,"Ap.14.GasGen"
"NEMS-RHG",2030,"IRA","Gas",-1.4967951152616,"Ap.14.GasGen"
"NEMS-RHG",2035,"IRA","Gas",-0.8111973099062,"Ap.14.GasGen"
"OP-NEMS",2022,"IRA","Gas",0.00374695859159946,"Ap.14.GasGen"
"OP-NEMS",2023,"IRA","Gas",-0.0700517698574403,"Ap.14.GasGen"
"OP-NEMS",2024,"IRA","Gas",-0.24904893390048,"Ap.14.GasGen"
"OP-NEMS",2025,"IRA","Gas",-0.472528511411039,"Ap.14.GasGen"
"OP-NEMS",2026,"IRA","Gas",-0.598345214947201,"Ap.14.GasGen"
"OP-NEMS",2027,"IRA","Gas",-0.692088902179919,"Ap.14.GasGen"
"OP-NEMS",2028,"IRA","Gas",-1.10087560327752,"Ap.14.GasGen"
"OP-NEMS",2029,"IRA","Gas",-1.32807935692152,"Ap.14.GasGen"
"OP-NEMS",2030,"IRA","Gas",-1.45221677116488,"Ap.14.GasGen"
"OP-NEMS",2031,"IRA","Gas",-1.52988297969528,"Ap.14.GasGen"
"OP-NEMS",2032,"IRA","Gas",-1.58395421827944,"Ap.14.GasGen"
"OP-NEMS",2033,"IRA","Gas",-1.79010330918552,"Ap.14.GasGen"
"OP-NEMS",2034,"IRA","Gas",-2.09165798524536,"Ap.14.GasGen"
"OP-NEMS",2035,"IRA","Gas",-2.09577737236896,"Ap.14.GasGen"
"REGEN-EPRI",2025,"IRA","Gas",-0.0409917851112001,"Ap.14.GasGen"
"REGEN-EPRI",2030,"IRA","Gas",0.446682682329801,"Ap.14.GasGen"
"REGEN-EPRI",2035,"IRA","Gas",-1.68509238786,"Ap.14.GasGen"
"RIO-REPEAT",2025,"IRA","Gas",0.15695568,"Ap.14.GasGen"
"RIO-REPEAT",2030,"IRA","Gas",-0.5629932,"Ap.14.GasGen"
"RIO-REPEAT",2035,"IRA","Gas",-1.3477716,"Ap.14.GasGen"
"ReEDS-NREL",2025,"IRA","Gas",-0.3889351732154,"Ap.14.GasGen"
"ReEDS-NREL",2030,"IRA","Gas",-1.9496332287712,"Ap.14.GasGen"
"ReEDS-NREL",2035,"IRA","Gas",-2.656338291803,"Ap.14.GasGen"
"USREP-ReEDS",2021,"Historic","Gas",0,"Ap.14.GasGen"
"EPS-EI",2021,"Historic","Gas",0,"Ap.14.GasGen"
"GCAM-CGS",2021,"Historic","Gas",0,"Ap.14.GasGen"
"GCAM-PNNL",2021,"Historic","Gas",0,"Ap.14.GasGen"
"Haiku-RFF",2021,"Historic","Gas",0,"Ap.14.GasGen"
"IPM-NRDC",2021,"Historic","Gas",0,"Ap.14.GasGen"
"IPM-EPA",2021,"Historic","Gas",0,"Ap.14.GasGen"
"MARKAL-NETL",2021,"Historic","Gas",0,"Ap.14.GasGen"
"NEMS-RHG",2021,"Historic","Gas",0,"Ap.14.GasGen"
"OP-NEMS",2021,"Historic","Gas",0,"Ap.14.GasGen"
"REGEN-EPRI",2021,"Historic","Gas",0,"Ap.14.GasGen"
"RIO-REPEAT",2021,"Historic","Gas",0,"Ap.14.GasGen"
"ReEDS-NREL",2021,"Historic","Gas",0,"Ap.14.GasGen"
