"model","year","scenario","variable_rename","value"
"USREP-ReEDS",2025,"IRA","Other",-59.73688694026
"USREP-ReEDS",2030,"IRA","Other",-58.0408834180474
"USREP-ReEDS",2035,"IRA","Other",-57.8301639628169
"EPS-EI",2025,"IRA","Other",0
"EPS-EI",2030,"IRA","Other",0
"EPS-EI",2035,"IRA","Other",-0.637262885101508
"GCAM-CGS",2025,"IRA","Other",-1.35720392573503
"GCAM-CGS",2030,"IRA","Other",-1.3758055564128
"GCAM-CGS",2035,"IRA","Other",-1.80390356615534
"GCAM-PNNL",2025,"IRA","Other",105.381515998765
"GCAM-PNNL",2030,"IRA","Other",164.774293017059
"GCAM-PNNL",2035,"IRA","Other",131.705814230747
"Haiku-RFF",2025,"IRA","Other",0
"Haiku-RFF",2030,"IRA","Other",0
"Haiku-RFF",2035,"IRA","Other",0
"IPM-NRDC",2025,"IRA","Other",-1.81818947211391
"IPM-NRDC",2030,"IRA","Other",2.04060582263732
"IPM-NRDC",2035,"IRA","Other",1.75366474779572
"MARKAL-NETL",2025,"IRA","Other",0
"MARKAL-NETL",2030,"IRA","Other",0
"MARKAL-NETL",2035,"IRA","Other",0
"NEMS-RHG",2025,"IRA","Other",-0.0137201150427591
"NEMS-RHG",2030,"IRA","Other",-3.89900510948935
"NEMS-RHG",2035,"IRA","Other",-11.480971019855
"OP-NEMS",2022,"IRA","Other",-0.634010584664191
"OP-NEMS",2023,"IRA","Other",-0.0501611911439048
"OP-NEMS",2024,"IRA","Other",0.0113026196107202
"OP-NEMS",2025,"IRA","Other",2.83399059473947
"OP-NEMS",2026,"IRA","Other",1.47120860612111
"OP-NEMS",2027,"IRA","Other",4.10004587589596
"OP-NEMS",2028,"IRA","Other",3.62901680807461
"OP-NEMS",2029,"IRA","Other",1.74675020103975
"OP-NEMS",2030,"IRA","Other",0.386348926772797
"OP-NEMS",2031,"IRA","Other",0.23342129191032
"OP-NEMS",2032,"IRA","Other",-0.312681774777057
"OP-NEMS",2033,"IRA","Other",-1.2859115804316
"OP-NEMS",2034,"IRA","Other",-5.30472563694274
"OP-NEMS",2035,"IRA","Other",-4.25808444665166
"REGEN-EPRI",2025,"IRA","Other",-1.65211037412505
"REGEN-EPRI",2030,"IRA","Other",7.30122635001278
"REGEN-EPRI",2035,"IRA","Other",10.7639525037168
"RIO-REPEAT",2025,"IRA","Other",0
"RIO-REPEAT",2030,"IRA","Other",-2.63157894736841
"RIO-REPEAT",2035,"IRA","Other",-8.69565217391304
"ReEDS-NREL",2025,"IRA","Other",-0.221726323604021
"ReEDS-NREL",2030,"IRA","Other",0.159592308814749
"ReEDS-NREL",2035,"IRA","Other",-0.531638378572308
"AEO.2023",2022,"IRA","Other",0.556215425740281
"AEO.2023",2023,"IRA","Other",3.23776451008184
"AEO.2023",2024,"IRA","Other",0.0361073689796654
"AEO.2023",2025,"IRA","Other",-1.21541560351557
"AEO.2023",2026,"IRA","Other",-6.19522180886242
"AEO.2023",2027,"IRA","Other",-14.6709727407005
"AEO.2023",2028,"IRA","Other",-22.6671504290857
"AEO.2023",2029,"IRA","Other",-27.6223234224002
"AEO.2023",2030,"IRA","Other",-31.2553855212068
"AEO.2023",2031,"IRA","Other",-34.2779458936357
"AEO.2023",2032,"IRA","Other",-36.7070724181403
"AEO.2023",2033,"IRA","Other",-38.0482480954795
"AEO.2023",2034,"IRA","Other",-38.6715835361656
"AEO.2023",2035,"IRA","Other",-38.8117842465192
"USREP-ReEDS",2021,"Historic","Other",0
"EPS-EI",2021,"Historic","Other",0
"GCAM-CGS",2021,"Historic","Other",0
"GCAM-PNNL",2021,"Historic","Other",0
"Haiku-RFF",2021,"Historic","Other",0
"IPM-NRDC",2021,"Historic","Other",0
"MARKAL-NETL",2021,"Historic","Other",0
"NEMS-RHG",2021,"Historic","Other",0
"OP-NEMS",2021,"Historic","Other",0
"REGEN-EPRI",2021,"Historic","Other",0
"RIO-REPEAT",2021,"Historic","Other",0
"ReEDS-NREL",2021,"Historic","Other",0
"AEO.2023",2021,"Historic","Other",0
