"model","year","scenario","variable_rename","diff","figure_num"
"USREP-ReEDS",2025,"IRA","Other",-0.0345018345559999,"Ap.15.OtherGen"
"USREP-ReEDS",2030,"IRA","Other",-0.0197456586221999,"Ap.15.OtherGen"
"USREP-ReEDS",2035,"IRA","Other",-0.0194638435614,"Ap.15.OtherGen"
"EPS-EI",2025,"IRA","Other",0,"Ap.15.OtherGen"
"EPS-EI",2030,"IRA","Other",0,"Ap.15.OtherGen"
"EPS-EI",2035,"IRA","Other",-0.00614174400000012,"Ap.15.OtherGen"
"GCAM-CGS",2025,"IRA","Other",-0.0139129817763999,"Ap.15.OtherGen"
"GCAM-CGS",2030,"IRA","Other",-0.0140978435318,"Ap.15.OtherGen"
"GCAM-CGS",2035,"IRA","Other",-0.0181058139219999,"Ap.15.OtherGen"
"GCAM-PNNL",2025,"IRA","Other",0.0438300632,"Ap.15.OtherGen"
"GCAM-PNNL",2030,"IRA","Other",0.04661242488,"Ap.15.OtherGen"
"GCAM-PNNL",2035,"IRA","Other",0.06794787678,"Ap.15.OtherGen"
"Haiku-RFF",2025,"IRA","Other",0,"Ap.15.OtherGen"
"Haiku-RFF",2030,"IRA","Other",0,"Ap.15.OtherGen"
"Haiku-RFF",2035,"IRA","Other",0,"Ap.15.OtherGen"
"IPM-NRDC",2025,"IRA","Other",-0.0191107909048003,"Ap.15.OtherGen"
"IPM-NRDC",2030,"IRA","Other",0.0218047105234003,"Ap.15.OtherGen"
"IPM-NRDC",2035,"IRA","Other",0.0185880763614001,"Ap.15.OtherGen"
"MARKAL-NETL",2025,"IRA","Other",0,"Ap.15.OtherGen"
"MARKAL-NETL",2030,"IRA","Other",0,"Ap.15.OtherGen"
"MARKAL-NETL",2035,"IRA","Other",0,"Ap.15.OtherGen"
"NEMS-RHG",2025,"IRA","Other",-0.000139844098800079,"Ap.15.OtherGen"
"NEMS-RHG",2030,"IRA","Other",-0.0394692524603999,"Ap.15.OtherGen"
"NEMS-RHG",2035,"IRA","Other",-0.1148598936576,"Ap.15.OtherGen"
"OP-NEMS",2022,"IRA","Other",-0.0019572339175201,"Ap.15.OtherGen"
"OP-NEMS",2023,"IRA","Other",0.000287976139920147,"Ap.15.OtherGen"
"OP-NEMS",2024,"IRA","Other",0.00137259106992019,"Ap.15.OtherGen"
"OP-NEMS",2025,"IRA","Other",0.00563413909464028,"Ap.15.OtherGen"
"OP-NEMS",2026,"IRA","Other",0.0062100094845602,"Ap.15.OtherGen"
"OP-NEMS",2027,"IRA","Other",0.00599543742167968,"Ap.15.OtherGen"
"OP-NEMS",2028,"IRA","Other",0.00286198446240003,"Ap.15.OtherGen"
"OP-NEMS",2029,"IRA","Other",0.000391229092799882,"Ap.15.OtherGen"
"OP-NEMS",2030,"IRA","Other",-0.00672568395912001,"Ap.15.OtherGen"
"OP-NEMS",2031,"IRA","Other",-0.0111314196604799,"Ap.15.OtherGen"
"OP-NEMS",2032,"IRA","Other",-0.0106090575091202,"Ap.15.OtherGen"
"OP-NEMS",2033,"IRA","Other",-0.0211270738996797,"Ap.15.OtherGen"
"OP-NEMS",2034,"IRA","Other",-0.0303180743728802,"Ap.15.OtherGen"
"OP-NEMS",2035,"IRA","Other",-0.0193587770880001,"Ap.15.OtherGen"
"REGEN-EPRI",2025,"IRA","Other",-0.0159035589188,"Ap.15.OtherGen"
"REGEN-EPRI",2030,"IRA","Other",0.0644111696102,"Ap.15.OtherGen"
"REGEN-EPRI",2035,"IRA","Other",0.101437712103,"Ap.15.OtherGen"
