"model","year","scenario","variable_rename","value"
"USREP-ReEDS",2025,"IRA","CO2",-9.09330845937907
"USREP-ReEDS",2030,"IRA","CO2",-17.4406374324874
"USREP-ReEDS",2035,"IRA","CO2",-19.4597560277351
"EPS-EI",2025,"IRA","CO2",-5.43557437877347
"EPS-EI",2030,"IRA","CO2",-17.6587227840994
"EPS-EI",2035,"IRA","CO2",-25.6512244270987
"GCAM-CGS",2025,"IRA","CO2",-11.4361326758753
"GCAM-CGS",2030,"IRA","CO2",-21.7130291250754
"GCAM-CGS",2035,"IRA","CO2",-25.0828410628367
"GCAM-PNNL",2025,"IRA","CO2",-7.41602585754876
"GCAM-PNNL",2030,"IRA","CO2",-16.1602748646966
"GCAM-PNNL",2035,"IRA","CO2",-17.8548306085651
"MARKAL-NETL",2025,"IRA","CO2",-0.448364554693004
"MARKAL-NETL",2030,"IRA","CO2",-4.61761603375527
"MARKAL-NETL",2035,"IRA","CO2",-18.6801203820906
"NEMS-RHG",2025,"IRA","CO2",2.22876072386997
"NEMS-RHG",2030,"IRA","CO2",-12.5585206348424
"NEMS-RHG",2035,"IRA","CO2",-12.2047981945572
"OP-NEMS",2025,"IRA","CO2",-1.83752555883524
"OP-NEMS",2030,"IRA","CO2",-10.6908439405486
"OP-NEMS",2035,"IRA","CO2",-17.7995367744516
"REGEN-EPRI",2025,"IRA","CO2",-0.890783385530747
"REGEN-EPRI",2030,"IRA","CO2",-4.73721995577027
"REGEN-EPRI",2035,"IRA","CO2",-18.3416356725724
"RIO-REPEAT",2025,"IRA","CO2",-0.790102921301594
"RIO-REPEAT",2030,"IRA","CO2",-11.1405197305101
"RIO-REPEAT",2035,"IRA","CO2",-25.5256064690027
"USREP-ReEDS",2021,"Historic","CO2",0
"EPS-EI",2021,"Historic","CO2",0
"GCAM-CGS",2021,"Historic","CO2",0
"GCAM-PNNL",2021,"Historic","CO2",0
"MARKAL-NETL",2021,"Historic","CO2",0
"NEMS-RHG",2021,"Historic","CO2",0
"OP-NEMS",2021,"Historic","CO2",0
"REGEN-EPRI",2021,"Historic","CO2",0
"RIO-REPEAT",2021,"Historic","CO2",0
