"model","scenario","variable_rename","year","value"
"USREP-ReEDS","No IRA","Total Transportation Emissions",2025,1699.753863585
"USREP-ReEDS","No IRA","Total Transportation Emissions",2030,1621.42361573
"USREP-ReEDS","No IRA","Total Transportation Emissions",2035,1564.93717276
"USREP-ReEDS","No IRA","Total Transportation Emissions",2021,1757.4
"USREP-ReEDS","IRA","Total Transportation Emissions",2025,1708.973790879
"USREP-ReEDS","IRA","Total Transportation Emissions",2030,1599.23476078
"USREP-ReEDS","IRA","Total Transportation Emissions",2035,1495.21077201
"USREP-ReEDS","IRA","Total Transportation Emissions",2021,1757.4
"EPS-EI","No IRA","Total Transportation Emissions",2025,1597.22323579713
"EPS-EI","No IRA","Total Transportation Emissions",2030,1462.17510201961
"EPS-EI","No IRA","Total Transportation Emissions",2035,1338.94240705854
"EPS-EI","No IRA","Total Transportation Emissions",2021,1757.4
"EPS-EI","IRA","Total Transportation Emissions",2025,1594.04495600469
"EPS-EI","IRA","Total Transportation Emissions",2030,1417.94385151708
"EPS-EI","IRA","Total Transportation Emissions",2035,1229.5350411901
"EPS-EI","IRA","Total Transportation Emissions",2021,1757.4
"GCAM-CGS","No IRA","Total Transportation Emissions",2025,1615.05184442844
"GCAM-CGS","No IRA","Total Transportation Emissions",2030,1504.65588515461
"GCAM-CGS","No IRA","Total Transportation Emissions",2035,1363.27993729408
"GCAM-CGS","No IRA","Total Transportation Emissions",2021,1757.4
"GCAM-CGS","IRA","Total Transportation Emissions",2025,1562.07727857705
"GCAM-CGS","IRA","Total Transportation Emissions",2030,1396.9307216309
"GCAM-CGS","IRA","Total Transportation Emissions",2035,1310.87256817385
"GCAM-CGS","IRA","Total Transportation Emissions",2021,1757.4
"GCAM-PNNL","No IRA","Total Transportation Emissions",2025,1807.79888728497
"GCAM-PNNL","No IRA","Total Transportation Emissions",2030,1657.55966421321
"GCAM-PNNL","No IRA","Total Transportation Emissions",2035,1484.05456084813
"GCAM-PNNL","No IRA","Total Transportation Emissions",2021,1757.4
"GCAM-PNNL","IRA","Total Transportation Emissions",2025,1786.33837604668
"GCAM-PNNL","IRA","Total Transportation Emissions",2030,1537.62684744612
"GCAM-PNNL","IRA","Total Transportation Emissions",2035,1329.5614733653
"GCAM-PNNL","IRA","Total Transportation Emissions",2021,1757.4
"MARKAL-NETL","No IRA","Total Transportation Emissions",2025,1598.2008680868
"MARKAL-NETL","No IRA","Total Transportation Emissions",2030,1508.56110082758
"MARKAL-NETL","No IRA","Total Transportation Emissions",2035,1430.38206139489
"MARKAL-NETL","No IRA","Total Transportation Emissions",2021,1757.4
"MARKAL-NETL","IRA","Total Transportation Emissions",2025,1602.97588900257
"MARKAL-NETL","IRA","Total Transportation Emissions",2030,1493.40111677302
"MARKAL-NETL","IRA","Total Transportation Emissions",2035,1356.21828072744
"MARKAL-NETL","IRA","Total Transportation Emissions",2021,1757.4
"NEMS-RHG","No IRA","Total Transportation Emissions",2025,1646.18623208117
"NEMS-RHG","No IRA","Total Transportation Emissions",2030,1533.1896159726
"NEMS-RHG","No IRA","Total Transportation Emissions",2035,1423.41741805767
"NEMS-RHG","No IRA","Total Transportation Emissions",2021,1757.4
"NEMS-RHG","IRA","Total Transportation Emissions",2025,1647.68999269901
"NEMS-RHG","IRA","Total Transportation Emissions",2030,1508.59734546816
"NEMS-RHG","IRA","Total Transportation Emissions",2035,1387.05900584666
"NEMS-RHG","IRA","Total Transportation Emissions",2021,1757.4
"OP-NEMS","No IRA","Total Transportation Emissions",2025,1800.883057
"OP-NEMS","No IRA","Total Transportation Emissions",2030,1701.130493
"OP-NEMS","No IRA","Total Transportation Emissions",2035,1610.456665
"OP-NEMS","No IRA","Total Transportation Emissions",2022,1807.583374
"OP-NEMS","No IRA","Total Transportation Emissions",2023,1819.734009
"OP-NEMS","No IRA","Total Transportation Emissions",2024,1811.533936
"OP-NEMS","No IRA","Total Transportation Emissions",2026,1783.37146
"OP-NEMS","No IRA","Total Transportation Emissions",2027,1761.358765
"OP-NEMS","No IRA","Total Transportation Emissions",2028,1741.427734
"OP-NEMS","No IRA","Total Transportation Emissions",2029,1720.286865
"OP-NEMS","No IRA","Total Transportation Emissions",2031,1683.193481
"OP-NEMS","No IRA","Total Transportation Emissions",2032,1666.378174
"OP-NEMS","No IRA","Total Transportation Emissions",2033,1650.185547
"OP-NEMS","No IRA","Total Transportation Emissions",2034,1630.141968
"OP-NEMS","No IRA","Total Transportation Emissions",2021,1757.4
"OP-NEMS","IRA","Total Transportation Emissions",2025,1795.930786
"OP-NEMS","IRA","Total Transportation Emissions",2030,1634.299072
"OP-NEMS","IRA","Total Transportation Emissions",2035,1450.618286
"OP-NEMS","IRA","Total Transportation Emissions",2022,1806.582275
"OP-NEMS","IRA","Total Transportation Emissions",2023,1818.687622
"OP-NEMS","IRA","Total Transportation Emissions",2024,1806.199951
"OP-NEMS","IRA","Total Transportation Emissions",2026,1772.863525
"OP-NEMS","IRA","Total Transportation Emissions",2027,1741.97876
"OP-NEMS","IRA","Total Transportation Emissions",2028,1709.892456
"OP-NEMS","IRA","Total Transportation Emissions",2029,1671.923096
"OP-NEMS","IRA","Total Transportation Emissions",2031,1596.484497
"OP-NEMS","IRA","Total Transportation Emissions",2032,1559.907715
"OP-NEMS","IRA","Total Transportation Emissions",2033,1525.598145
"OP-NEMS","IRA","Total Transportation Emissions",2034,1486.073486
"OP-NEMS","IRA","Total Transportation Emissions",2021,1757.4
"REGEN-EPRI","No IRA","Total Transportation Emissions",2025,1731.3428583466
