"model","year","scenario","variable_rename","value","figure_num"
"USREP-ReEDS",2025,"IRA","CO2",0.542427200286166,"Ap.3.TranEmis"
"USREP-ReEDS",2030,"IRA","CO2",-1.36847981827439,"Ap.3.TranEmis"
"USREP-ReEDS",2035,"IRA","CO2",-4.45553993883521,"Ap.3.TranEmis"
"EPS-EI",2025,"IRA","CO2",-0.198987826420405,"Ap.3.TranEmis"
"EPS-EI",2030,"IRA","CO2",-3.02503102664615,"Ap.3.TranEmis"
"EPS-EI",2035,"IRA","CO2",-8.17117788859673,"Ap.3.TranEmis"
"GCAM-CGS",2025,"IRA","CO2",-3.28005357141561,"Ap.3.TranEmis"
"GCAM-CGS",2030,"IRA","CO2",-7.15945519970992,"Ap.3.TranEmis"
"GCAM-CGS",2035,"IRA","CO2",-3.84421184724303,"Ap.3.TranEmis"
"GCAM-PNNL",2025,"IRA","CO2",-0.613961076946556,"Ap.3.TranEmis"
"GCAM-PNNL",2030,"IRA","CO2",-3.61211821479961,"Ap.3.TranEmis"
"GCAM-PNNL",2035,"IRA","CO2",-6.81050101783142,"Ap.3.TranEmis"
"MARKAL-NETL",2025,"IRA","CO2",0.298774765757504,"Ap.3.TranEmis"
"MARKAL-NETL",2030,"IRA","CO2",-1.00493006163029,"Ap.3.TranEmis"
"MARKAL-NETL",2035,"IRA","CO2",-5.18489309055032,"Ap.3.TranEmis"
"NEMS-RHG",2025,"IRA","CO2",0.0913481175004227,"Ap.3.TranEmis"
"NEMS-RHG",2030,"IRA","CO2",-1.60399406626218,"Ap.3.TranEmis"
"NEMS-RHG",2035,"IRA","CO2",-2.55430425624055,"Ap.3.TranEmis"
"OP-NEMS",2022,"IRA","CO2",-0.00345252860206591,"Ap.3.TranEmis"
"OP-NEMS",2023,"IRA","CO2",-0.0533905188900952,"Ap.3.TranEmis"
"OP-NEMS",2024,"IRA","CO2",-0.258016499211255,"Ap.3.TranEmis"
"OP-NEMS",2025,"IRA","CO2",-0.139243563640223,"Ap.3.TranEmis"
"OP-NEMS",2026,"IRA","CO2",-0.298405297270787,"Ap.3.TranEmis"
"OP-NEMS",2027,"IRA","CO2",-0.54474126872498,"Ap.3.TranEmis"
"OP-NEMS",2028,"IRA","CO2",-0.967866427724517,"Ap.3.TranEmis"
"OP-NEMS",2029,"IRA","CO2",-1.534051196371,"Ap.3.TranEmis"
"OP-NEMS",2030,"IRA","CO2",-2.25700732126555,"Ap.3.TranEmis"
"OP-NEMS",2031,"IRA","CO2",-3.05666790476908,"Ap.3.TranEmis"
"OP-NEMS",2032,"IRA","CO2",-3.88799688881649,"Ap.3.TranEmis"
"OP-NEMS",2033,"IRA","CO2",-4.61350728697719,"Ap.3.TranEmis"
"OP-NEMS",2034,"IRA","CO2",-5.26310721826478,"Ap.3.TranEmis"
"OP-NEMS",2035,"IRA","CO2",-5.75350173068535,"Ap.3.TranEmis"
"REGEN-EPRI",2025,"IRA","CO2",0.088168284078205,"Ap.3.TranEmis"
"REGEN-EPRI",2030,"IRA","CO2",-1.66204205211631,"Ap.3.TranEmis"
"REGEN-EPRI",2035,"IRA","CO2",-6.56602546491736,"Ap.3.TranEmis"
"RIO-REPEAT",2025,"IRA","CO2",-0.510299610879095,"Ap.3.TranEmis"
"RIO-REPEAT",2030,"IRA","CO2",-4.76264039905502,"Ap.3.TranEmis"
"RIO-REPEAT",2035,"IRA","CO2",-16.6792242614521,"Ap.3.TranEmis"
"AEO.2023",2022,"IRA","CO2",-0.0101901426427076,"Ap.3.TranEmis"
"AEO.2023",2023,"IRA","CO2",-0.418798541663001,"Ap.3.TranEmis"
"AEO.2023",2024,"IRA","CO2",-0.584798204366999,"Ap.3.TranEmis"
"AEO.2023",2025,"IRA","CO2",-0.527225885062177,"Ap.3.TranEmis"
"AEO.2023",2026,"IRA","CO2",-0.76021573423376,"Ap.3.TranEmis"
"AEO.2023",2027,"IRA","CO2",-1.01411573083312,"Ap.3.TranEmis"
"AEO.2023",2028,"IRA","CO2",-0.692071987760989,"Ap.3.TranEmis"
"AEO.2023",2029,"IRA","CO2",-0.830180166742611,"Ap.3.TranEmis"
"AEO.2023",2030,"IRA","CO2",-0.900507331735778,"Ap.3.TranEmis"
"AEO.2023",2031,"IRA","CO2",-0.91577500737573,"Ap.3.TranEmis"
"AEO.2023",2032,"IRA","CO2",-0.913814399219903,"Ap.3.TranEmis"
"AEO.2023",2033,"IRA","CO2",-1.01277945438591,"Ap.3.TranEmis"
"AEO.2023",2034,"IRA","CO2",-1.19328180684664,"Ap.3.TranEmis"
"AEO.2023",2035,"IRA","CO2",-1.40152237632846,"Ap.3.TranEmis"
"USREP-ReEDS",2021,"Historic","CO2",0,"Ap.3.TranEmis"
"EPS-EI",2021,"Historic","CO2",0,"Ap.3.TranEmis"
"GCAM-CGS",2021,"Historic","CO2",0,"Ap.3.TranEmis"
"GCAM-PNNL",2021,"Historic","CO2",0,"Ap.3.TranEmis"
"MARKAL-NETL",2021,"Historic","CO2",0,"Ap.3.TranEmis"
"NEMS-RHG",2021,"Historic","CO2",0,"Ap.3.TranEmis"
"OP-NEMS",2021,"Historic","CO2",0,"Ap.3.TranEmis"
"REGEN-EPRI",2021,"Historic","CO2",0,"Ap.3.TranEmis"
"RIO-REPEAT",2021,"Historic","CO2",0,"Ap.3.TranEmis"
"AEO.2023",2021,"Historic","CO2",0,"Ap.3.TranEmis"
