"model","year","scenario","variable_rename","value"
"USREP-ReEDS",2025,"IRA","CO2",-15.9121868233993
"USREP-ReEDS",2030,"IRA","CO2",-35.229920056105
"USREP-ReEDS",2035,"IRA","CO2",-41.3976172508619
"EPS-EI",2025,"IRA","CO2",-9.69630369661307
"EPS-EI",2030,"IRA","CO2",-34.1819788048926
"EPS-EI",2035,"IRA","CO2",-46.7659966971234
"GCAM-CGS",2025,"IRA","CO2",-19.8294051998322
"GCAM-CGS",2030,"IRA","CO2",-37.4767663450404
"GCAM-CGS",2035,"IRA","CO2",-47.3092922876753
"GCAM-PNNL",2025,"IRA","CO2",-11.6612079177179
"GCAM-PNNL",2030,"IRA","CO2",-25.2757216884248
"GCAM-PNNL",2035,"IRA","CO2",-27.2573006125882
"IPM-NRDC",2025,"IRA","CO2",6.07281079322191
"IPM-NRDC",2030,"IRA","CO2",-23.0995419930795
"IPM-NRDC",2035,"IRA","CO2",-28.4635352374906
"IPM-EPA",2025,"IRA","CO2",6.07281079697319
"IPM-EPA",2030,"IRA","CO2",-25.4577974636925
"IPM-EPA",2035,"IRA","CO2",-51.2302488618051
"MARKAL-NETL",2025,"IRA","CO2",-1.89819893208327
"MARKAL-NETL",2030,"IRA","CO2",-12.0312140382997
"MARKAL-NETL",2035,"IRA","CO2",-41.7380774718595
"NEMS-RHG",2025,"IRA","CO2",5.16226263432935
"NEMS-RHG",2030,"IRA","CO2",-28.5214427618717
"NEMS-RHG",2035,"IRA","CO2",-20.1013581835613
"OP-NEMS",2022,"IRA","CO2",0.0131039140684575
"OP-NEMS",2023,"IRA","CO2",-0.143674658471715
"OP-NEMS",2024,"IRA","CO2",-1.3685133458705
"OP-NEMS",2025,"IRA","CO2",-3.96587870862001
"OP-NEMS",2026,"IRA","CO2",-6.66755401766927
"OP-NEMS",2027,"IRA","CO2",-9.8130903905207
"OP-NEMS",2028,"IRA","CO2",-14.0619525195285
"OP-NEMS",2029,"IRA","CO2",-18.8643474123307
"OP-NEMS",2030,"IRA","CO2",-21.4787968186771
"OP-NEMS",2031,"IRA","CO2",-23.4643683377493
"OP-NEMS",2032,"IRA","CO2",-24.5521420437131
"OP-NEMS",2033,"IRA","CO2",-27.8456370741958
"OP-NEMS",2034,"IRA","CO2",-31.1637681986681
"OP-NEMS",2035,"IRA","CO2",-33.1506904804497
"REGEN-EPRI",2025,"IRA","CO2",-2.00216730762862
"REGEN-EPRI",2030,"IRA","CO2",-9.21297620550937
"REGEN-EPRI",2035,"IRA","CO2",-33.2036369399159
"RIO-REPEAT",2025,"IRA","CO2",0.256609239762318
"RIO-REPEAT",2030,"IRA","CO2",-17.1218130180573
"RIO-REPEAT",2035,"IRA","CO2",-32.9458257897641
"Scout-LEEP",2025,"IRA","CO2",-1.87363117312969
"Scout-LEEP",2030,"IRA","CO2",-5.35960224002621
"Scout-LEEP",2035,"IRA","CO2",-10.3877434463926
"AEO.2023",2022,"IRA","CO2",-0.0404399512229592
"AEO.2023",2023,"IRA","CO2",-0.354924916392629
"AEO.2023",2024,"IRA","CO2",-0.145984112990072
"AEO.2023",2025,"IRA","CO2",-1.66074766204021
"AEO.2023",2026,"IRA","CO2",-5.82751201151456
"AEO.2023",2027,"IRA","CO2",-10.8674579565607
"AEO.2023",2028,"IRA","CO2",-15.3479569641527
"AEO.2023",2029,"IRA","CO2",-18.8901080362685
"AEO.2023",2030,"IRA","CO2",-20.656485931154
"AEO.2023",2031,"IRA","CO2",-20.3521638709972
"AEO.2023",2032,"IRA","CO2",-19.5466154536905
"AEO.2023",2033,"IRA","CO2",-19.6334204303453
"AEO.2023",2034,"IRA","CO2",-20.3786306454613
"AEO.2023",2035,"IRA","CO2",-20.3866014624428
"USREP-ReEDS",2021,"Historic","CO2",0
"EPS-EI",2021,"Historic","CO2",0
"GCAM-CGS",2021,"Historic","CO2",0
"GCAM-PNNL",2021,"Historic","CO2",0
"IPM-NRDC",2021,"Historic","CO2",0
"IPM-EPA",2021,"Historic","CO2",0
"MARKAL-NETL",2021,"Historic","CO2",0
"NEMS-RHG",2021,"Historic","CO2",0
"OP-NEMS",2021,"Historic","CO2",0
"REGEN-EPRI",2021,"Historic","CO2",0
"RIO-REPEAT",2021,"Historic","CO2",0
"Scout-LEEP",2021,"Historic","CO2",0
"AEO.2023",2021,"Historic","CO2",0
