"model","year","scenario","variable_rename","diff"
"USREP-ReEDS",2025,"IRA","CO2",-234.805134
"USREP-ReEDS",2030,"IRA","CO2",-449.7325188
"USREP-ReEDS",2035,"IRA","CO2",-470.6007811
"EPS-EI",2025,"IRA","CO2",-148.84577916098
"EPS-EI",2030,"IRA","CO2",-477.36979850061
"EPS-EI",2035,"IRA","CO2",-635.46421922703
"GCAM-CGS",2025,"IRA","CO2",-309.276657710464
"GCAM-CGS",2030,"IRA","CO2",-554.396151035606
"GCAM-CGS",2035,"IRA","CO2",-676.030598019108
"GCAM-PNNL",2025,"IRA","CO2",-239.350066454371
"GCAM-PNNL",2030,"IRA","CO2",-444.261675343855
"GCAM-PNNL",2035,"IRA","CO2",-441.344947279183
"IPM-NRDC",2025,"IRA","CO2",46.446825602703
"IPM-NRDC",2030,"IRA","CO2",-168.917881848352
"IPM-NRDC",2035,"IRA","CO2",-206.601520953087
"IPM-EPA",2025,"IRA","CO2",47.9435672723801
"IPM-EPA",2030,"IRA","CO2",-229.808610694287
"IPM-EPA",2035,"IRA","CO2",-434.842829668098
"MARKAL-NETL",2025,"IRA","CO2",-25.6042529051201
"MARKAL-NETL",2030,"IRA","CO2",-156.041771776756
"MARKAL-NETL",2035,"IRA","CO2",-557.417097675928
"NEMS-RHG",2025,"IRA","CO2",71.1061354216613
"NEMS-RHG",2030,"IRA","CO2",-365.377415491914
"NEMS-RHG",2035,"IRA","CO2",-243.402930645824
"OP-NEMS",2022,"IRA","CO2",0.219238000000132
"OP-NEMS",2023,"IRA","CO2",-2.34027199999991
"OP-NEMS",2024,"IRA","CO2",-20.818176
"OP-NEMS",2025,"IRA","CO2",-57.8485110000001
"OP-NEMS",2026,"IRA","CO2",-94.495543
"OP-NEMS",2027,"IRA","CO2",-135.542724
"OP-NEMS",2028,"IRA","CO2",-191.434387
"OP-NEMS",2029,"IRA","CO2",-250.772035
"OP-NEMS",2030,"IRA","CO2",-277.868103
"OP-NEMS",2031,"IRA","CO2",-300.752565
"OP-NEMS",2032,"IRA","CO2",-312.562225
"OP-NEMS",2033,"IRA","CO2",-353.15219
"OP-NEMS",2034,"IRA","CO2",-388.099121
"OP-NEMS",2035,"IRA","CO2",-403.858307
"REGEN-EPRI",2025,"IRA","CO2",-27.319352567137
"REGEN-EPRI",2030,"IRA","CO2",-108.76847868538
"REGEN-EPRI",2035,"IRA","CO2",-366.7613671873
"RIO-REPEAT",2025,"IRA","CO2",4.34098337969999
"RIO-REPEAT",2030,"IRA","CO2",-225.577563067556
"RIO-REPEAT",2035,"IRA","CO2",-373.399977918809
"Scout-LEEP",2025,"IRA","CO2",-26.1139629414647
"Scout-LEEP",2030,"IRA","CO2",-67.2716727269224
"Scout-LEEP",2035,"IRA","CO2",-115.342910847037
"AEO.2023",2022,"IRA","CO2",-0.680419999999685
"AEO.2023",2023,"IRA","CO2",-5.69055100000014
"AEO.2023",2024,"IRA","CO2",-2.30322300000012
"AEO.2023",2025,"IRA","CO2",-25.3790279999998
"AEO.2023",2026,"IRA","CO2",-86.9665539999999
"AEO.2023",2027,"IRA","CO2",-159.251526
"AEO.2023",2028,"IRA","CO2",-222.786621
"AEO.2023",2029,"IRA","CO2",-272.273559
"AEO.2023",2030,"IRA","CO2",-293.479432
"AEO.2023",2031,"IRA","CO2",-284.063141
"AEO.2023",2032,"IRA","CO2",-268.892364
"AEO.2023",2033,"IRA","CO2",-268.936218
"AEO.2023",2034,"IRA","CO2",-277.927643
"AEO.2023",2035,"IRA","CO2",-275.838196
"USREP-ReEDS",2021,"Historic","CO2",0
"EPS-EI",2021,"Historic","CO2",0
"GCAM-CGS",2021,"Historic","CO2",0
"GCAM-PNNL",2021,"Historic","CO2",0
"IPM-NRDC",2021,"Historic","CO2",0
"IPM-EPA",2021,"Historic","CO2",0
"MARKAL-NETL",2021,"Historic","CO2",0
"NEMS-RHG",2021,"Historic","CO2",0
"OP-NEMS",2021,"Historic","CO2",0
"REGEN-EPRI",2021,"Historic","CO2",0
"RIO-REPEAT",2021,"Historic","CO2",0
"Scout-LEEP",2021,"Historic","CO2",0
"AEO.2023",2021,"Historic","CO2",0
