"model","year","scenario","variable_rename","diff","figure_num"
"USREP-ReEDS",2025,"IRA","CO2",-100.85587088,"Ap.5.IndEmis"
"USREP-ReEDS",2030,"IRA","CO2",-184.78613394,"Ap.5.IndEmis"
"USREP-ReEDS",2035,"IRA","CO2",-145.31434167,"Ap.5.IndEmis"
"EPS-EI",2025,"IRA","CO2",-16.9017026000001,"Ap.5.IndEmis"
"EPS-EI",2030,"IRA","CO2",-166.9844809,"Ap.5.IndEmis"
"EPS-EI",2035,"IRA","CO2",-291.05746439,"Ap.5.IndEmis"
"GCAM-CGS",2025,"IRA","CO2",-169.7109793,"Ap.5.IndEmis"
"GCAM-CGS",2030,"IRA","CO2",-312.7165979,"Ap.5.IndEmis"
"GCAM-CGS",2035,"IRA","CO2",-358.6416275,"Ap.5.IndEmis"
"GCAM-PNNL",2025,"IRA","CO2",-37.6372035259853,"Ap.5.IndEmis"
"GCAM-PNNL",2030,"IRA","CO2",-96.5062614624223,"Ap.5.IndEmis"
"GCAM-PNNL",2035,"IRA","CO2",-94.6632149232404,"Ap.5.IndEmis"
"MARKAL-NETL",2025,"IRA","CO2",1.71923199999992,"Ap.5.IndEmis"
"MARKAL-NETL",2030,"IRA","CO2",-21.4782440999998,"Ap.5.IndEmis"
"MARKAL-NETL",2035,"IRA","CO2",-145.7191217,"Ap.5.IndEmis"
"NEMS-RHG",2025,"IRA","CO2",28.3501017000001,"Ap.5.IndEmis"
"NEMS-RHG",2030,"IRA","CO2",-133.0576223,"Ap.5.IndEmis"
"NEMS-RHG",2035,"IRA","CO2",-205.0825962,"Ap.5.IndEmis"
"OP-NEMS",2022,"IRA","CO2",-0.052733999999873,"Ap.5.IndEmis"
"OP-NEMS",2023,"IRA","CO2",0.814209000000119,"Ap.5.IndEmis"
"OP-NEMS",2024,"IRA","CO2",-3.01367100000016,"Ap.5.IndEmis"
"OP-NEMS",2025,"IRA","CO2",-26.606446,"Ap.5.IndEmis"
"OP-NEMS",2026,"IRA","CO2",-42.0729980000001,"Ap.5.IndEmis"
"OP-NEMS",2027,"IRA","CO2",-59.7519530000002,"Ap.5.IndEmis"
"OP-NEMS",2028,"IRA","CO2",-86.5561520000001,"Ap.5.IndEmis"
"OP-NEMS",2029,"IRA","CO2",-107.196412,"Ap.5.IndEmis"
"OP-NEMS",2030,"IRA","CO2",-122.689332,"Ap.5.IndEmis"
"OP-NEMS",2031,"IRA","CO2",-134.749268,"Ap.5.IndEmis"
"OP-NEMS",2032,"IRA","CO2",-140.735962,"Ap.5.IndEmis"
"OP-NEMS",2033,"IRA","CO2",-158.710205,"Ap.5.IndEmis"
"OP-NEMS",2034,"IRA","CO2",-164.098999,"Ap.5.IndEmis"
"OP-NEMS",2035,"IRA","CO2",-166.348267,"Ap.5.IndEmis"
"REGEN-EPRI",2025,"IRA","CO2",-15.8043526000001,"Ap.5.IndEmis"
"REGEN-EPRI",2030,"IRA","CO2",-63.2012743999999,"Ap.5.IndEmis"
"REGEN-EPRI",2035,"IRA","CO2",-261.3798986,"Ap.5.IndEmis"
"RIO-REPEAT",2025,"IRA","CO2",-32.9566533000002,"Ap.5.IndEmis"
"RIO-REPEAT",2030,"IRA","CO2",-158.2158494,"Ap.5.IndEmis"
"RIO-REPEAT",2035,"IRA","CO2",-332.39570756,"Ap.5.IndEmis"
"AEO.2023",2022,"IRA","CO2",0.364989999999807,"Ap.5.IndEmis"
"AEO.2023",2023,"IRA","CO2",-23.212524,"Ap.5.IndEmis"
"AEO.2023",2024,"IRA","CO2",-7.92370600000004,"Ap.5.IndEmis"
"AEO.2023",2025,"IRA","CO2",-12.8703619999999,"Ap.5.IndEmis"
"AEO.2023",2026,"IRA","CO2",-36.7475590000001,"Ap.5.IndEmis"
"AEO.2023",2027,"IRA","CO2",-63.667602,"Ap.5.IndEmis"
"AEO.2023",2028,"IRA","CO2",-88.630981,"Ap.5.IndEmis"
"AEO.2023",2029,"IRA","CO2",-109.240722,"Ap.5.IndEmis"
"AEO.2023",2030,"IRA","CO2",-120.048584,"Ap.5.IndEmis"
"AEO.2023",2031,"IRA","CO2",-114.417725,"Ap.5.IndEmis"
"AEO.2023",2032,"IRA","CO2",-110.283936,"Ap.5.IndEmis"
"AEO.2023",2033,"IRA","CO2",-110.650635,"Ap.5.IndEmis"
"AEO.2023",2034,"IRA","CO2",-114.174682,"Ap.5.IndEmis"
"AEO.2023",2035,"IRA","CO2",-115.186768,"Ap.5.IndEmis"
"USREP-ReEDS",2021,"Historic","CO2",0,"Ap.5.IndEmis"
"EPS-EI",2021,"Historic","CO2",0,"Ap.5.IndEmis"
"GCAM-CGS",2021,"Historic","CO2",0,"Ap.5.IndEmis"
"GCAM-PNNL",2021,"Historic","CO2",0,"Ap.5.IndEmis"
"MARKAL-NETL",2021,"Historic","CO2",0,"Ap.5.IndEmis"
"NEMS-RHG",2021,"Historic","CO2",0,"Ap.5.IndEmis"
"OP-NEMS",2021,"Historic","CO2",0,"Ap.5.IndEmis"
"REGEN-EPRI",2021,"Historic","CO2",0,"Ap.5.IndEmis"
"RIO-REPEAT",2021,"Historic","CO2",0,"Ap.5.IndEmis"
"AEO.2023",2021,"Historic","CO2",0,"Ap.5.IndEmis"
