"model","year","scenario","variable_rename","value","figure_num"
"USREP-ReEDS",2025,"IRA","Coal",-19.746672135677,"Ap.6.Coal"
"USREP-ReEDS",2030,"IRA","Coal",-48.6398504294275,"Ap.6.Coal"
"USREP-ReEDS",2035,"IRA","Coal",-51.6421515052952,"Ap.6.Coal"
"EPS-EI",2025,"IRA","Coal",-12.1497198414604,"Ap.6.Coal"
"EPS-EI",2030,"IRA","Coal",-49.6822329867897,"Ap.6.Coal"
"EPS-EI",2035,"IRA","Coal",-79.1958527364392,"Ap.6.Coal"
"GCAM-CGS",2025,"IRA","Coal",-29.5299894844726,"Ap.6.Coal"
"GCAM-CGS",2030,"IRA","Coal",-58.8011651616074,"Ap.6.Coal"
"GCAM-CGS",2035,"IRA","Coal",-81.8260485312976,"Ap.6.Coal"
"GCAM-PNNL",2025,"IRA","Coal",-6.62719529362459,"Ap.6.Coal"
"GCAM-PNNL",2030,"IRA","Coal",-17.1401774126661,"Ap.6.Coal"
"GCAM-PNNL",2035,"IRA","Coal",-0.7930482375338,"Ap.6.Coal"
"MARKAL-NETL",2025,"IRA","Coal",11.3085800405246,"Ap.6.Coal"
"MARKAL-NETL",2030,"IRA","Coal",23.1980502475559,"Ap.6.Coal"
"MARKAL-NETL",2035,"IRA","Coal",45.4603518401895,"Ap.6.Coal"
"NEMS-RHG",2025,"IRA","Coal",4.19540242476353,"Ap.6.Coal"
"NEMS-RHG",2030,"IRA","Coal",-59.5662602847031,"Ap.6.Coal"
"NEMS-RHG",2035,"IRA","Coal",-44.8191593171689,"Ap.6.Coal"
"OP-NEMS",2022,"IRA","Coal",-0.00106801572307136,"Ap.6.Coal"
"OP-NEMS",2023,"IRA","Coal",0.469160726734974,"Ap.6.Coal"
"OP-NEMS",2024,"IRA","Coal",0.496712722365977,"Ap.6.Coal"
"OP-NEMS",2025,"IRA","Coal",-2.9307799252593,"Ap.6.Coal"
"OP-NEMS",2026,"IRA","Coal",-7.03294290046369,"Ap.6.Coal"
"OP-NEMS",2027,"IRA","Coal",-10.5645095939882,"Ap.6.Coal"
"OP-NEMS",2028,"IRA","Coal",-17.232902997282,"Ap.6.Coal"
"OP-NEMS",2029,"IRA","Coal",-27.8668399713242,"Ap.6.Coal"
"OP-NEMS",2030,"IRA","Coal",-32.6150148729745,"Ap.6.Coal"
"OP-NEMS",2031,"IRA","Coal",-36.2742351979063,"Ap.6.Coal"
"OP-NEMS",2032,"IRA","Coal",-37.3765495322694,"Ap.6.Coal"
"OP-NEMS",2033,"IRA","Coal",-44.3607393644877,"Ap.6.Coal"
"OP-NEMS",2034,"IRA","Coal",-51.3648688665917,"Ap.6.Coal"
"OP-NEMS",2035,"IRA","Coal",-57.74639739698,"Ap.6.Coal"
"REGEN-EPRI",2025,"IRA","Coal",1.26582277663254,"Ap.6.Coal"
"REGEN-EPRI",2030,"IRA","Coal",6.83229813701161,"Ap.6.Coal"
"REGEN-EPRI",2035,"IRA","Coal",-27.9778393310345,"Ap.6.Coal"
"RIO-REPEAT",2025,"IRA","Coal",0,"Ap.6.Coal"
"RIO-REPEAT",2030,"IRA","Coal",0,"Ap.6.Coal"
"RIO-REPEAT",2035,"IRA","Coal",0,"Ap.6.Coal"
"AEO.2023",2022,"IRA","Coal",-0.0295545421031052,"Ap.6.Coal"
"AEO.2023",2023,"IRA","Coal",-0.477723326242785,"Ap.6.Coal"
"AEO.2023",2024,"IRA","Coal",0.143470112222266,"Ap.6.Coal"
"AEO.2023",2025,"IRA","Coal",-0.420598403729999,"Ap.6.Coal"
"AEO.2023",2026,"IRA","Coal",-7.31045247040395,"Ap.6.Coal"
"AEO.2023",2027,"IRA","Coal",-15.73626366783,"Ap.6.Coal"
"AEO.2023",2028,"IRA","Coal",-25.0238539435335,"Ap.6.Coal"
"AEO.2023",2029,"IRA","Coal",-33.3924571796297,"Ap.6.Coal"
"AEO.2023",2030,"IRA","Coal",-37.5589076488519,"Ap.6.Coal"
"AEO.2023",2031,"IRA","Coal",-37.503937042479,"Ap.6.Coal"
"AEO.2023",2032,"IRA","Coal",-36.8542835315397,"Ap.6.Coal"
"AEO.2023",2033,"IRA","Coal",-34.9610020591008,"Ap.6.Coal"
"AEO.2023",2034,"IRA","Coal",-35.4202297369561,"Ap.6.Coal"
"AEO.2023",2035,"IRA","Coal",-34.9644801569298,"Ap.6.Coal"
"USREP-ReEDS",2021,"Historic","Coal",0,"Ap.6.Coal"
"EPS-EI",2021,"Historic","Coal",0,"Ap.6.Coal"
"GCAM-CGS",2021,"Historic","Coal",0,"Ap.6.Coal"
"GCAM-PNNL",2021,"Historic","Coal",0,"Ap.6.Coal"
"MARKAL-NETL",2021,"Historic","Coal",0,"Ap.6.Coal"
"NEMS-RHG",2021,"Historic","Coal",0,"Ap.6.Coal"
"OP-NEMS",2021,"Historic","Coal",0,"Ap.6.Coal"
"REGEN-EPRI",2021,"Historic","Coal",0,"Ap.6.Coal"
"RIO-REPEAT",2021,"Historic","Coal",0,"Ap.6.Coal"
"AEO.2023",2021,"Historic","Coal",0,"Ap.6.Coal"
