"model","year","scenario","variable_rename","value"
"USREP-ReEDS",2025,"IRA","Gas",-0.166993827906081
"USREP-ReEDS",2030,"IRA","Gas",-10.4560076236191
"USREP-ReEDS",2035,"IRA","Gas",-17.2311054874627
"EPS-EI",2025,"IRA","Gas",-4.58109248713426
"EPS-EI",2030,"IRA","Gas",-20.7697995842069
"EPS-EI",2035,"IRA","Gas",-26.7748928423505
"GCAM-CGS",2025,"IRA","Gas",-1.24998212943752
"GCAM-CGS",2030,"IRA","Gas",-0.173427042297836
"GCAM-CGS",2035,"IRA","Gas",-5.28604558599973
"GCAM-PNNL",2025,"IRA","Gas",-7.8987324947336
"GCAM-PNNL",2030,"IRA","Gas",-6.83150356002176
"GCAM-PNNL",2035,"IRA","Gas",-11.8154521403547
"MARKAL-NETL",2025,"IRA","Gas",-0.107655072348856
"MARKAL-NETL",2030,"IRA","Gas",-7.43926861739234
"MARKAL-NETL",2035,"IRA","Gas",-19.422748055829
"NEMS-RHG",2025,"IRA","Gas",4.68264425006504
"NEMS-RHG",2030,"IRA","Gas",-11.0506481811085
"NEMS-RHG",2035,"IRA","Gas",-7.25719195906178
"OP-NEMS",2022,"IRA","Gas",0.00514260346669015
"OP-NEMS",2023,"IRA","Gas",-0.388020957972468
"OP-NEMS",2024,"IRA","Gas",-1.73868745758484
"OP-NEMS",2025,"IRA","Gas",-2.99047310977868
"OP-NEMS",2026,"IRA","Gas",-4.06573847598678
"OP-NEMS",2027,"IRA","Gas",-5.54519893389335
"OP-NEMS",2028,"IRA","Gas",-7.43072098338853
"OP-NEMS",2029,"IRA","Gas",-8.79142419037903
"OP-NEMS",2030,"IRA","Gas",-9.82893139219121
"OP-NEMS",2031,"IRA","Gas",-10.498257038651
"OP-NEMS",2032,"IRA","Gas",-11.1762574106373
"OP-NEMS",2033,"IRA","Gas",-12.2178641916749
"OP-NEMS",2034,"IRA","Gas",-14.2857991366304
"OP-NEMS",2035,"IRA","Gas",-14.7566650001161
"REGEN-EPRI",2025,"IRA","Gas",1.35841169485655
"REGEN-EPRI",2030,"IRA","Gas",1.26236780722511
"REGEN-EPRI",2035,"IRA","Gas",-15.3896529220764
"RIO-REPEAT",2025,"IRA","Gas",-0.679694151800614
"RIO-REPEAT",2030,"IRA","Gas",-4.5957446768693
"RIO-REPEAT",2035,"IRA","Gas",-8.36891541464146
"AEO.2023",2022,"IRA","Gas",0.00127473259996513
"AEO.2023",2023,"IRA","Gas",-0.302813125202939
"AEO.2023",2024,"IRA","Gas",0.0149849019308368
"AEO.2023",2025,"IRA","Gas",-1.57578821565637
"AEO.2023",2026,"IRA","Gas",-3.53394514438198
"AEO.2023",2027,"IRA","Gas",-5.79928044846421
"AEO.2023",2028,"IRA","Gas",-7.44042536625351
"AEO.2023",2029,"IRA","Gas",-8.55333951488595
"AEO.2023",2030,"IRA","Gas",-9.228628855843
"AEO.2023",2031,"IRA","Gas",-8.73202244791261
"AEO.2023",2032,"IRA","Gas",-8.01142533648169
"AEO.2023",2033,"IRA","Gas",-8.85365138229481
"AEO.2023",2034,"IRA","Gas",-9.62573975182169
"AEO.2023",2035,"IRA","Gas",-9.94435476765496
"USREP-ReEDS",2021,"Historic","Gas",0
"EPS-EI",2021,"Historic","Gas",0
"GCAM-CGS",2021,"Historic","Gas",0
"GCAM-PNNL",2021,"Historic","Gas",0
"MARKAL-NETL",2021,"Historic","Gas",0
"NEMS-RHG",2021,"Historic","Gas",0
"OP-NEMS",2021,"Historic","Gas",0
"REGEN-EPRI",2021,"Historic","Gas",0
"RIO-REPEAT",2021,"Historic","Gas",0
"AEO.2023",2021,"Historic","Gas",0
