"model","year","scenario","variable_rename","value","figure_num"
"USREP-ReEDS",2025,"IRA","Gas",-0.166993827906081,"Ap.7.Gas"
"USREP-ReEDS",2030,"IRA","Gas",-10.4560076236191,"Ap.7.Gas"
"USREP-ReEDS",2035,"IRA","Gas",-17.2311054874627,"Ap.7.Gas"
"EPS-EI",2025,"IRA","Gas",-4.58109248713426,"Ap.7.Gas"
"EPS-EI",2030,"IRA","Gas",-20.7697995842069,"Ap.7.Gas"
"EPS-EI",2035,"IRA","Gas",-26.7748928423505,"Ap.7.Gas"
"GCAM-CGS",2025,"IRA","Gas",-1.24998212943752,"Ap.7.Gas"
"GCAM-CGS",2030,"IRA","Gas",-0.173427042297836,"Ap.7.Gas"
"GCAM-CGS",2035,"IRA","Gas",-5.28604558599973,"Ap.7.Gas"
"GCAM-PNNL",2025,"IRA","Gas",-7.8987324947336,"Ap.7.Gas"
"GCAM-PNNL",2030,"IRA","Gas",-6.83150356002176,"Ap.7.Gas"
"GCAM-PNNL",2035,"IRA","Gas",-11.8154521403547,"Ap.7.Gas"
"MARKAL-NETL",2025,"IRA","Gas",-0.107655072348856,"Ap.7.Gas"
"MARKAL-NETL",2030,"IRA","Gas",-7.43926861739234,"Ap.7.Gas"
"MARKAL-NETL",2035,"IRA","Gas",-19.422748055829,"Ap.7.Gas"
"NEMS-RHG",2025,"IRA","Gas",4.68264425006504,"Ap.7.Gas"
"NEMS-RHG",2030,"IRA","Gas",-11.0506481811085,"Ap.7.Gas"
"NEMS-RHG",2035,"IRA","Gas",-7.25719195906178,"Ap.7.Gas"
"OP-NEMS",2022,"IRA","Gas",0.00514260346669015,"Ap.7.Gas"
"OP-NEMS",2023,"IRA","Gas",-0.388020957972468,"Ap.7.Gas"
"OP-NEMS",2024,"IRA","Gas",-1.73868745758484,"Ap.7.Gas"
"OP-NEMS",2025,"IRA","Gas",-2.99047310977868,"Ap.7.Gas"
"OP-NEMS",2026,"IRA","Gas",-4.06573847598678,"Ap.7.Gas"
"OP-NEMS",2027,"IRA","Gas",-5.54519893389335,"Ap.7.Gas"
"OP-NEMS",2028,"IRA","Gas",-7.43072098338853,"Ap.7.Gas"
"OP-NEMS",2029,"IRA","Gas",-8.79142419037903,"Ap.7.Gas"
"OP-NEMS",2030,"IRA","Gas",-9.82893139219121,"Ap.7.Gas"
"OP-NEMS",2031,"IRA","Gas",-10.498257038651,"Ap.7.Gas"
"OP-NEMS",2032,"IRA","Gas",-11.1762574106373,"Ap.7.Gas"
"OP-NEMS",2033,"IRA","Gas",-12.2178641916749,"Ap.7.Gas"
"OP-NEMS",2034,"IRA","Gas",-14.2857991366304,"Ap.7.Gas"
"OP-NEMS",2035,"IRA","Gas",-14.7566650001161,"Ap.7.Gas"
"REGEN-EPRI",2025,"IRA","Gas",1.35841169485655,"Ap.7.Gas"
"REGEN-EPRI",2030,"IRA","Gas",1.26236780722511,"Ap.7.Gas"
"REGEN-EPRI",2035,"IRA","Gas",-15.3896529220764,"Ap.7.Gas"
"RIO-REPEAT",2025,"IRA","Gas",-0.679694151800614,"Ap.7.Gas"
"RIO-REPEAT",2030,"IRA","Gas",-4.5957446768693,"Ap.7.Gas"
"RIO-REPEAT",2035,"IRA","Gas",-8.36891541464146,"Ap.7.Gas"
"AEO.2023",2022,"IRA","Gas",0.00127473259996513,"Ap.7.Gas"
"AEO.2023",2023,"IRA","Gas",-0.302813125202939,"Ap.7.Gas"
"AEO.2023",2024,"IRA","Gas",0.0149849019308368,"Ap.7.Gas"
"AEO.2023",2025,"IRA","Gas",-1.57578821565637,"Ap.7.Gas"
"AEO.2023",2026,"IRA","Gas",-3.53394514438198,"Ap.7.Gas"
"AEO.2023",2027,"IRA","Gas",-5.79928044846421,"Ap.7.Gas"
"AEO.2023",2028,"IRA","Gas",-7.44042536625351,"Ap.7.Gas"
"AEO.2023",2029,"IRA","Gas",-8.55333951488595,"Ap.7.Gas"
"AEO.2023",2030,"IRA","Gas",-9.228628855843,"Ap.7.Gas"
"AEO.2023",2031,"IRA","Gas",-8.73202244791261,"Ap.7.Gas"
"AEO.2023",2032,"IRA","Gas",-8.01142533648169,"Ap.7.Gas"
"AEO.2023",2033,"IRA","Gas",-8.85365138229481,"Ap.7.Gas"
"AEO.2023",2034,"IRA","Gas",-9.62573975182169,"Ap.7.Gas"
"AEO.2023",2035,"IRA","Gas",-9.94435476765496,"Ap.7.Gas"
"USREP-ReEDS",2021,"Historic","Gas",0,"Ap.7.Gas"
"EPS-EI",2021,"Historic","Gas",0,"Ap.7.Gas"
"GCAM-CGS",2021,"Historic","Gas",0,"Ap.7.Gas"
"GCAM-PNNL",2021,"Historic","Gas",0,"Ap.7.Gas"
"MARKAL-NETL",2021,"Historic","Gas",0,"Ap.7.Gas"
"NEMS-RHG",2021,"Historic","Gas",0,"Ap.7.Gas"
"OP-NEMS",2021,"Historic","Gas",0,"Ap.7.Gas"
"REGEN-EPRI",2021,"Historic","Gas",0,"Ap.7.Gas"
"RIO-REPEAT",2021,"Historic","Gas",0,"Ap.7.Gas"
"AEO.2023",2021,"Historic","Gas",0,"Ap.7.Gas"
