"model","year","scenario","variable_rename","diff","figure_num"
"USREP-ReEDS",2025,"IRA","CO2",-0.0476493086020007,"Ap.7.Gas"
"USREP-ReEDS",2030,"IRA","CO2",-2.920102743292,"Ap.7.Gas"
"USREP-ReEDS",2035,"IRA","CO2",-4.841168281082,"Ap.7.Gas"
"EPS-EI",2025,"IRA","CO2",-1.525572444438,"Ap.7.Gas"
"EPS-EI",2030,"IRA","CO2",-7.10607164162,"Ap.7.Gas"
"EPS-EI",2035,"IRA","CO2",-9.300332008688,"Ap.7.Gas"
"GCAM-CGS",2025,"IRA","CO2",-0.331368423777999,"Ap.7.Gas"
"GCAM-CGS",2030,"IRA","CO2",-0.0451176684559975,"Ap.7.Gas"
"GCAM-CGS",2035,"IRA","CO2",-1.43675130095,"Ap.7.Gas"
"GCAM-PNNL",2025,"IRA","CO2",-2.31107465864449,"Ap.7.Gas"
"GCAM-PNNL",2030,"IRA","CO2",-2.08423181007678,"Ap.7.Gas"
"GCAM-PNNL",2035,"IRA","CO2",-3.76130699133327,"Ap.7.Gas"
"MARKAL-NETL",2025,"IRA","CO2",-0.0293394712519977,"Ap.7.Gas"
"MARKAL-NETL",2030,"IRA","CO2",-2.059342799976,"Ap.7.Gas"
"MARKAL-NETL",2035,"IRA","CO2",-5.530040107046,"Ap.7.Gas"
"NEMS-RHG",2025,"IRA","CO2",1.376497133802,"Ap.7.Gas"
"NEMS-RHG",2030,"IRA","CO2",-3.281670719432,"Ap.7.Gas"
"NEMS-RHG",2035,"IRA","CO2",-2.114587796734,"Ap.7.Gas"
"OP-NEMS",2022,"IRA","CO2",0.001607992516373,"Ap.7.Gas"
"OP-NEMS",2023,"IRA","CO2",-0.120877437433794,"Ap.7.Gas"
"OP-NEMS",2024,"IRA","CO2",-0.540965482334926,"Ap.7.Gas"
"OP-NEMS",2025,"IRA","CO2",-0.921895709477401,"Ap.7.Gas"
"OP-NEMS",2026,"IRA","CO2",-1.24767419329729,"Ap.7.Gas"
"OP-NEMS",2027,"IRA","CO2",-1.69163912707486,"Ap.7.Gas"
"OP-NEMS",2028,"IRA","CO2",-2.26492745897855,"Ap.7.Gas"
"OP-NEMS",2029,"IRA","CO2",-2.65472864483538,"Ap.7.Gas"
"OP-NEMS",2030,"IRA","CO2",-2.92633938075314,"Ap.7.Gas"
"OP-NEMS",2031,"IRA","CO2",-3.10598454468065,"Ap.7.Gas"
"OP-NEMS",2032,"IRA","CO2",-3.31645356515327,"Ap.7.Gas"
"OP-NEMS",2033,"IRA","CO2",-3.62002415232919,"Ap.7.Gas"
"OP-NEMS",2034,"IRA","CO2",-4.23312029896644,"Ap.7.Gas"
"OP-NEMS",2035,"IRA","CO2",-4.35822171674173,"Ap.7.Gas"
"REGEN-EPRI",2025,"IRA","CO2",0.389992953083997,"Ap.7.Gas"
"REGEN-EPRI",2030,"IRA","CO2",0.369993321026001,"Ap.7.Gas"
"REGEN-EPRI",2035,"IRA","CO2",-4.699915106978,"Ap.7.Gas"
"AEO.2023",2022,"IRA","CO2",0.000422998031353927,"Ap.7.Gas"
"AEO.2023",2023,"IRA","CO2",-0.0971195480035192,"Ap.7.Gas"
"AEO.2023",2024,"IRA","CO2",0.00460797855436823,"Ap.7.Gas"
"AEO.2023",2025,"IRA","CO2",-0.487609730653752,"Ap.7.Gas"
"AEO.2023",2026,"IRA","CO2",-1.11176382582708,"Ap.7.Gas"
"AEO.2023",2027,"IRA","CO2",-1.83792944623655,"Ap.7.Gas"
"AEO.2023",2028,"IRA","CO2",-2.38326890821488,"Ap.7.Gas"
"AEO.2023",2029,"IRA","CO2",-2.75168119361613,"Ap.7.Gas"
"AEO.2023",2030,"IRA","CO2",-2.9661621954169,"Ap.7.Gas"
"AEO.2023",2031,"IRA","CO2",-2.77400208973419,"Ap.7.Gas"
"AEO.2023",2032,"IRA","CO2",-2.52576024505711,"Ap.7.Gas"
"AEO.2023",2033,"IRA","CO2",-2.79771097939251,"Ap.7.Gas"
"AEO.2023",2034,"IRA","CO2",-3.06235574773002,"Ap.7.Gas"
"AEO.2023",2035,"IRA","CO2",-3.17264023446363,"Ap.7.Gas"
"USREP-ReEDS",2021,"Historic","CO2",0,"Ap.7.Gas"
"EPS-EI",2021,"Historic","CO2",0,"Ap.7.Gas"
"GCAM-CGS",2021,"Historic","CO2",0,"Ap.7.Gas"
"GCAM-PNNL",2021,"Historic","CO2",0,"Ap.7.Gas"
"MARKAL-NETL",2021,"Historic","CO2",0,"Ap.7.Gas"
"NEMS-RHG",2021,"Historic","CO2",0,"Ap.7.Gas"
"OP-NEMS",2021,"Historic","CO2",0,"Ap.7.Gas"
"REGEN-EPRI",2021,"Historic","CO2",0,"Ap.7.Gas"
"AEO.2023",2021,"Historic","CO2",0,"Ap.7.Gas"
