"model","year","scenario","variable_rename","value"
"USREP-ReEDS",2025,"IRA","Oil",0.385917729927132
"USREP-ReEDS",2030,"IRA","Oil",-0.889732227822282
"USREP-ReEDS",2035,"IRA","Oil",-2.72243568921943
"EPS-EI",2025,"IRA","Oil",-0.143267760174937
"EPS-EI",2030,"IRA","Oil",-0.769541325098355
"EPS-EI",2035,"IRA","Oil",-1.6379953491572
"GCAM-CGS",2025,"IRA","Oil",-6.00774727033379
"GCAM-CGS",2030,"IRA","Oil",-11.1714968100144
"GCAM-CGS",2035,"IRA","Oil",-3.96636220815578
"GCAM-PNNL",2025,"IRA","Oil",-1.24472059732126
"GCAM-PNNL",2030,"IRA","Oil",-6.08611128537414
"GCAM-PNNL",2035,"IRA","Oil",-6.95115631777936
"MARKAL-NETL",2025,"IRA","Oil",-0.0880809919685199
"MARKAL-NETL",2030,"IRA","Oil",-0.0874246306998505
"MARKAL-NETL",2035,"IRA","Oil",-0.0862471335509429
"NEMS-RHG",2025,"IRA","Oil",0.0574029276607879
"NEMS-RHG",2030,"IRA","Oil",-1.06240211885923
"NEMS-RHG",2035,"IRA","Oil",-2.25245399103535
"OP-NEMS",2022,"IRA","Oil",-0.0257370487148911
"OP-NEMS",2023,"IRA","Oil",-0.0536894933095611
"OP-NEMS",2024,"IRA","Oil",-0.260340313640828
"OP-NEMS",2025,"IRA","Oil",-0.396754585640602
"OP-NEMS",2026,"IRA","Oil",-0.832687347606098
"OP-NEMS",2027,"IRA","Oil",-1.45543465214329
"OP-NEMS",2028,"IRA","Oil",-2.18682514150976
"OP-NEMS",2029,"IRA","Oil",-3.06495595490364
"OP-NEMS",2030,"IRA","Oil",-4.04747518754147
"OP-NEMS",2031,"IRA","Oil",-5.07011014769528
"OP-NEMS",2032,"IRA","Oil",-6.17786799048397
"OP-NEMS",2033,"IRA","Oil",-6.85001671008126
"OP-NEMS",2034,"IRA","Oil",-7.53937674980684
"OP-NEMS",2035,"IRA","Oil",-7.9283674696865
"REGEN-EPRI",2025,"IRA","Oil",-0.226463927531539
"REGEN-EPRI",2030,"IRA","Oil",-1.54287764621457
"REGEN-EPRI",2035,"IRA","Oil",-3.2232070910556
"RIO-REPEAT",2025,"IRA","Oil",-0.0582072176950055
"RIO-REPEAT",2030,"IRA","Oil",-0.374765771392893
"RIO-REPEAT",2035,"IRA","Oil",-0.754975978037054
"AEO.2023",2022,"IRA","Oil",-0.0117719087915691
"AEO.2023",2023,"IRA","Oil",-1.26829423582577
"AEO.2023",2024,"IRA","Oil",-0.884694379509698
"AEO.2023",2025,"IRA","Oil",-0.79822316467536
"AEO.2023",2026,"IRA","Oil",-0.901756461339775
"AEO.2023",2027,"IRA","Oil",-1.03859211335692
"AEO.2023",2028,"IRA","Oil",-0.795472207043924
"AEO.2023",2029,"IRA","Oil",-0.924677639926474
"AEO.2023",2030,"IRA","Oil",-0.947865940211967
"AEO.2023",2031,"IRA","Oil",-0.95427976816379
"AEO.2023",2032,"IRA","Oil",-0.908850595010924
"AEO.2023",2033,"IRA","Oil",-0.948257735146929
"AEO.2023",2034,"IRA","Oil",-1.07228864619228
"AEO.2023",2035,"IRA","Oil",-1.2179274540404
"USREP-ReEDS",2021,"Historic","Oil",0
"EPS-EI",2021,"Historic","Oil",0
"GCAM-CGS",2021,"Historic","Oil",0
"GCAM-PNNL",2021,"Historic","Oil",0
"MARKAL-NETL",2021,"Historic","Oil",0
"NEMS-RHG",2021,"Historic","Oil",0
"OP-NEMS",2021,"Historic","Oil",0
"REGEN-EPRI",2021,"Historic","Oil",0
"RIO-REPEAT",2021,"Historic","Oil",0
"AEO.2023",2021,"Historic","Oil",0
