"figure_num","model","scenario","variable","unit","label","year","value"
"E.12.CoalCCSGen","USREP-ReEDS","No IRA","Generation","Generation (TWh)","CCS",2030,9.4720165386e-09
"E.12.CoalCCSGen","USREP-ReEDS","No IRA","Generation","Generation (TWh)","CCS",2035,2.16939733626e-08
"E.12.CoalCCSGen","USREP-ReEDS","No IRA","Generation","Generation (TWh)","CCS",2021,0
"E.12.CoalCCSGen","USREP-ReEDS","IRA","Generation","Generation (TWh)","CCS",2030,1.02220002528e-08
"E.12.CoalCCSGen","USREP-ReEDS","IRA","Generation","Generation (TWh)","CCS",2035,2.8332718092e-08
"E.12.CoalCCSGen","USREP-ReEDS","IRA","Generation","Generation (TWh)","CCS",2021,0
"E.12.CoalCCSGen","GCAM-CGS","No IRA","Generation","Generation (TWh)","CCS",2030,1.36329341386667
"E.12.CoalCCSGen","GCAM-CGS","No IRA","Generation","Generation (TWh)","CCS",2035,0
"E.12.CoalCCSGen","GCAM-CGS","No IRA","Generation","Generation (TWh)","CCS",2025,0.757637386961479
"E.12.CoalCCSGen","GCAM-CGS","No IRA","Generation","Generation (TWh)","CCS",2021,0
"E.12.CoalCCSGen","GCAM-CGS","IRA","Generation","Generation (TWh)","CCS",2030,0.0210158183447239
"E.12.CoalCCSGen","GCAM-CGS","IRA","Generation","Generation (TWh)","CCS",2035,0
"E.12.CoalCCSGen","GCAM-CGS","IRA","Generation","Generation (TWh)","CCS",2025,0.0402975306622989
"E.12.CoalCCSGen","GCAM-CGS","IRA","Generation","Generation (TWh)","CCS",2021,0
"E.12.CoalCCSGen","GCAM-PNNL","No IRA","Generation","Generation (TWh)","CCS",2030,0
"E.12.CoalCCSGen","GCAM-PNNL","No IRA","Generation","Generation (TWh)","CCS",2035,0
"E.12.CoalCCSGen","GCAM-PNNL","No IRA","Generation","Generation (TWh)","CCS",2025,0
"E.12.CoalCCSGen","GCAM-PNNL","No IRA","Generation","Generation (TWh)","CCS",2021,0
"E.12.CoalCCSGen","GCAM-PNNL","IRA","Generation","Generation (TWh)","CCS",2030,157.218808236
"E.12.CoalCCSGen","GCAM-PNNL","IRA","Generation","Generation (TWh)","CCS",2035,209.995439976
"E.12.CoalCCSGen","GCAM-PNNL","IRA","Generation","Generation (TWh)","CCS",2025,0
"E.12.CoalCCSGen","GCAM-PNNL","IRA","Generation","Generation (TWh)","CCS",2021,0
"E.12.CoalCCSGen","Haiku-RFF","No IRA","Generation","Generation (TWh)","CCS",2030,0
"E.12.CoalCCSGen","Haiku-RFF","No IRA","Generation","Generation (TWh)","CCS",2035,0
"E.12.CoalCCSGen","Haiku-RFF","No IRA","Generation","Generation (TWh)","CCS",2025,0
"E.12.CoalCCSGen","Haiku-RFF","No IRA","Generation","Generation (TWh)","CCS",2021,0
"E.12.CoalCCSGen","Haiku-RFF","IRA","Generation","Generation (TWh)","CCS",2030,5.24591960392955
"E.12.CoalCCSGen","Haiku-RFF","IRA","Generation","Generation (TWh)","CCS",2035,5.85785873081038
"E.12.CoalCCSGen","Haiku-RFF","IRA","Generation","Generation (TWh)","CCS",2025,0
