"figure_num","model","scenario","unit","variable","label","year","value"
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,0.0424816326202551
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,188.611933951616
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,1007.50680059796
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,282.50689685172
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2030,802.278507800933
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2030,1072.57854715489
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2030,1598.24672958962
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,0.0252785433734306
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,18.0534358863323
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,712.324132718836
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2035,280.652930341402
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2035,41.4337015498731
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2035,1678.62773760311
"E.18.GenerationbyModel","EPS-EI","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2035,2577.92233292477
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,22.036501937021
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,434.363153750561
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,1778.9558652958
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,282.50689685172
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2030,693.008181638327
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2030,538.026281200488
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2030,733.775445226603
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,22.5906919262435
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,407.821633191299
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,1828.04997846953
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2035,282.452897827148
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2035,636.349205114786
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2035,737.705674231729
"E.18.GenerationbyModel","EPS-EI","No IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2035,890.61871204109
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,41.3067052892094
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,0.0210158950735792
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,219.440513301521
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,449.124880585189
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,1242.25718057168
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,296.177488241521
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2030,738.310430961524
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2030,921.877250487185
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2030,1131.8734726757
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,39.0689128483377
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,0
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,0.00432379626124651
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Gas|w/ CCS","Gas w/ CCS",2035,456.568384667976
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,1191.10561689358
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2035,288.84969112531
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2035,760.081711861445
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2035,1210.43817985512
"E.18.GenerationbyModel","GCAM-CGS","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2035,1250.65574923688
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,45.5946243056813
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,1.36329839125757
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,737.344628979384
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,2.08092329617022
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,1588.68687319509
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,300.309158328217
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2030,788.657479838468
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2030,599.088183519907
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2030,576.453999003255
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,44.7467482443021
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,0
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,684.034231695812
