"figure_num","model","scenario","unit","variable","label","year","value"
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,0.011
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,58.49
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,421.093
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,79.188
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2030,99.119
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Other","Other",2030,26.605
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Solar","Solar",2030,518.4021
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2030,61.6227
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Wind","Wind",2030,459.338
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,0.011
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,6.942
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,477.685
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,78.668
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2035,5.119
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Other","Other",2035,26.839
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Solar","Solar",2035,793.678
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2035,124.082
"E.19.CapacitybyModel","EPS-EI","IRA","GW","Capacity|Electricity|Wind","Wind",2035,723.848
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,5.105
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,122.662
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,510.491
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,79.188
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2030,85.619
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Other","Other",2030,28.481
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Solar","Solar",2030,268.724
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2030,15.03
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Wind","Wind",2030,217.043
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,5.105
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,114.246
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,541.343
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,79.173
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2035,78.619
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Other","Other",2035,28.621
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Solar","Solar",2035,358.708
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2035,18.56
"E.19.CapacitybyModel","EPS-EI","No IRA","GW","Capacity|Electricity|Wind","Wind",2035,258.033
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,17.745791634021
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,66.1661177329837
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,64.0880956020556
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,477.912061372215
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,108.602361036774
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2030,94.6524375007926
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Other","Other",2030,8.59073621748439
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Solar","Solar",2030,507.5249
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2030,13.8876478273982
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Wind","Wind",2030,443.8543
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,16.4322862005413
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,0.00130367748555027
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2035,65.1502539161593
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,456.699990413457
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,105.915404398901
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2035,97.3689218955903
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Other","Other",2035,7.13382272603487
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Solar","Solar",2035,672.9004
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2035,16.6521552594307
"E.19.CapacitybyModel","GCAM-CGS","IRA","GW","Capacity|Electricity|Wind","Wind",2035,491.5926
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,19.3224718385477
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,222.511020744254
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,0.252694918228374
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,594.11104559535
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,109.696313447761
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2030,100.654075699982
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Other","Other",2030,7.54068114352371
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Solar","Solar",2030,328.9687
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2030,6.25612860153852
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Wind","Wind",2030,223.5591
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,18.5035297592851
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,206.24469177704
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2035,0
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,640.622767370393
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,107.44869358557
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2035,100.583956269825
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Other","Other",2035,7.74509470429446
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Solar","Solar",2035,395.5776
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2035,8.35082043019505
"E.19.CapacitybyModel","GCAM-CGS","No IRA","GW","Capacity|Electricity|Wind","Wind",2035,240.5868
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,6.4
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,22.43
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,29.4
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,22.36
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,195.38
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Geothermal","Geothermal",2030,9.52
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,73.63346651
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,0
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2030,99.22
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Oil|w/o CCS","Oil w/o CCS",2030,2.38
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Solar","Solar",2030,448.02
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2030,0.429308251
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Wind","Wind",2030,468.53
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,8.9
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,29.97
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,28.56
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2035,32.54
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,174.25
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Geothermal","Geothermal",2035,11.36
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,74.29873795
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,0
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2035,99.22
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Oil|w/o CCS","Oil w/o CCS",2035,3.14
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Solar","Solar",2035,551.63
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2035,1.592763825
"E.19.CapacitybyModel","GCAM-PNNL","IRA","GW","Capacity|Electricity|Wind","Wind",2035,586.23
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,6.13
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,0
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,64.18
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,0
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,257.05
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Geothermal","Geothermal",2030,7.74
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,73.63346651
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,0
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2030,99.22
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Oil|w/o CCS","Oil w/o CCS",2030,2.57
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Solar","Solar",2030,369.37
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2030,0.392641584
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Wind","Wind",2030,349.1
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,9.07
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,0
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,55.3
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2035,0
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,259.94
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Geothermal","Geothermal",2035,9.38
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,74.29873795
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,0
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2035,99.22
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Oil|w/o CCS","Oil w/o CCS",2035,3.58
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Solar","Solar",2035,477.06
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2035,1.482358257
"E.19.CapacitybyModel","GCAM-PNNL","No IRA","GW","Capacity|Electricity|Wind","Wind",2035,456.91
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,11.36218
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,0.778224299665497
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,132.75480820666
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,497.394675244012
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,79.074859
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2030,90.7443
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Other","Other",2030,29.40318
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Solar","Solar",2030,424.342939680357
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2030,47.4151194139051
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Wind","Wind",2030,389.269963780794
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,11.36218
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,0.90447647643389
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,126.060693128039
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,491.027268169409
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,79.074859
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2035,71.9516
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Other","Other",2035,29.16537
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Solar","Solar",2035,495.111225162996
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2035,55.7449651015727
"E.19.CapacitybyModel","Haiku-RFF","IRA","GW","Capacity|Electricity|Wind","Wind",2035,445.184131514196
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,11.36218
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,0
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,158.810737026978
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,527.14196125655
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,79.074859
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2030,90.7443
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Other","Other",2030,32.78668
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Solar","Solar",2030,247.097300184536
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2030,47.4601194139051
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Wind","Wind",2030,285.29220449055
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,11.36218
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,0
