"figure_num","model","scenario","variable","unit","year","value"
"E.20.elec_share_econwide","EPS-EI","IRA","Economy-Wide","% Electricity of Final Energy",2025,21.0166945
"E.20.elec_share_econwide","EPS-EI","IRA","Economy-Wide","% Electricity of Final Energy",2030,23.311382
"E.20.elec_share_econwide","EPS-EI","IRA","Economy-Wide","% Electricity of Final Energy",2035,25.6831088
"E.20.elec_share_econwide","GCAM-CGS","IRA","Economy-Wide","% Electricity of Final Energy",2025,22.6453545
"E.20.elec_share_econwide","GCAM-CGS","IRA","Economy-Wide","% Electricity of Final Energy",2030,25.8247389
"E.20.elec_share_econwide","GCAM-CGS","IRA","Economy-Wide","% Electricity of Final Energy",2035,26.4517147
"E.20.elec_share_econwide","MARKAL-NETL","IRA","Economy-Wide","% Electricity of Final Energy",2025,23.9396627
"E.20.elec_share_econwide","MARKAL-NETL","IRA","Economy-Wide","% Electricity of Final Energy",2030,24.7722372
"E.20.elec_share_econwide","MARKAL-NETL","IRA","Economy-Wide","% Electricity of Final Energy",2035,25.5427566
"E.20.elec_share_econwide","NEMS-RHG","IRA","Economy-Wide","% Electricity of Final Energy",2025,26.3185068
"E.20.elec_share_econwide","NEMS-RHG","IRA","Economy-Wide","% Electricity of Final Energy",2030,23.1429051
"E.20.elec_share_econwide","NEMS-RHG","IRA","Economy-Wide","% Electricity of Final Energy",2035,25.0957693
"E.20.elec_share_econwide","RIO-REPEAT","IRA","Economy-Wide","% Electricity of Final Energy",2025,20.87
"E.20.elec_share_econwide","RIO-REPEAT","IRA","Economy-Wide","% Electricity of Final Energy",2030,23.9
"E.20.elec_share_econwide","RIO-REPEAT","IRA","Economy-Wide","% Electricity of Final Energy",2035,28.59
"E.20.elec_share_econwide","GCAM-PNNL","IRA","Economy-Wide","% Electricity of Final Energy",2025,24.006922762568
"E.20.elec_share_econwide","GCAM-PNNL","IRA","Economy-Wide","% Electricity of Final Energy",2030,26.9267436307919
"E.20.elec_share_econwide","GCAM-PNNL","IRA","Economy-Wide","% Electricity of Final Energy",2035,30.2712303323658
"E.20.elec_share_econwide","OP-NEMS","IRA","Economy-Wide","% Electricity of Final Energy",2025,18.8159634448591
"E.20.elec_share_econwide","OP-NEMS","IRA","Economy-Wide","% Electricity of Final Energy",2030,20.4264450727549
"E.20.elec_share_econwide","OP-NEMS","IRA","Economy-Wide","% Electricity of Final Energy",2035,22.2545726067846
"E.20.elec_share_econwide","USREP-ReEDS","IRA","Economy-Wide","% Electricity of Final Energy",2025,20.8850931218653
"E.20.elec_share_econwide","USREP-ReEDS","IRA","Economy-Wide","% Electricity of Final Energy",2030,22.8781786812596
"E.20.elec_share_econwide","USREP-ReEDS","IRA","Economy-Wide","% Electricity of Final Energy",2035,24.4544001682649
"E.20.elec_share_econwide","GCAM-PNNL","No IRA","Economy-Wide","% Electricity of Final Energy",2025,23.2423500384988
"E.20.elec_share_econwide","GCAM-PNNL","No IRA","Economy-Wide","% Electricity of Final Energy",2030,26.1254070655206
"E.20.elec_share_econwide","GCAM-PNNL","No IRA","Economy-Wide","% Electricity of Final Energy",2035,29.614029502084
"E.20.elec_share_econwide","OP-NEMS","No IRA","Economy-Wide","% Electricity of Final Energy",2025,18.7350850059978
"E.20.elec_share_econwide","OP-NEMS","No IRA","Economy-Wide","% Electricity of Final Energy",2030,19.1390968204636
"E.20.elec_share_econwide","OP-NEMS","No IRA","Economy-Wide","% Electricity of Final Energy",2035,19.9134367412306
"E.20.elec_share_econwide","USREP-ReEDS","No IRA","Economy-Wide","% Electricity of Final Energy",2025,21.0590844775025
"E.20.elec_share_econwide","USREP-ReEDS","No IRA","Economy-Wide","% Electricity of Final Energy",2030,22.1477214172815
"E.20.elec_share_econwide","USREP-ReEDS","No IRA","Economy-Wide","% Electricity of Final Energy",2035,23.3519631582392
"E.20.elec_share_econwide","EPS-EI","No IRA","Economy-Wide","% Electricity of Final Energy",2025,20.6795231
"E.20.elec_share_econwide","EPS-EI","No IRA","Economy-Wide","% Electricity of Final Energy",2030,22.3587115
"E.20.elec_share_econwide","EPS-EI","No IRA","Economy-Wide","% Electricity of Final Energy",2035,24.4583989
"E.20.elec_share_econwide","GCAM-CGS","No IRA","Economy-Wide","% Electricity of Final Energy",2025,21.4523594
"E.20.elec_share_econwide","GCAM-CGS","No IRA","Economy-Wide","% Electricity of Final Energy",2030,22.8432061
"E.20.elec_share_econwide","GCAM-CGS","No IRA","Economy-Wide","% Electricity of Final Energy",2035,25.2683209
"E.20.elec_share_econwide","MARKAL-NETL","No IRA","Economy-Wide","% Electricity of Final Energy",2025,24.4058577
"E.20.elec_share_econwide","MARKAL-NETL","No IRA","Economy-Wide","% Electricity of Final Energy",2030,25.4281357
"E.20.elec_share_econwide","MARKAL-NETL","No IRA","Economy-Wide","% Electricity of Final Energy",2035,26.2529831
"E.20.elec_share_econwide","NEMS-RHG","No IRA","Economy-Wide","% Electricity of Final Energy",2025,22.7827967
"E.20.elec_share_econwide","NEMS-RHG","No IRA","Economy-Wide","% Electricity of Final Energy",2030,23.6378328
"E.20.elec_share_econwide","NEMS-RHG","No IRA","Economy-Wide","% Electricity of Final Energy",2035,25.0365296
"E.20.elec_share_econwide","RIO-REPEAT","No IRA","Economy-Wide","% Electricity of Final Energy",2025,20.77
"E.20.elec_share_econwide","RIO-REPEAT","No IRA","Economy-Wide","% Electricity of Final Energy",2030,22.74
"E.20.elec_share_econwide","RIO-REPEAT","No IRA","Economy-Wide","% Electricity of Final Energy",2035,25.58
"E.20.elec_share_econwide","EPS-EI","IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","GCAM-CGS","IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","MARKAL-NETL","IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","NEMS-RHG","IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","RIO-REPEAT","IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","GCAM-PNNL","IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","OP-NEMS","IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","USREP-ReEDS","IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","GCAM-PNNL","No IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","OP-NEMS","No IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","USREP-ReEDS","No IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","EPS-EI","No IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","GCAM-CGS","No IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","MARKAL-NETL","No IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","NEMS-RHG","No IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","RIO-REPEAT","No IRA","Economy-Wide","% Electricity of Final Energy",2020,17.9352206972166
"E.20.elec_share_econwide","EPS-EI","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
