"figure_num","model","scenario","variable","unit","year","value"
"E.22.elec_share_buildings","EPS-EI","IRA","Buildings","% Electricity of Final Energy",2025,48.0468944
"E.22.elec_share_buildings","EPS-EI","IRA","Buildings","% Electricity of Final Energy",2030,49.7629476
"E.22.elec_share_buildings","EPS-EI","IRA","Buildings","% Electricity of Final Energy",2035,50.9993675
"E.22.elec_share_buildings","GCAM-CGS","IRA","Buildings","% Electricity of Final Energy",2025,57.1
"E.22.elec_share_buildings","GCAM-CGS","IRA","Buildings","% Electricity of Final Energy",2030,60.4
"E.22.elec_share_buildings","GCAM-CGS","IRA","Buildings","% Electricity of Final Energy",2035,61.6
"E.22.elec_share_buildings","NEMS-RHG","IRA","Buildings","% Electricity of Final Energy",2025,47.1169044
"E.22.elec_share_buildings","NEMS-RHG","IRA","Buildings","% Electricity of Final Energy",2030,46.9050764
"E.22.elec_share_buildings","NEMS-RHG","IRA","Buildings","% Electricity of Final Energy",2035,47.708303
"E.22.elec_share_buildings","RIO-REPEAT","IRA","Buildings","% Electricity of Final Energy",2025,48.27
"E.22.elec_share_buildings","RIO-REPEAT","IRA","Buildings","% Electricity of Final Energy",2030,51.43
"E.22.elec_share_buildings","RIO-REPEAT","IRA","Buildings","% Electricity of Final Energy",2035,55.11
"E.22.elec_share_buildings","GCAM-PNNL","IRA","Buildings","% Electricity of Final Energy",2025,58.8511949724767
"E.22.elec_share_buildings","GCAM-PNNL","IRA","Buildings","% Electricity of Final Energy",2030,57.8020548414923
"E.22.elec_share_buildings","GCAM-PNNL","IRA","Buildings","% Electricity of Final Energy",2035,57.8356137508989
"E.22.elec_share_buildings","OP-NEMS","IRA","Buildings","% Electricity of Final Energy",2025,47.1043045545637
"E.22.elec_share_buildings","OP-NEMS","IRA","Buildings","% Electricity of Final Energy",2030,47.282460783095
"E.22.elec_share_buildings","OP-NEMS","IRA","Buildings","% Electricity of Final Energy",2035,47.9938245729432
"E.22.elec_share_buildings","USREP-ReEDS","IRA","Buildings","% Electricity of Final Energy",2025,56.5494599521116
"E.22.elec_share_buildings","USREP-ReEDS","IRA","Buildings","% Electricity of Final Energy",2030,61.5898624229554
"E.22.elec_share_buildings","USREP-ReEDS","IRA","Buildings","% Electricity of Final Energy",2035,65.5696328583436
"E.22.elec_share_buildings","GCAM-PNNL","No IRA","Buildings","% Electricity of Final Energy",2025,57.858798735511
"E.22.elec_share_buildings","GCAM-PNNL","No IRA","Buildings","% Electricity of Final Energy",2030,59.2362414934087
"E.22.elec_share_buildings","GCAM-PNNL","No IRA","Buildings","% Electricity of Final Energy",2035,59.6524422751231
"E.22.elec_share_buildings","OP-NEMS","No IRA","Buildings","% Electricity of Final Energy",2025,47.1004144131925
"E.22.elec_share_buildings","OP-NEMS","No IRA","Buildings","% Electricity of Final Energy",2030,47.1232346145845
"E.22.elec_share_buildings","OP-NEMS","No IRA","Buildings","% Electricity of Final Energy",2035,47.8518826452318
"E.22.elec_share_buildings","USREP-ReEDS","No IRA","Buildings","% Electricity of Final Energy",2025,54.6592204268717
"E.22.elec_share_buildings","USREP-ReEDS","No IRA","Buildings","% Electricity of Final Energy",2030,57.4808982800035
"E.22.elec_share_buildings","USREP-ReEDS","No IRA","Buildings","% Electricity of Final Energy",2035,60.9478670227255
"E.22.elec_share_buildings","EPS-EI","No IRA","Buildings","% Electricity of Final Energy",2025,47.1835536
"E.22.elec_share_buildings","EPS-EI","No IRA","Buildings","% Electricity of Final Energy",2030,47.8457467
"E.22.elec_share_buildings","EPS-EI","No IRA","Buildings","% Electricity of Final Energy",2035,48.8584667
"E.22.elec_share_buildings","GCAM-CGS","No IRA","Buildings","% Electricity of Final Energy",2025,55.4
"E.22.elec_share_buildings","GCAM-CGS","No IRA","Buildings","% Electricity of Final Energy",2030,56.8
"E.22.elec_share_buildings","GCAM-CGS","No IRA","Buildings","% Electricity of Final Energy",2035,59
"E.22.elec_share_buildings","NEMS-RHG","No IRA","Buildings","% Electricity of Final Energy",2025,47.1774872
"E.22.elec_share_buildings","NEMS-RHG","No IRA","Buildings","% Electricity of Final Energy",2030,47.2241705
"E.22.elec_share_buildings","NEMS-RHG","No IRA","Buildings","% Electricity of Final Energy",2035,47.9132488
