"figure_num","model","scenario","variable","unit","label","year","value"
"E.24.ew_projections_direct","EPA-GHGI","Historic","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2021,5032.212819
"E.24.ew_projections_direct","EPS-EI","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2021,5032.212819
"E.24.ew_projections_direct","EPS-EI","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2025,4549.81011733888
"E.24.ew_projections_direct","EPS-EI","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2030,3683.07333616727
"E.24.ew_projections_direct","EPS-EI","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2035,3181.23945999667
"E.24.ew_projections_direct","EPS-EI","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2021,5032.212819
"E.24.ew_projections_direct","EPS-EI","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2025,4811.12269086155
"E.24.ew_projections_direct","EPS-EI","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2030,4469.11212426198
"E.24.ew_projections_direct","EPS-EI","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2035,4270.52739601984
"E.24.ew_projections_direct","GCAM-CGS","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2021,5032.212819
"E.24.ew_projections_direct","GCAM-CGS","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2025,4143.32131119463
"E.24.ew_projections_direct","GCAM-CGS","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2030,3535.15117247745
"E.24.ew_projections_direct","GCAM-CGS","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2035,3265.13939647775
"E.24.ew_projections_direct","GCAM-CGS","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2021,5032.212819
"E.24.ew_projections_direct","GCAM-CGS","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2025,4678.3428009427
"E.24.ew_projections_direct","GCAM-CGS","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2030,4515.63157057819
"E.24.ew_projections_direct","GCAM-CGS","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2035,4358.33318134285
"E.24.ew_projections_direct","GCAM-PNNL","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2021,5032.212819
"E.24.ew_projections_direct","GCAM-PNNL","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2025,4150.86876799247
"E.24.ew_projections_direct","GCAM-PNNL","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2030,3631.81913612816
"E.24.ew_projections_direct","GCAM-PNNL","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2035,3310.10805031081
"E.24.ew_projections_direct","GCAM-PNNL","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2021,5032.212819
"E.24.ew_projections_direct","GCAM-PNNL","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2025,4313.135
"E.24.ew_projections_direct","GCAM-PNNL","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2030,4093.635
"E.24.ew_projections_direct","GCAM-PNNL","No IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2035,3788
"E.24.ew_projections_direct","MARKAL-NETL","IRA","Emissions","Mt CO2/yr","Economy-Wide Direct Emissions",2021,5032.212819
