"model","scenario","year","value","variable","alpha","variable_rename"
"EPS-EI","IRA",2020,47,"Buildings",1,"Buildings"
"GCAM-CGS","IRA",2020,47,"Buildings",1,"Buildings"
"NEMS-RHG","IRA",2020,47,"Buildings",1,"Buildings"
"RIO-REPEAT","IRA",2020,47,"Buildings",1,"Buildings"
"GCAM-PNNL","IRA",2020,47,"Buildings",1,"Buildings"
"OP-NEMS","IRA",2020,47,"Buildings",1,"Buildings"
"USREP-ReEDS","IRA",2020,47,"Buildings",1,"Buildings"
"GCAM-PNNL","No IRA",2020,47,"Buildings",1,"Buildings"
"OP-NEMS","No IRA",2020,47,"Buildings",1,"Buildings"
"USREP-ReEDS","No IRA",2020,47,"Buildings",1,"Buildings"
"EPS-EI","No IRA",2020,47,"Buildings",1,"Buildings"
"GCAM-CGS","No IRA",2020,47,"Buildings",1,"Buildings"
"NEMS-RHG","No IRA",2020,47,"Buildings",1,"Buildings"
"RIO-REPEAT","No IRA",2020,47,"Buildings",1,"Buildings"
"EPS-EI","IRA",2025,48.0468944,"Buildings",1,"Buildings"
"EPS-EI","IRA",2030,49.7629476,"Buildings",1,"Buildings"
"EPS-EI","IRA",2035,50.9993675,"Buildings",1,"Buildings"
"GCAM-CGS","IRA",2025,57.1,"Buildings",1,"Buildings"
"GCAM-CGS","IRA",2030,60.4,"Buildings",1,"Buildings"
"GCAM-CGS","IRA",2035,61.6,"Buildings",1,"Buildings"
"NEMS-RHG","IRA",2025,47.1169044,"Buildings",1,"Buildings"
"NEMS-RHG","IRA",2030,46.9050764,"Buildings",1,"Buildings"
"NEMS-RHG","IRA",2035,47.708303,"Buildings",1,"Buildings"
"RIO-REPEAT","IRA",2025,48.27,"Buildings",1,"Buildings"
"RIO-REPEAT","IRA",2030,51.43,"Buildings",1,"Buildings"
"RIO-REPEAT","IRA",2035,55.11,"Buildings",1,"Buildings"
"GCAM-PNNL","IRA",2025,58.8511949724767,"Buildings",1,"Buildings"
"GCAM-PNNL","IRA",2030,57.8020548414923,"Buildings",1,"Buildings"
"GCAM-PNNL","IRA",2035,57.8356137508989,"Buildings",1,"Buildings"
"OP-NEMS","IRA",2025,47.1043045545637,"Buildings",1,"Buildings"
"OP-NEMS","IRA",2030,47.282460783095,"Buildings",1,"Buildings"
"OP-NEMS","IRA",2035,47.9938245729432,"Buildings",1,"Buildings"
"USREP-ReEDS","IRA",2025,56.5494599521116,"Buildings",1,"Buildings"
"USREP-ReEDS","IRA",2030,61.5898624229554,"Buildings",1,"Buildings"
"USREP-ReEDS","IRA",2035,65.5696328583436,"Buildings",1,"Buildings"
"GCAM-PNNL","No IRA",2025,57.858798735511,"Buildings",1,"Buildings"
"GCAM-PNNL","No IRA",2030,59.2362414934087,"Buildings",1,"Buildings"
"GCAM-PNNL","No IRA",2035,59.6524422751231,"Buildings",1,"Buildings"
"OP-NEMS","No IRA",2025,47.1004144131925,"Buildings",1,"Buildings"
"OP-NEMS","No IRA",2030,47.1232346145845,"Buildings",1,"Buildings"
"OP-NEMS","No IRA",2035,47.8518826452318,"Buildings",1,"Buildings"
"USREP-ReEDS","No IRA",2025,54.6592204268717,"Buildings",1,"Buildings"
"USREP-ReEDS","No IRA",2030,57.4808982800035,"Buildings",1,"Buildings"
"USREP-ReEDS","No IRA",2035,60.9478670227255,"Buildings",1,"Buildings"
"EPS-EI","No IRA",2025,47.1835536,"Buildings",1,"Buildings"
"EPS-EI","No IRA",2030,47.8457467,"Buildings",1,"Buildings"
"EPS-EI","No IRA",2035,48.8584667,"Buildings",1,"Buildings"
"GCAM-CGS","No IRA",2025,55.4,"Buildings",1,"Buildings"
"GCAM-CGS","No IRA",2030,56.8,"Buildings",1,"Buildings"
"GCAM-CGS","No IRA",2035,59,"Buildings",1,"Buildings"
"NEMS-RHG","No IRA",2025,47.1774872,"Buildings",1,"Buildings"
"NEMS-RHG","No IRA",2030,47.2241705,"Buildings",1,"Buildings"
"NEMS-RHG","No IRA",2035,47.9132488,"Buildings",1,"Buildings"
"RIO-REPEAT","No IRA",2025,48.04,"Buildings",1,"Buildings"
"RIO-REPEAT","No IRA",2030,49.13,"Buildings",1,"Buildings"
"RIO-REPEAT","No IRA",2035,50.41,"Buildings",1,"Buildings"
