"Sector","Year","Statistic","IRA","No IRA"
"Economy-Wide","2025","Median",0.2183,0.2126
"Economy-Wide","2025","Min",0.1882,0.1874
"Economy-Wide","2025","Max",0.2632,0.2441
"Economy-Wide","2030","Median",0.2361,0.2279
"Economy-Wide","2030","Min",0.2043,0.1914
"Economy-Wide","2030","Max",0.2693,0.2613
"Economy-Wide","2035","Median",0.2561,0.2515
"Economy-Wide","2035","Min",0.2225,0.1991
"Economy-Wide","2035","Max",0.3027,0.2961
"Transportation","2025","Median",0.0115,0.0079
"Transportation","2025","Min",0.0044,0.0036
"Transportation","2025","Max",0.0164,0.0109
"Transportation","2030","Median",0.043,0.02
"Transportation","2030","Min",0.0175,0.0097
"Transportation","2030","Max",0.062,0.0414
"Transportation","2035","Median",0.0698,0.0399
"Transportation","2035","Min",0.0412,0.0195
"Transportation","2035","Max",0.1507,0.0961
"Buildings","2025","Median",0.4827,0.4804
"Buildings","2025","Min",0.471,0.471
"Buildings","2025","Max",0.5885,0.5786
"Buildings","2030","Median",0.5143,0.4913
"Buildings","2030","Min",0.4691,0.4712
"Buildings","2030","Max",0.6159,0.5924
"Buildings","2035","Median",0.5511,0.5041
"Buildings","2035","Min",0.4771,0.4785
"Buildings","2035","Max",0.6557,0.6095
"Industry","2025","Median",0.156,0.1501
"Industry","2025","Min",0.126,0.1262
"Industry","2025","Max",0.1805,0.1794
"Industry","2030","Median",0.1684,0.1471
"Industry","2030","Min",0.1257,0.1251
"Industry","2030","Max",0.18,0.1779
"Industry","2035","Median",0.1703,0.166
"Industry","2035","Min",0.1248,0.1242
"Industry","2035","Max",0.1788,0.188
