"Sector","Year","Statistic","Percent Difference","Percentage Point Difference"
"Economy-Wide",2025,"Median",0.0106,"0.22 pp"
"Economy-Wide",2025,"Min",-0.0193,"-0.47 pp"
"Economy-Wide",2025,"Max",0.1554,"3.54 pp"
"Economy-Wide",2030,"Median",0.03775,"0.875 pp"
"Economy-Wide",2030,"Min",-0.026,"-0.66 pp"
"Economy-Wide",2030,"Max",0.1305,"2.98 pp"
"Economy-Wide",2035,"Median",0.0469,"1.14 pp"
"Economy-Wide",2035,"Min",-0.027,"-0.71 pp"
"Economy-Wide",2035,"Max",0.1177,"3.01 pp"
"Transportation",2025,"Median",0.3024,"0.19 pp"
"Transportation",2025,"Min",0.0233,"0.01 pp"
"Transportation",2025,"Max",0.9092,"0.78 pp"
"Transportation",2030,"Median",0.4843,"1.62 pp"
"Transportation",2030,"Min",0.1209,"0.23 pp"
"Transportation",2030,"Max",2.3264,"3.26 pp"
"Transportation",2035,"Median",0.5682,"1.84 pp"
"Transportation",2035,"Min",0.2032,"0.81 pp"
"Transportation",2035,"Max",2.5737,"5.46 pp"
"Buildings",2025,"Median",0.0171,"0.86 pp"
"Buildings",2025,"Min",-0.0013,"-0.06 pp"
"Buildings",2025,"Max",0.0346,"1.89 pp"
"Buildings",2030,"Median",0.0401,"1.92 pp"
"Buildings",2030,"Min",-0.0241,"-1.43 pp"
"Buildings",2030,"Max",0.0715,"4.11 pp"
"Buildings",2035,"Median",0.0438,"2.14 pp"
"Buildings",2035,"Min",-0.0305,"-1.82 pp"
"Buildings",2035,"Max",0.0932,"4.7 pp"
"Industry",2025,"Median",0.0061,"0.11 pp"
"Industry",2025,"Min",-0.0546,"-0.82 pp"
"Industry",2025,"Max",0.0909,"1.3 pp"
"Industry",2030,"Median",0.0048,"0.06 pp"
"Industry",2030,"Min",-0.032,"-0.47 pp"
"Industry",2030,"Max",0.2245,"3.3 pp"
"Industry",2035,"Median",0.0048,"0.06 pp"
"Industry",2035,"Min",-0.0511,"-0.96 pp"
"Industry",2035,"Max",0.0922,"1.31 pp"
