"model","scenario","variable_rename","year","value","figure_num"
"USREP-ReEDS","No IRA","Total Emissions",2025,4540.270473,"F.1.EconWideEmis"
"USREP-ReEDS","No IRA","Total Emissions",2030,4231.719803,"F.1.EconWideEmis"
"USREP-ReEDS","No IRA","Total Emissions",2035,4012.490192,"F.1.EconWideEmis"
"USREP-ReEDS","No IRA","Total Emissions",2021,5032.212819,"F.1.EconWideEmis"
"USREP-ReEDS","IRA","Total Emissions",2025,4127.409674,"F.1.EconWideEmis"
"USREP-ReEDS","IRA","Total Emissions",2030,3493.680895,"F.1.EconWideEmis"
"USREP-ReEDS","IRA","Total Emissions",2035,3231.66939,"F.1.EconWideEmis"
"USREP-ReEDS","IRA","Total Emissions",2021,5032.212819,"F.1.EconWideEmis"
"EPS-EI","No IRA","Total Emissions",2025,4788.713149,"F.1.EconWideEmis"
"EPS-EI","No IRA","Total Emissions",2030,4446.092957,"F.1.EconWideEmis"
"EPS-EI","No IRA","Total Emissions",2035,4246.979551,"F.1.EconWideEmis"
"EPS-EI","No IRA","Total Emissions",2021,5032.212819,"F.1.EconWideEmis"
"EPS-EI","IRA","Total Emissions",2025,4528.419084,"F.1.EconWideEmis"
"EPS-EI","IRA","Total Emissions",2030,3660.969727,"F.1.EconWideEmis"
"EPS-EI","IRA","Total Emissions",2035,3157.577295,"F.1.EconWideEmis"
"EPS-EI","IRA","Total Emissions",2021,5032.212819,"F.1.EconWideEmis"
"GCAM-CGS","No IRA","Total Emissions",2025,4678.3428009427,"F.1.EconWideEmis"
"GCAM-CGS","No IRA","Total Emissions",2030,4515.63157057819,"F.1.EconWideEmis"
"GCAM-CGS","No IRA","Total Emissions",2035,4358.33318134285,"F.1.EconWideEmis"
"GCAM-CGS","No IRA","Total Emissions",2021,5032.212819,"F.1.EconWideEmis"
"GCAM-CGS","IRA","Total Emissions",2025,4143.32131119463,"F.1.EconWideEmis"
"GCAM-CGS","IRA","Total Emissions",2030,3535.15117247745,"F.1.EconWideEmis"
"GCAM-CGS","IRA","Total Emissions",2035,3265.13939647775,"F.1.EconWideEmis"
"GCAM-CGS","IRA","Total Emissions",2021,5032.212819,"F.1.EconWideEmis"
"GCAM-PNNL","No IRA","Total Emissions",2025,4313.135,"F.1.EconWideEmis"
"GCAM-PNNL","No IRA","Total Emissions",2030,4093.635,"F.1.EconWideEmis"
"GCAM-PNNL","No IRA","Total Emissions",2035,3788,"F.1.EconWideEmis"
"GCAM-PNNL","No IRA","Total Emissions",2021,5032.212819,"F.1.EconWideEmis"
"GCAM-PNNL","IRA","Total Emissions",2025,4150.86876799247,"F.1.EconWideEmis"
"GCAM-PNNL","IRA","Total Emissions",2030,3631.81913612816,"F.1.EconWideEmis"
"GCAM-PNNL","IRA","Total Emissions",2035,3310.10805031081,"F.1.EconWideEmis"
"GCAM-PNNL","IRA","Total Emissions",2021,5032.212819,"F.1.EconWideEmis"
"MARKAL-NETL","No IRA","Total Emissions",2025,4284.46,"F.1.EconWideEmis"
"MARKAL-NETL","No IRA","Total Emissions",2030,4171.2,"F.1.EconWideEmis"
"MARKAL-NETL","No IRA","Total Emissions",2035,4163.41,"F.1.EconWideEmis"
