"model","year","scenario","variable_rename","diff","figure_num"
"USREP-ReEDS",2025,"IRA","Gas",-0.7364347388048,"F.14.GasGen"
"USREP-ReEDS",2030,"IRA","Gas",-1.692226881275,"F.14.GasGen"
"USREP-ReEDS",2035,"IRA","Gas",-2.5417599099102,"F.14.GasGen"
"EPS-EI",2025,"IRA","Gas",-0.41327454168,"F.14.GasGen"
"EPS-EI",2030,"IRA","Gas",-2.63229347304,"F.14.GasGen"
"EPS-EI",2035,"IRA","Gas",-3.80701461168,"F.14.GasGen"
"GCAM-CGS",2025,"IRA","Gas",-0.741634560295743,"F.14.GasGen"
"GCAM-CGS",2030,"IRA","Gas",-1.18206717784669,"F.14.GasGen"
"GCAM-CGS",2035,"IRA","Gas",-2.24361351036928,"F.14.GasGen"
"GCAM-PNNL",2025,"IRA","Gas",-0.782465768,"F.14.GasGen"
"GCAM-PNNL",2030,"IRA","Gas",-1.53420386,"F.14.GasGen"
"GCAM-PNNL",2035,"IRA","Gas",-2.132948076,"F.14.GasGen"
"Haiku-RFF",2025,"IRA","Gas",-0.497939793058391,"F.14.GasGen"
"Haiku-RFF",2030,"IRA","Gas",-1.01349106558174,"F.14.GasGen"
"Haiku-RFF",2035,"IRA","Gas",-1.01306862288302,"F.14.GasGen"
"IPM-NRDC",2025,"IRA","Gas",0.290666570509314,"F.14.GasGen"
"IPM-NRDC",2030,"IRA","Gas",-0.995080150435048,"F.14.GasGen"
"IPM-NRDC",2035,"IRA","Gas",-1.3770398926846,"F.14.GasGen"
"IPM-EPA",2030,"IRA","Gas",-0.125762210510557,"F.14.GasGen"
"IPM-EPA",2035,"IRA","Gas",-1.84715616731448,"F.14.GasGen"
"MARKAL-NETL",2025,"IRA","Gas",0.0175817040653525,"F.14.GasGen"
"MARKAL-NETL",2030,"IRA","Gas",0.44238600390852,"F.14.GasGen"
"MARKAL-NETL",2035,"IRA","Gas",-2.01773512218681,"F.14.GasGen"
"NEMS-RHG",2025,"IRA","Gas",0.692000150567039,"F.14.GasGen"
"NEMS-RHG",2030,"IRA","Gas",-1.4967951152616,"F.14.GasGen"
"NEMS-RHG",2035,"IRA","Gas",-0.81119730971664,"F.14.GasGen"
"NEMS-OP",2022,"IRA","Gas",0.00884050479143994,"F.14.GasGen"
"NEMS-OP",2023,"IRA","Gas",-0.0574059974392798,"F.14.GasGen"
"NEMS-OP",2024,"IRA","Gas",-0.2501260388424,"F.14.GasGen"
"NEMS-OP",2025,"IRA","Gas",-0.34934334386616,"F.14.GasGen"
"NEMS-OP",2026,"IRA","Gas",-0.4342696499736,"F.14.GasGen"
"NEMS-OP",2027,"IRA","Gas",-0.585312563838239,"F.14.GasGen"
"NEMS-OP",2028,"IRA","Gas",-0.943400785541761,"F.14.GasGen"
"NEMS-OP",2029,"IRA","Gas",-1.23691693209336,"F.14.GasGen"
"NEMS-OP",2030,"IRA","Gas",-1.42499163130128,"F.14.GasGen"
"NEMS-OP",2031,"IRA","Gas",-1.47632888619216,"F.14.GasGen"
"NEMS-OP",2032,"IRA","Gas",-1.55108987579448,"F.14.GasGen"
"NEMS-OP",2033,"IRA","Gas",-1.8863010564804,"F.14.GasGen"
"NEMS-OP",2034,"IRA","Gas",-2.130977713536,"F.14.GasGen"
"NEMS-OP",2035,"IRA","Gas",-2.22608486793672,"F.14.GasGen"
"REGEN-EPRI",2025,"IRA","Gas",-0.0409917855320421,"F.14.GasGen"
"REGEN-EPRI",2030,"IRA","Gas",0.446682682431367,"F.14.GasGen"
"REGEN-EPRI",2035,"IRA","Gas",-1.6850923880916,"F.14.GasGen"
"RIO-REPEAT",2025,"IRA","Gas",0.15695568,"F.14.GasGen"
"RIO-REPEAT",2030,"IRA","Gas",-0.5629932,"F.14.GasGen"
"RIO-REPEAT",2035,"IRA","Gas",-1.3477716,"F.14.GasGen"
"ReEDS-NREL",2025,"IRA","Gas",-0.38893517296211,"F.14.GasGen"
"ReEDS-NREL",2030,"IRA","Gas",-1.94963322840014,"F.14.GasGen"
"ReEDS-NREL",2035,"IRA","Gas",-2.65633829229899,"F.14.GasGen"
"USREP-ReEDS",2021,"Historic","Gas",0,"F.14.GasGen"
"EPS-EI",2021,"Historic","Gas",0,"F.14.GasGen"
"GCAM-CGS",2021,"Historic","Gas",0,"F.14.GasGen"
"GCAM-PNNL",2021,"Historic","Gas",0,"F.14.GasGen"
"Haiku-RFF",2021,"Historic","Gas",0,"F.14.GasGen"
"IPM-NRDC",2021,"Historic","Gas",0,"F.14.GasGen"
"IPM-EPA",2021,"Historic","Gas",0,"F.14.GasGen"
"MARKAL-NETL",2021,"Historic","Gas",0,"F.14.GasGen"
"NEMS-RHG",2021,"Historic","Gas",0,"F.14.GasGen"
"NEMS-OP",2021,"Historic","Gas",0,"F.14.GasGen"
"REGEN-EPRI",2021,"Historic","Gas",0,"F.14.GasGen"
"RIO-REPEAT",2021,"Historic","Gas",0,"F.14.GasGen"
"ReEDS-NREL",2021,"Historic","Gas",0,"F.14.GasGen"
