"figure_num","model","scenario","variable","unit","label","year","value"
"F.3.1.gen_bytype","USREP-ReEDS","No IRA","Secondary Energy|Electricity","TWh","Total",2030,4028.68737129835
"F.3.1.gen_bytype","EPS-EI","No IRA","Secondary Energy|Electricity","TWh","Total",2030,4227.86700392
"F.3.1.gen_bytype","GCAM-CGS","No IRA","Secondary Energy|Electricity","TWh","Total",2030,4354.25720433969
"F.3.1.gen_bytype","GCAM-PNNL","No IRA","Secondary Energy|Electricity","TWh","Total",2030,5124.84161330556
"F.3.1.gen_bytype","Haiku-RFF","No IRA","Secondary Energy|Electricity","TWh","Total",2030,3949.66280289781
"F.3.1.gen_bytype","IPM-NRDC","No IRA","Secondary Energy|Electricity","TWh","Total",2030,4020.45690317496
"F.3.1.gen_bytype","IPM-EPA","No IRA","Secondary Energy|Electricity","TWh","Total",2030,4237.57332010824
"F.3.1.gen_bytype","MARKAL-NETL","No IRA","Secondary Energy|Electricity","TWh","Total",2030,4560.7487963739
"F.3.1.gen_bytype","NEMS-RHG","No IRA","Secondary Energy|Electricity","TWh","Total",2030,3985.1840214172
"F.3.1.gen_bytype","NEMS-OP","No IRA","Secondary Energy|Electricity","TWh","Total",2030,4244.4113296634
"F.3.1.gen_bytype","REGEN-EPRI","No IRA","Secondary Energy|Electricity","TWh","Total",2030,3843.95158031795
"F.3.1.gen_bytype","RIO-REPEAT","No IRA","Secondary Energy|Electricity","TWh","Total",2030,4332.3938
"F.3.1.gen_bytype","ReEDS-NREL","No IRA","Secondary Energy|Electricity","TWh","Total",2030,4032.85150002549
"F.3.1.gen_bytype","NEMS-EIA","No IRA","Secondary Energy|Electricity","TWh","Total",2030,4252.3706308636
"F.3.1.gen_bytype","USREP-ReEDS","IRA","Secondary Energy|Electricity","TWh","Total",2030,4063.15413831613
"F.3.1.gen_bytype","EPS-EI","IRA","Secondary Energy|Electricity","TWh","Total",2030,4693.3339183514
"F.3.1.gen_bytype","GCAM-CGS","IRA","Secondary Energy|Electricity","TWh","Total",2030,4738.21572880996
"F.3.1.gen_bytype","GCAM-PNNL","IRA","Secondary Energy|Electricity","TWh","Total",2030,5298.07651546612
"F.3.1.gen_bytype","Haiku-RFF","IRA","Secondary Energy|Electricity","TWh","Total",2030,3955.67607523339
"F.3.1.gen_bytype","IPM-NRDC","IRA","Secondary Energy|Electricity","TWh","Total",2030,4019.65560771535
"F.3.1.gen_bytype","IPM-EPA","IRA","Secondary Energy|Electricity","TWh","Total",2030,4248.08454852697
"F.3.1.gen_bytype","MARKAL-NETL","IRA","Secondary Energy|Electricity","TWh","Total",2030,4671.87843527754
"F.3.1.gen_bytype","NEMS-RHG","IRA","Secondary Energy|Electricity","TWh","Total",2030,4014.5311764838
"F.3.1.gen_bytype","NEMS-OP","IRA","Secondary Energy|Electricity","TWh","Total",2030,4384.0972842422
"F.3.1.gen_bytype","REGEN-EPRI","IRA","Secondary Energy|Electricity","TWh","Total",2030,3980.41267559898
"F.3.1.gen_bytype","RIO-REPEAT","IRA","Secondary Energy|Electricity","TWh","Total",2030,4803.4504
"F.3.1.gen_bytype","ReEDS-NREL","IRA","Secondary Energy|Electricity","TWh","Total",2030,4155.72111539136
"F.3.1.gen_bytype","NEMS-EIA","IRA","Secondary Energy|Electricity","TWh","Total",2030,4290.3096526416
"F.3.1.gen_bytype","USREP-ReEDS","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4166.38233812336
"F.3.1.gen_bytype","EPS-EI","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4533.4074891
"F.3.1.gen_bytype","GCAM-CGS","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4699.26690901295
"F.3.1.gen_bytype","GCAM-PNNL","No IRA","Secondary Energy|Electricity","TWh","Total",2035,5688.07381687222
"F.3.1.gen_bytype","Haiku-RFF","No IRA","Secondary Energy|Electricity","TWh","Total",2035,3952.6717045909
"F.3.1.gen_bytype","IPM-NRDC","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4125.22387311741
"F.3.1.gen_bytype","IPM-EPA","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4519.5465944704
"F.3.1.gen_bytype","MARKAL-NETL","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4731.32660505826
"F.3.1.gen_bytype","NEMS-RHG","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4150.510055895
