"year","variable_rename","model","alpha","No IRA","IRA","abs_dif","axe","scenario"
2030,"Coal","USREP-ReEDS",1,568.682194946833,253.728906032778,-314.953288914055,1,"IRA"
2030,"Coal","EPS-EI",1,411.6968338,178.7696201998,-232.9272136002,1,"IRA"
2030,"Coal","GCAM-CGS",1,698.867863328418,207.989475519748,-490.87838780867,1,"IRA"
2030,"Coal","GCAM-PNNL",1,452.911495555556,207.462888888889,-245.448606666667,1,"IRA"
2030,"Coal","Haiku-RFF",1,827.530103506065,532.937344891311,-294.592758614754,1,"IRA"
2030,"Coal","IPM-NRDC",1,342.875199423364,187.952865306675,-154.922334116689,1,"IRA"
2030,"Coal","IPM-EPA",1,525.1570437185,230.114115512557,-295.042928205942,1,"IRA"
2030,"Coal","MARKAL-NETL",1,634.694777755416,487.912033662648,-146.782744092768,1,"IRA"
2030,"Coal","NEMS-RHG",1,459.8809594036,130.4059613724,-329.4749980312,1,"IRA"
2030,"Coal","NEMS-OP",1,511.137479174,280.404558964249,-230.732920209751,1,"IRA"
2030,"Coal","REGEN-EPRI",1,633.371785632691,440.402948302524,-192.968837330167,1,"IRA"
2030,"Coal","RIO-REPEAT",1,619.8612,450.205,-169.6562,1,"IRA"
2030,"Coal","ReEDS-NREL",1,660.072566291737,68.2963547088384,-591.776211582899,1,"IRA"
2030,"Coal","NEMS-EIA",1,579.2477036682,332.20151448001,-247.04618918819,1,"IRA"
2035,"Coal","USREP-ReEDS",1,453.331322249167,180.306621228222,-273.024701020944,2,"IRA"
2035,"Coal","EPS-EI",1,386.5403262,17.1113556236,-369.4289705764,2,"IRA"
2035,"Coal","GCAM-CGS",1,648.339356062651,0.00409816812356443,-648.335257894527,2,"IRA"
2035,"Coal","GCAM-PNNL",1,390.290876111111,201.543877888889,-188.746998222222,2,"IRA"
2035,"Coal","Haiku-RFF",1,752.124267041416,473.853197086755,-278.27106995466,2,"IRA"
2035,"Coal","IPM-NRDC",1,316.186536931387,135.830610093562,-180.355926837825,2,"IRA"
2035,"Coal","IPM-EPA",1,441.58339156765,42.0638014296759,-399.519590137974,2,"IRA"
2035,"Coal","MARKAL-NETL",1,648.640612800964,192.67999581054,-455.960616990424,2,"IRA"
2035,"Coal","NEMS-RHG",1,423.052155477,194.1505015394,-228.9016539376,2,"IRA"
2035,"Coal","NEMS-OP",1,448.5620275598,132.414634735211,-316.147392824589,2,"IRA"
2035,"Coal","REGEN-EPRI",1,563.456709420814,143.110734437061,-420.345974983753,2,"IRA"
2035,"Coal","RIO-REPEAT",1,467.2654,223.6808,-243.5846,2,"IRA"
2035,"Coal","ReEDS-NREL",1,604.572954045351,59.1833876199753,-545.389566425376,2,"IRA"
2035,"Coal","NEMS-EIA",1,544.58711356,325.237303926892,-219.349809633108,2,"IRA"
