"figure_num","model","scenario","variable","unit","year","variable_rename","value"
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2005,"Total Building Emissions",2245
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2006,"Total Building Emissions",2161.9
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2007,"Total Building Emissions",2255.4
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2008,"Total Building Emissions",2233.4
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2009,"Total Building Emissions",2103.6
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2010,"Total Building Emissions",2172.4
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2011,"Total Building Emissions",2079.7
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2012,"Total Building Emissions",1908.9
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2013,"Total Building Emissions",1992.5
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2014,"Total Building Emissions",2018.6
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2015,"Total Building Emissions",1908.7
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2016,"Total Building Emissions",1811.4
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2017,"Total Building Emissions",1748.7
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2018,"Total Building Emissions",1831.3
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2019,"Total Building Emissions",1728.5
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2020,"Total Building Emissions",1567.3
"F.4.1.summary_ranges_sensitivities","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2021,"Total Building Emissions",1637
"F.4.1.summary_ranges_sensitivities","EPS-EI","IRA","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2021,"Total Building Emissions",1637
"F.4.1.summary_ranges_sensitivities","EPS-EI","IRA","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2025,"Total Building Emissions",1386.23174989503
"F.4.1.summary_ranges_sensitivities","EPS-EI","IRA","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2030,"Total Building Emissions",919.184219686818
"F.4.1.summary_ranges_sensitivities","EPS-EI","IRA","Emissions|CO2|Energy|Demand|Buildings|Total","Mt CO2/yr",2035,"Total Building Emissions",723.352579489139
