"model","scenario","unit","region","category","year","value","value_2005","percent diff 2005"
"EPS-EI","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3683.07333616727,6132.18327,39.9386291309054
"EPS-EI","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3181.23945999667,6132.18327,48.1222377100176
"EPS-EI","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3376.217326,6132.18327,44.9426545596378
"EPS-EI","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3094.863156,6132.18327,49.5308111363736
"EPS-EI","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3748.936323,6132.18327,38.8645746884209
"EPS-EI","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3254.737543,6132.18327,46.9236746572318
"EPS-EI","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2030,4469.11212426198,6132.18327,27.1203757701459
"EPS-EI","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2035,4270.52739601984,6132.18327,30.3587774861165
"GCAM-CGS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3535.15117247745,6132.18327,42.3508558563115
"GCAM-CGS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3265.13939647775,6132.18327,46.7540474132348
"GCAM-CGS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3427.25922697343,6132.18327,44.1102935761829
"GCAM-CGS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3218.90625123017,6132.18327,47.5079900664781
"GCAM-CGS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3627.25144007183,6132.18327,40.8489394337389
"GCAM-CGS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3280.83640411991,6132.18327,46.4980699423892
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2030,4515.63157057819,6132.18327,26.3617642892433
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2035,4358.33318134285,6132.18327,28.926892927927
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3573.8827144237,6132.18327,41.7192448910011
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3225.48302293793,6132.18327,47.4007399824838
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3403.82,6132.18327,44.4925265581634
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3025.554,6132.18327,50.6610636573489
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3725.001,6132.18327,39.2548977095396
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3428.731,6132.18327,44.0862927764388
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3631.81913612816,6132.18327,40.7744521613399
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3310.10805031081,6132.18327,46.0207253344075
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3681.099,6132.18327,39.9708254316411
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3403.72,6132.18327,44.4941572987267
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3533.636,6132.18327,42.3755643885053
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3182.998,6132.18327,48.0935604848614
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2030,4093.635,6132.18327,33.2434335414114
