"model","scenario","year","value","variable","alpha","variable_rename"
"EPS-EI","IRA",2025,1.1502633,"Transportation",1,"Transportation"
"EPS-EI","IRA",2030,4.2992752,"Transportation",1,"Transportation"
"EPS-EI","IRA",2035,8.2930353,"Transportation",1,"Transportation"
"GCAM-CGS","IRA",2025,1.4,"Transportation",1,"Transportation"
"GCAM-CGS","IRA",2030,4.4,"Transportation",1,"Transportation"
"GCAM-CGS","IRA",2035,4.9,"Transportation",1,"Transportation"
"NEMS-RHG","IRA",2025,0.4431455,"Transportation",1,"Transportation"
"NEMS-RHG","IRA",2030,1.7463193,"Transportation",1,"Transportation"
"NEMS-RHG","IRA",2035,4.1249706,"Transportation",1,"Transportation"
"RIO-REPEAT","IRA",2025,1.19,"Transportation",1,"Transportation"
"RIO-REPEAT","IRA",2030,5.76,"Transportation",1,"Transportation"
"RIO-REPEAT","IRA",2035,15.07,"Transportation",1,"Transportation"
"GCAM-PNNL","IRA",2025,1.6397128702007,"Transportation",1,"Transportation"
"GCAM-PNNL","IRA",2030,6.19681685752509,"Transportation",1,"Transportation"
"GCAM-PNNL","IRA",2035,11.8983393196971,"Transportation",1,"Transportation"
"OP-NEMS","IRA",2025,0.593203799687685,"Transportation",1,"Transportation"
"OP-NEMS","IRA",2030,3.22803347793364,"Transportation",1,"Transportation"
"OP-NEMS","IRA",2035,6.98140598634755,"Transportation",1,"Transportation"
"USREP-ReEDS","IRA",2025,0.475475773036775,"Transportation",1,"Transportation"
"USREP-ReEDS","IRA",2030,2.12776684954314,"Transportation",1,"Transportation"
"USREP-ReEDS","IRA",2035,4.79310028802458,"Transportation",1,"Transportation"
"GCAM-PNNL","No IRA",2025,0.857914923154445,"Transportation",1,"Transportation"
"GCAM-PNNL","No IRA",2030,2.93866559141966,"Transportation",1,"Transportation"
"GCAM-PNNL","No IRA",2035,7.24344658191718,"Transportation",1,"Transportation"
"OP-NEMS","No IRA",2025,0.403380524187557,"Transportation",1,"Transportation"
"OP-NEMS","No IRA",2030,0.971446908693599,"Transportation",1,"Transportation"
"OP-NEMS","No IRA",2035,1.95439055800989,"Transportation",1,"Transportation"
"USREP-ReEDS","No IRA",2025,0.36373661476625,"Transportation",1,"Transportation"
"USREP-ReEDS","No IRA",2030,1.90255704741305,"Transportation",1,"Transportation"
"USREP-ReEDS","No IRA",2035,3.98551424811989,"Transportation",1,"Transportation"
"EPS-EI","No IRA",2025,0.9483943,"Transportation",1,"Transportation"
"EPS-EI","No IRA",2030,3.1970151,"Transportation",1,"Transportation"
"EPS-EI","No IRA",2035,6.4558501,"Transportation",1,"Transportation"
"GCAM-CGS","No IRA",2025,0.79,"Transportation",1,"Transportation"
"GCAM-CGS","No IRA",2030,2,"Transportation",1,"Transportation"
"GCAM-CGS","No IRA",2035,3.4,"Transportation",1,"Transportation"
"NEMS-RHG","No IRA",2025,0.4295712,"Transportation",1,"Transportation"
"NEMS-RHG","No IRA",2030,1.1769237,"Transportation",1,"Transportation"
"NEMS-RHG","No IRA",2035,2.417133,"Transportation",1,"Transportation"
"RIO-REPEAT","No IRA",2025,1.09,"Transportation",1,"Transportation"
"RIO-REPEAT","No IRA",2030,4.14,"Transportation",1,"Transportation"
"RIO-REPEAT","No IRA",2035,9.61,"Transportation",1,"Transportation"
"EPS-EI","IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"GCAM-CGS","IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"NEMS-RHG","IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"RIO-REPEAT","IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"GCAM-PNNL","IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"OP-NEMS","IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"USREP-ReEDS","IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"GCAM-PNNL","No IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"OP-NEMS","No IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"USREP-ReEDS","No IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"EPS-EI","No IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"GCAM-CGS","No IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"NEMS-RHG","No IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
"RIO-REPEAT","No IRA",2020,0.14366747608161,"Transportation",1,"Transportation"
