"year","variable_rename","model","scenario","value","alpha","axe"
2030,"Natural Gas","USREP-ReEDS","No IRA",1285.7074547345,1,1
2030,"Natural Gas","USREP-ReEDS","IRA",815.644432158111,1,1
2030,"Natural Gas","EPS-EI","No IRA",1686.1248264,1,1
2030,"Natural Gas","EPS-EI","IRA",954.932195,1,1
2030,"Natural Gas","GCAM-CGS","No IRA",1505.78461811621,1,1
2030,"Natural Gas","GCAM-CGS","IRA",1177.43262426991,1,1
2030,"Natural Gas","GCAM-PNNL","No IRA",1765.94359277778,1,1
2030,"Natural Gas","GCAM-PNNL","IRA",1339.77585388889,1,1
2030,"Natural Gas","Haiku-RFF","No IRA",957.204883580752,1,1
2030,"Natural Gas","Haiku-RFF","IRA",675.679587585824,1,1
2030,"Natural Gas","IPM-NRDC","No IRA",1840.2439059285,1,1
2030,"Natural Gas","IPM-NRDC","IRA",1563.83275302988,1,1
2030,"Natural Gas","IPM-EPA","No IRA",1697.67780102167,1,1
2030,"Natural Gas","IPM-EPA","IRA",1662.74385365762,1,1
2030,"Natural Gas","MARKAL-NETL","No IRA",1792.89940598504,1,1
2030,"Natural Gas","MARKAL-NETL","IRA",1915.78440707074,1,1
2030,"Natural Gas","NEMS-RHG","No IRA",1194.0978082964,1,1
2030,"Natural Gas","NEMS-RHG","IRA",778.3213873904,1,1
2030,"Natural Gas","NEMS-OP","No IRA",1380.368422902,1,1
2030,"Natural Gas","NEMS-OP","IRA",984.5374142072,1,1
2030,"Natural Gas","REGEN-EPRI","No IRA",1129.5077940839,1,1
2030,"Natural Gas","REGEN-EPRI","IRA",1253.5863169815,1,1
2030,"Natural Gas","RIO-REPEAT","No IRA",921.2616,1,1
2030,"Natural Gas","RIO-REPEAT","IRA",764.8746,1,1
2030,"Natural Gas","ReEDS-NREL","No IRA",1235.15686313164,1,1
2030,"Natural Gas","ReEDS-NREL","IRA",693.592077464935,1,1
2030,"Natural Gas","NEMS-EIA","No IRA",0,1,1
2030,"Natural Gas","NEMS-EIA","IRA",1092.8322593244,1,1
2035,"Natural Gas","USREP-ReEDS","No IRA",1404.172993321,1,2
2035,"Natural Gas","USREP-ReEDS","IRA",698.1285739015,1,2
2035,"Natural Gas","EPS-EI","No IRA",1732.6570674,1,2
2035,"Natural Gas","EPS-EI","IRA",675.1530086,1,2
2035,"Natural Gas","GCAM-CGS","No IRA",1752.17627155909,1,2
2035,"Natural Gas","GCAM-CGS","IRA",1128.95029645651,1,2
2035,"Natural Gas","GCAM-PNNL","No IRA",1786.40554166667,1,2
2035,"Natural Gas","GCAM-PNNL","IRA",1193.919965,1,2
2035,"Natural Gas","Haiku-RFF","No IRA",913.706413006057,1,2
2035,"Natural Gas","Haiku-RFF","IRA",632.298462205219,1,2
2035,"Natural Gas","IPM-NRDC","No IRA",1950.17072202514,1,2
2035,"Natural Gas","IPM-NRDC","IRA",1567.65964072386,1,2
2035,"Natural Gas","IPM-EPA","No IRA",1784.55408199223,1,2
2035,"Natural Gas","IPM-EPA","IRA",1271.4551466271,1,2
2035,"Natural Gas","MARKAL-NETL","No IRA",1913.13319772756,1,2
2035,"Natural Gas","MARKAL-NETL","IRA",1352.65121934233,1,2
2035,"Natural Gas","NEMS-RHG","No IRA",1123.0402603756,1,2
2035,"Natural Gas","NEMS-RHG","IRA",897.7076743432,1,2
2035,"Natural Gas","NEMS-OP","No IRA",1352.8833801658,1,2
2035,"Natural Gas","NEMS-OP","IRA",734.5264724056,1,2
2035,"Natural Gas","REGEN-EPRI","No IRA",1294.46934843087,1,2
2035,"Natural Gas","REGEN-EPRI","IRA",826.388129516541,1,2
2035,"Natural Gas","RIO-REPEAT","No IRA",794.2564,1,2
2035,"Natural Gas","RIO-REPEAT","IRA",419.8754,1,2
2035,"Natural Gas","ReEDS-NREL","No IRA",1227.99107642288,1,2
2035,"Natural Gas","ReEDS-NREL","IRA",490.119328562047,1,2
2035,"Natural Gas","NEMS-EIA","No IRA",0,1,2
2035,"Natural Gas","NEMS-EIA","IRA",984.4383814286,1,2
