"year","variable_rename","model","scenario","value","alpha","axe"
2030,"Coal","USREP-ReEDS","No IRA",568.682194946833,1,1
2030,"Coal","USREP-ReEDS","IRA",253.728906032778,1,1
2030,"Coal","EPS-EI","No IRA",411.6968338,1,1
2030,"Coal","EPS-EI","IRA",178.7696201998,1,1
2030,"Coal","GCAM-CGS","No IRA",698.867863328418,1,1
2030,"Coal","GCAM-CGS","IRA",207.989475519748,1,1
2030,"Coal","GCAM-PNNL","No IRA",452.911495555556,1,1
2030,"Coal","GCAM-PNNL","IRA",207.462888888889,1,1
2030,"Coal","Haiku-RFF","No IRA",827.530103506065,1,1
2030,"Coal","Haiku-RFF","IRA",532.937344891311,1,1
2030,"Coal","IPM-NRDC","No IRA",342.875199423364,1,1
2030,"Coal","IPM-NRDC","IRA",187.952865306675,1,1
2030,"Coal","IPM-EPA","No IRA",525.1570437185,1,1
2030,"Coal","IPM-EPA","IRA",230.114115512557,1,1
2030,"Coal","MARKAL-NETL","No IRA",634.694777755416,1,1
2030,"Coal","MARKAL-NETL","IRA",487.912033662648,1,1
2030,"Coal","NEMS-RHG","No IRA",459.8809594036,1,1
2030,"Coal","NEMS-RHG","IRA",130.4059613724,1,1
2030,"Coal","NEMS-OP","No IRA",511.137479174,1,1
2030,"Coal","NEMS-OP","IRA",280.404558964249,1,1
2030,"Coal","REGEN-EPRI","No IRA",633.371785632691,1,1
2030,"Coal","REGEN-EPRI","IRA",440.402948302524,1,1
2030,"Coal","RIO-REPEAT","No IRA",619.8612,1,1
2030,"Coal","RIO-REPEAT","IRA",454.944,1,1
2030,"Coal","ReEDS-NREL","No IRA",660.072566291737,1,1
2030,"Coal","ReEDS-NREL","IRA",68.2963547088384,1,1
2030,"Coal","NEMS-EIA","No IRA",579.2477036682,1,1
2030,"Coal","NEMS-EIA","IRA",332.20151448001,1,1
2035,"Coal","USREP-ReEDS","No IRA",453.331322249167,1,2
2035,"Coal","USREP-ReEDS","IRA",180.306621228222,1,2
2035,"Coal","EPS-EI","No IRA",386.5403262,1,2
2035,"Coal","EPS-EI","IRA",17.1113556236,1,2
2035,"Coal","GCAM-CGS","No IRA",648.339356062651,1,2
2035,"Coal","GCAM-CGS","IRA",0.00409816812356443,1,2
2035,"Coal","GCAM-PNNL","No IRA",390.290876111111,1,2
2035,"Coal","GCAM-PNNL","IRA",201.543877888889,1,2
2035,"Coal","Haiku-RFF","No IRA",752.124267041416,1,2
2035,"Coal","Haiku-RFF","IRA",473.853197086755,1,2
2035,"Coal","IPM-NRDC","No IRA",316.186536931387,1,2
2035,"Coal","IPM-NRDC","IRA",135.830610093562,1,2
2035,"Coal","IPM-EPA","No IRA",441.58339156765,1,2
2035,"Coal","IPM-EPA","IRA",42.0638014296759,1,2
2035,"Coal","MARKAL-NETL","No IRA",648.640612800964,1,2
2035,"Coal","MARKAL-NETL","IRA",192.67999581054,1,2
2035,"Coal","NEMS-RHG","No IRA",423.052155477,1,2
2035,"Coal","NEMS-RHG","IRA",194.1505015394,1,2
2035,"Coal","NEMS-OP","No IRA",448.5620275598,1,2
2035,"Coal","NEMS-OP","IRA",132.414634735211,1,2
2035,"Coal","REGEN-EPRI","No IRA",563.456709420814,1,2
2035,"Coal","REGEN-EPRI","IRA",143.110734437061,1,2
2035,"Coal","RIO-REPEAT","No IRA",467.2654,1,2
2035,"Coal","RIO-REPEAT","IRA",222.733,1,2
2035,"Coal","ReEDS-NREL","No IRA",604.572954045351,1,2
2035,"Coal","ReEDS-NREL","IRA",59.1833876199753,1,2
2035,"Coal","NEMS-EIA","No IRA",544.58711356,1,2
2035,"Coal","NEMS-EIA","IRA",325.237303926892,1,2
