"scenario","model","year","value","variable_rename","alpha","axe"
"No IRA","USREP-ReEDS",2030,2174.29772161702,"Total_Low",1,1
"No IRA","EPS-EI",2030,2130.04534372,"Total_Low",1,1
"No IRA","GCAM-CGS",2030,2149.60472289506,"Total_Low",1,1
"No IRA","GCAM-PNNL",2030,2888.56912030556,"Total_Low",1,1
"No IRA","Haiku-RFF",2030,2164.92781581099,"Total_Low",1,1
"No IRA","IPM-NRDC",2030,1837.33779782309,"Total_Low",1,1
"No IRA","IPM-EPA",2030,2014.73847536807,"Total_Low",1,1
"No IRA","MARKAL-NETL",2030,2133.15461263344,"Total_Low",1,1
"No IRA","NEMS-RHG",2030,2331.2052537172,"Total_Low",1,1
"No IRA","NEMS-OP",2030,2345.2192747648,"Total_Low",1,1
"No IRA","REGEN-EPRI",2030,2081.07200060136,"Total_Low",1,1
"No IRA","RIO-REPEAT",2030,2791.271,"Total_Low",1,1
"No IRA","ReEDS-NREL",2030,2137.62207060211,"Total_Low",1,1
"No IRA","NEMS-EIA",2030,2176.4560710732,"Total_Low",1,1
"IRA","USREP-ReEDS",2030,2993.78080012524,"Total_Low",1,1
"IRA","EPS-EI",2030,3559.6321031516,"Total_Low",1,1
"IRA","GCAM-CGS",2030,3352.79362902031,"Total_Low",1,1
"IRA","GCAM-PNNL",2030,3734.73338695501,"Total_Low",1,1
"IRA","Haiku-RFF",2030,2747.05914275625,"Total_Low",1,1
"IRA","IPM-NRDC",2030,2267.8699893788,"Total_Low",1,1
"IRA","IPM-EPA",2030,2355.22657935679,"Total_Low",1,1
"IRA","MARKAL-NETL",2030,2268.18199454414,"Total_Low",1,1
"IRA","NEMS-RHG",2030,3105.803827721,"Total_Low",1,1
"IRA","NEMS-OP",2030,3112.38596139695,"Total_Low",1,1
"IRA","REGEN-EPRI",2030,2286.42341031496,"Total_Low",1,1
"IRA","RIO-REPEAT",2030,3583.6318,"Total_Low",1,1
"IRA","ReEDS-NREL",2030,3393.83268321759,"Total_Low",1,1
"IRA","NEMS-EIA",2030,2858.19946565839,"Total_Low",1,1
"No IRA","USREP-ReEDS",2035,2308.87802255319,"Total_Low",1,2
"No IRA","EPS-EI",2035,2414.2100955,"Total_Low",1,2
"No IRA","GCAM-CGS",2035,2298.75128139121,"Total_Low",1,2
"No IRA","GCAM-PNNL",2035,3486.96896897222,"Total_Low",1,2
"No IRA","Haiku-RFF",2035,2286.84102454342,"Total_Low",1,2
"No IRA","IPM-NRDC",2035,1858.86661416088,"Total_Low",1,2
"No IRA","IPM-EPA",2035,2293.40912091051,"Total_Low",1,2
"No IRA","MARKAL-NETL",2035,2169.55279452974,"Total_Low",1,2
"No IRA","NEMS-RHG",2035,2604.4176400424,"Total_Low",1,2
"No IRA","NEMS-OP",2035,2663.9826475934,"Total_Low",1,2
"No IRA","REGEN-EPRI",2035,2162.26429024418,"Total_Low",1,2
"No IRA","RIO-REPEAT",2035,3573.206,"Total_Low",1,2
"No IRA","ReEDS-NREL",2035,2356.90161219021,"Total_Low",1,2
"No IRA","NEMS-EIA",2035,2458.455740566,"Total_Low",1,2
"IRA","USREP-ReEDS",2035,3323.01947813019,"Total_Low",1,2
"IRA","EPS-EI",2035,4339.710256798,"Total_Low",1,2
"IRA","GCAM-CGS",2035,3759.60543626911,"Total_Low",1,2
"IRA","GCAM-PNNL",2035,4479.12318818778,"Total_Low",1,2
"IRA","Haiku-RFF",2035,2857.27770717866,"Total_Low",1,2
"IRA","IPM-NRDC",2035,2443.98446645772,"Total_Low",1,2
"IRA","IPM-EPA",2035,3237.34662444383,"Total_Low",1,2
"IRA","MARKAL-NETL",2035,3380.71052456626,"Total_Low",1,2
"IRA","NEMS-RHG",2035,3164.295702939,"Total_Low",1,2
"IRA","NEMS-OP",2035,3843.55788434699,"Total_Low",1,2
"IRA","REGEN-EPRI",2035,3325.21670114422,"Total_Low",1,2
"IRA","RIO-REPEAT",2035,5263.1334,"Total_Low",1,2
"IRA","ReEDS-NREL",2035,3947.80472238667,"Total_Low",1,2
"IRA","NEMS-EIA",2035,3170.11325737711,"Total_Low",1,2
